s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 1.3048194E-001, 5.6911160E-002, 4.5686285E-005, 1.0000000E+000, 1.1385839E+001, 1.2000000E+001, 6.7810528E-010, 9.4065870E-002
 1.3253595E-001, 5.6841073E-002, 4.6325357E-005, 1.0000000E+000, 1.1663022E+001, 1.2000000E+001, 6.9084941E-010, 9.4103420E-002
 1.3458995E-001, 5.6808578E-002, 4.7097718E-005, 1.0000000E+000, 1.1903037E+001, 1.2000000E+001, 7.0482716E-010, 9.4131218E-002
 1.3664396E-001, 5.6775697E-002, 4.7888618E-005, 1.0000000E+000, 1.2160482E+001, 1.2000000E+001, 7.1909052E-010, 9.4158102E-002
 1.3869797E-001, 5.6742356E-002, 4.8695720E-005, 1.0000000E+000, 1.2365324E+001, 1.2000000E+001, 7.3361954E-010, 9.4184253E-002
 1.4075198E-001, 5.6708555E-002, 4.9518817E-005, 1.0000000E+000, 1.2618641E+001, 1.2000000E+001, 7.4841132E-010, 9.4209687E-002
 1.4280598E-001, 5.6674295E-002, 4.7717914E-005, 1.0000000E+000, 1.2866889E+001, 1.2000000E+001, 7.7324416E-010, 9.3083713E-002
 1.4485999E-001, 5.6653799E-002, 4.8490592E-005, 1.0000000E+000, 1.3123295E+001, 1.2000000E+001, 7.8863042E-010, 9.3112227E-002
 1.4668645E-001, 5.6635996E-002, 4.6302456E-005, 1.0000000E+000, 1.3407831E+001, 1.2000000E+001, 7.9326584E-010, 9.4272829E-002
 1.4851290E-001, 5.6584208E-002, 4.6934697E-005, 1.0000000E+000, 1.3662260E+001, 1.2000000E+001, 8.0673060E-010, 9.4298769E-002
 1.5033936E-001, 5.6552273E-002, 4.7642569E-005, 1.0000000E+000, 1.3899182E+001, 1.2000000E+001, 8.2094898E-010, 9.4318623E-002
 1.5216581E-001, 5.6520026E-002, 4.8362112E-005, 1.0000000E+000, 1.4156779E+001, 1.2000000E+001, 8.3537305E-010, 9.4337882E-002
 1.5399227E-001, 5.6487424E-002, 4.9091992E-005, 1.0000000E+000, 1.4363406E+001, 1.2000000E+001, 8.4999011E-010, 9.4356659E-002
 1.5581872E-001, 5.6454465E-002, 4.9832079E-005, 1.0000000E+000, 1.4568086E+001, 1.2000000E+001, 8.6479819E-010, 9.4374964E-002
 1.5764518E-001, 5.6421150E-002, 4.7928643E-005, 1.0000000E+000, 1.4815832E+001, 1.2000000E+001, 8.9258891E-010, 9.3253731E-002
 1.5947163E-001, 5.6403541E-002, 4.8612046E-005, 1.0000000E+000, 1.5073675E+001, 1.2000000E+001, 9.0782607E-010, 9.3275405E-002
 1.6129808E-001, 5.6369718E-002, 4.9340544E-005, 1.0000000E+000, 1.5321695E+001, 1.2000000E+001, 9.2359682E-010, 9.3293781E-002
 1.6312454E-001, 5.6303953E-002, 4.5699653E-005, 1.0000000E+000, 1.5581066E+001, 1.1000000E+001, 5.1503662E-009, 8.3788078E-002
 1.6476371E-001, 5.6488138E-002, 4.7830845E-005, 1.0000000E+000, 1.5904826E+001, 1.2000000E+001, 9.3715640E-010, 9.4479260E-002
 1.6640288E-001, 5.6263099E-002, 4.8751583E-005, 1.0000000E+000, 1.6160779E+001, 1.2000000E+001, 9.5434255E-010, 9.4472108E-002
 1.6804205E-001, 5.6231670E-002, 4.9407219E-005, 1.0000000E+000, 1.6403529E+001, 1.2000000E+001, 9.6881117E-010, 9.4485469E-002
 1.6968122E-001, 5.6199740E-002, 4.7437646E-005, 1.0000000E+000, 1.6626447E+001, 1.2000000E+001, 9.9892723E-010, 9.3368483E-002
 1.7132039E-001, 5.6185234E-002, 4.8030511E-005, 1.0000000E+000, 1.6826237E+001, 1.2000000E+001, 1.0136472E-009, 9.3385760E-002
 1.7295956E-001, 5.6152928E-002, 4.8665250E-005, 1.0000000E+000, 1.7087317E+001, 1.2000000E+001, 1.0288888E-009, 9.3399801E-002
 1.7459873E-001, 5.6120388E-002, 4.9307113E-005, 1.0000000E+000, 1.7334990E+001, 1.2000000E+001, 1.0442835E-009, 9.3413472E-002
 1.7623789E-001, 5.6052351E-002, 4.9886239E-005, 1.0000000E+000, 1.7597684E+001, 1.2000000E+001, 1.0590946E-009, 9.3432308E-002
 1.7787706E-001, 5.6018715E-002, 4.6211718E-005, 1.0000000E+000, 1.7883338E+001, 1.1000000E+001, 5.8802514E-009, 8.3894273E-002
 1.7951623E-001, 5.6157398E-002, 4.6529068E-005, 1.0000000E+000, 1.8130437E+001, 1.1000000E+001, 5.9444282E-009, 8.3927360E-002
 1.8115540E-001, 5.6124014E-002, 4.7133349E-005, 1.0000000E+000, 1.8378258E+001, 1.1000000E+001, 6.0296867E-009, 8.3937852E-002
 1.8279457E-001, 5.6091861E-002, 4.7746345E-005, 1.0000000E+000, 1.8677089E+001, 1.1000000E+001, 6.1159179E-009, 8.3947816E-002
 1.8443374E-001, 5.5718165E-002, 4.7820778E-005, 1.0000000E+000, 1.8990968E+001, 1.1000000E+001, 6.1637660E-009, 8.3999725E-002
 1.8590621E-001, 5.6099418E-002, 4.8177341E-005, 1.0000000E+000, 1.9778918E+001, 1.2000000E+001, 1.1516104E-009, 9.3521102E-002
 1.8737868E-001, 5.5863728E-002, 4.8990780E-005, 1.0000000E+000, 2.0247866E+001, 1.2000000E+001, 1.1693556E-009, 9.3509635E-002
 1.8885114E-001, 5.5832746E-002, 4.9557956E-005, 1.0000000E+000, 2.0773730E+001, 1.2000000E+001, 1.1843573E-009, 9.3519287E-002
 1.9032361E-001, 5.5761793E-002, 4.5774346E-005, 1.0000000E+000, 2.1503379E+001, 1.1000000E+001, 6.5448638E-009, 8.3966608E-002
 1.9179607E-001, 5.5919691E-002, 4.6009211E-005, 1.0000000E+000, 2.2117627E+001, 1.1000000E+001, 6.6033417E-009, 8.3997578E-002
 1.9326854E-001, 5.5887732E-002, 4.6528195E-005, 1.0000000E+000, 2.2668469E+001, 1.1000000E+001, 6.6848096E-009, 8.4005487E-002
 1.9474101E-001, 5.5857220E-002, 4.7054146E-005, 1.0000000E+000, 2.3274791E+001, 1.1000000E+001, 6.7671002E-009, 8.4012948E-002
 1.9621347E-001, 5.5826524E-002, 4.7583758E-005, 1.0000000E+000, 2.3844773E+001, 1.1000000E+001, 6.8499642E-009, 8.4020251E-002
 1.9768594E-001, 5.5416923E-002, 4.7573929E-005, 1.0000000E+000, 2.4537587E+001, 1.1000000E+001, 6.8901644E-009, 8.4070496E-002
 1.9915841E-001, 5.5378421E-002, 4.8099410E-005, 1.0000000E+000, 2.5903643E+001, 1.1000000E+001, 6.9733365E-009, 8.4078062E-002
 2.0063087E-001, 5.5342770E-002, 4.8634502E-005, 1.0000000E+000, 2.6602259E+001, 1.1000000E+001, 7.0575241E-009, 8.4084963E-002
 2.0210334E-001, 5.5306924E-002, 4.9173015E-005, 1.0000000E+000, 2.7265893E+001, 1.1000000E+001, 7.1422639E-009, 8.4091728E-002
 2.0357581E-001, 5.5270848E-002, 4.9714831E-005, 1.0000000E+000, 2.7959702E+001, 1.1000000E+001, 7.2275463E-009, 8.4098371E-002
 2.0504827E-001, 5.5234542E-002, 4.4171880E-005, 1.0000000E+000, 2.8820536E+001, 1.2000000E+001, 5.2598868E-010, 8.2726106E-002
 2.0652074E-001, 5.5244016E-002, 4.4599065E-005, 1.0000000E+000, 2.9738425E+001, 1.2000000E+001, 5.3214925E-010, 8.2740095E-002
 2.0799321E-001, 5.5207336E-002, 4.5082784E-005, 1.0000000E+000, 3.0456118E+001, 1.2000000E+001, 5.3859527E-010, 8.2748384E-002
 2.0946567E-001, 5.5080728E-002, 4.5465004E-005, 1.0000000E+000, 3.1133950E+001, 1.2000000E+001, 5.4461134E-010, 8.2767153E-002
 2.1079031E-001, 5.5598558E-002, 4.7689736E-005, 1.0000000E+000, 3.1975711E+001, 1.1000000E+001, 7.7001036E-009, 8.4085587E-002
 2.1211495E-001, 5.5066814E-002, 4.7616976E-005, 1.0000000E+000, 3.2643657E+001, 1.1000000E+001, 7.7334803E-009, 8.4133932E-002
