s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 1.3050539E-001, 5.6898345E-002, 6.5838707E-005, 1.0000000E+000, 9.5336419E+000, 1.0000000E+001, 6.1360897E-009, 8.5352029E-002
 1.3255923E-001, 5.6866550E-002, 6.6796279E-005, 1.0000000E+000, 9.7523862E+000, 1.0000000E+001, 6.2285394E-009, 8.5360362E-002
 1.3461307E-001, 5.6834549E-002, 6.7933397E-005, 1.0000000E+000, 9.9589987E+000, 1.0000000E+001, 6.3371976E-009, 8.5367042E-002
 1.3666691E-001, 5.6802101E-002, 6.9096557E-005, 1.0000000E+000, 1.0182359E+001, 1.0000000E+001, 6.4481816E-009, 8.5373254E-002
 1.3872075E-001, 5.6769201E-002, 7.0282342E-005, 1.0000000E+000, 1.0354908E+001, 1.0000000E+001, 6.5611812E-009, 8.5379037E-002
 1.4077459E-001, 5.6735850E-002, 7.1490446E-005, 1.0000000E+000, 1.0575031E+001, 1.0000000E+001, 6.6761682E-009, 8.5384406E-002
 1.4282843E-001, 5.6702049E-002, 7.2720605E-005, 1.0000000E+000, 1.0782004E+001, 1.0000000E+001, 6.7931183E-009, 8.5389379E-002
 1.4488227E-001, 5.6667800E-002, 7.3972541E-005, 1.0000000E+000, 1.1000535E+001, 1.0000000E+001, 6.9120061E-009, 8.5393972E-002
 1.4670863E-001, 5.6644717E-002, 6.6964446E-005, 1.0000000E+000, 1.1237158E+001, 1.0000000E+001, 7.0375878E-009, 8.5396364E-002
 1.4853498E-001, 5.6613333E-002, 6.7824647E-005, 1.0000000E+000, 1.1481323E+001, 1.0000000E+001, 7.1300742E-009, 8.5401206E-002
 1.5036133E-001, 5.6581879E-002, 6.8858082E-005, 1.0000000E+000, 1.1719659E+001, 1.0000000E+001, 7.2401491E-009, 8.5404485E-002
 1.5218769E-001, 5.6550079E-002, 6.9909365E-005, 1.0000000E+000, 1.1941690E+001, 1.0000000E+001, 7.3520152E-009, 8.5407487E-002
 1.5401404E-001, 5.6517928E-002, 7.0975085E-005, 1.0000000E+000, 1.2282524E+001, 1.0000000E+001, 7.4653263E-009, 8.5410248E-002
 1.5584040E-001, 5.6485428E-002, 7.2055029E-005, 1.0000000E+000, 1.2773369E+001, 1.0000000E+001, 7.5800613E-009, 8.5412780E-002
 1.5766675E-001, 5.6452579E-002, 7.3149064E-005, 1.0000000E+000, 1.2946056E+001, 1.0000000E+001, 7.6962076E-009, 8.5415096E-002
 1.5949310E-001, 5.6419381E-002, 7.4257072E-005, 1.0000000E+000, 1.3413789E+001, 1.0000000E+001, 7.8137543E-009, 8.5417206E-002
 1.6131946E-001, 5.6385836E-002, 7.5378948E-005, 1.0000000E+000, 1.3639754E+001, 1.0000000E+001, 7.9326914E-009, 8.5419120E-002
 1.6314581E-001, 5.6351944E-002, 7.6514597E-005, 1.0000000E+000, 1.3824981E+001, 1.0000000E+001, 8.0530104E-009, 8.5420848E-002
 1.6478504E-001, 5.6328400E-002, 6.9770604E-005, 1.0000000E+000, 1.4099251E+001, 1.0000000E+001, 8.1815014E-009, 8.5420929E-002
 1.6642427E-001, 5.6297166E-002, 7.0552119E-005, 1.0000000E+000, 1.4320227E+001, 1.0000000E+001, 8.2743746E-009, 8.5423480E-002
 1.6806349E-001, 5.6265955E-002, 7.1494825E-005, 1.0000000E+000, 1.4528435E+001, 1.0000000E+001, 8.3854883E-009, 8.5424651E-002
 1.6970272E-001, 5.6234474E-002, 7.2450379E-005, 1.0000000E+000, 1.4712979E+001, 1.0000000E+001, 8.4980438E-009, 8.5425672E-002
 1.7134195E-001, 5.6202717E-002, 7.3415618E-005, 1.0000000E+000, 1.4874830E+001, 1.0000000E+001, 8.6116830E-009, 8.5426572E-002
 1.7298118E-001, 5.6170684E-002, 7.4390423E-005, 1.0000000E+000, 1.5100427E+001, 1.0000000E+001, 8.7263923E-009, 8.5427356E-002
 1.7462040E-001, 5.6138377E-002, 7.5374742E-005, 1.0000000E+000, 1.5320462E+001, 1.0000000E+001, 8.8421654E-009, 8.5428029E-002
 1.7625963E-001, 5.6105796E-002, 7.6368520E-005, 1.0000000E+000, 1.5608842E+001, 1.0000000E+001, 8.9589958E-009, 8.5428594E-002
 1.7789886E-001, 5.6072941E-002, 7.7371706E-005, 1.0000000E+000, 1.5831826E+001, 1.0000000E+001, 9.0768770E-009, 8.5429054E-002
 1.7953808E-001, 5.6039814E-002, 7.8384244E-005, 1.0000000E+000, 1.6005332E+001, 1.0000000E+001, 9.1958019E-009, 8.5429412E-002
 1.8117731E-001, 5.6006415E-002, 7.9406078E-005, 1.0000000E+000, 1.6584333E+001, 1.0000000E+001, 9.3157635E-009, 8.5429671E-002
 1.8281654E-001, 5.5972744E-002, 8.0437149E-005, 1.0000000E+000, 1.6922822E+001, 1.0000000E+001, 9.4367540E-009, 8.5429834E-002
 1.8445577E-001, 5.5938803E-002, 8.1477394E-005, 1.0000000E+000, 1.7145354E+001, 1.0000000E+001, 9.5587654E-009, 8.5429903E-002
 1.8592880E-001, 5.5915258E-002, 7.4242243E-005, 1.0000000E+000, 1.7435924E+001, 1.0000000E+001, 9.6918024E-009, 8.5428570E-002
 1.8740184E-001, 5.5884000E-002, 7.4933908E-005, 1.0000000E+000, 1.7597589E+001, 1.0000000E+001, 9.7827346E-009, 8.5429775E-002
 1.8887487E-001, 5.5852877E-002, 7.5791553E-005, 1.0000000E+000, 1.7782142E+001, 1.0000000E+001, 9.8945593E-009, 8.5429650E-002
 1.9034791E-001, 5.5821545E-002, 7.6658938E-005, 1.0000000E+000, 1.7992681E+001, 1.1000000E+001, 7.4733782E-009, 1.0404128E-001
 1.9182094E-001, 5.5789997E-002, 7.7532732E-005, 1.0000000E+000, 1.8216167E+001, 1.1000000E+001, 7.5580233E-009, 1.0404051E-001
 1.9329398E-001, 5.5758233E-002, 7.8412805E-005, 1.0000000E+000, 1.8376864E+001, 1.1000000E+001, 7.6432092E-009, 1.0403964E-001
 1.9476701E-001, 5.5726254E-002, 7.9299099E-005, 1.0000000E+000, 1.8594537E+001, 1.1000000E+001, 7.7289296E-009, 1.0403867E-001
