s,Pa,m/s,
Time,"pres","error","iter"
 1.6311424E-001, 2.9018441E-002, 3.1550490E-003, 4.0000000E+000
 1.6475420E-001, 2.6456944E-002, 3.0781022E-003, 4.0000000E+000
 1.6639415E-001, 2.4031895E-002, 2.9889558E-003, 4.0000000E+000
 1.6803411E-001, 2.1767441E-002, 2.8858446E-003, 4.0000000E+000
 1.6967406E-001, 1.9683560E-002, 2.7669542E-003, 4.0000000E+000
 1.7131402E-001, 1.7795801E-002, 2.6305573E-003, 4.0000000E+000
 1.7295397E-001, 1.6115215E-002, 2.4751736E-003, 4.0000000E+000
 1.7459393E-001, 1.4648465E-002, 2.2997125E-003, 4.0000000E+000
 1.7623388E-001, 1.3398115E-002, 2.1035894E-003, 4.0000000E+000
 1.7787384E-001, 1.2363051E-002, 1.8868075E-003, 4.0000000E+000
 1.7951379E-001, 1.1539033E-002, 1.6500058E-003, 4.0000000E+000
 1.8098691E-001, 1.0243122E-002, 1.4134305E-003, 4.0000000E+000
 1.8246004E-001, 9.7254260E-003, 1.1604665E-003, 4.0000000E+000
 1.8393316E-001, 9.3918068E-003, 8.9334761E-004, 4.0000000E+000
 1.8540628E-001, 9.2326009E-003, 6.1504462E-004, 4.0000000E+000
 1.8687941E-001, 9.2112586E-003, 3.3614111E-004, 1.0000000E+000
 1.8835253E-001, 9.2140307E-003, 1.5047419E-004, 1.0000000E+000
 1.8982565E-001, 9.2406747E-003, 2.7246484E-004, 1.0000000E+000
 1.9129878E-001, 9.7481282E-003, 5.0605247E-004, 4.0000000E+000
 1.9277190E-001, 1.0407487E-002, 7.8182422E-004, 4.0000000E+000
 1.9424502E-001, 1.1212740E-002, 1.0485774E-003, 4.0000000E+000
 1.9571815E-001, 1.2158265E-002, 1.3045108E-003, 4.0000000E+000
 1.9719127E-001, 1.3238915E-002, 1.5473126E-003, 4.0000000E+000
 1.9866439E-001, 1.4450195E-002, 1.7744207E-003, 4.0000000E+000
 2.0013752E-001, 1.5788122E-002, 1.9836052E-003, 4.0000000E+000
 2.0161064E-001, 1.7248873E-002, 2.1731715E-003, 4.0000000E+000
 2.0308376E-001, 1.8828385E-002, 2.3418905E-003, 4.0000000E+000
 2.0455689E-001, 2.0521972E-002, 2.4888948E-003, 4.0000000E+000
 2.0603001E-001, 2.2323978E-002, 2.6136339E-003, 4.0000000E+000
 2.0750313E-001, 2.4227459E-002, 2.7158679E-003, 4.0000000E+000
 2.0897626E-001, 2.6223929E-002, 2.7956572E-003, 4.0000000E+000
 2.1044938E-001, 2.8303176E-002, 2.8533357E-003, 4.0000000E+000
 2.1192250E-001, 3.0453171E-002, 2.8894684E-003, 4.0000000E+000
 2.1339563E-001, 3.2660068E-002, 2.9048026E-003, 4.0000000E+000
 2.1486875E-001, 3.4908303E-002, 2.9002196E-003, 4.0000000E+000
 2.1634187E-001, 3.7180785E-002, 2.8766887E-003, 4.0000000E+000
 2.1781500E-001, 3.9459159E-002, 2.8352249E-003, 4.0000000E+000
 2.1928812E-001, 4.1724145E-002, 2.7768515E-003, 4.0000000E+000
 2.2061283E-001, 4.6528597E-002, 2.7030667E-003, 4.0000000E+000
 2.2193755E-001, 4.8944297E-002, 2.6138904E-003, 4.0000000E+000
 2.2326226E-001, 5.1275364E-002, 2.5104689E-003, 4.0000000E+000
 2.2458698E-001, 5.3501239E-002, 2.3935500E-003, 4.0000000E+000
 2.2591169E-001, 5.5602747E-002, 2.2637563E-003, 4.0000000E+000
 2.2723641E-001, 5.7562412E-002, 2.1217182E-003, 4.0000000E+000
 2.2856112E-001, 5.9364694E-002, 1.9680717E-003, 4.0000000E+000
 2.2988583E-001, 6.0996180E-002, 1.8034350E-003, 4.0000000E+000
 2.3121055E-001, 6.2445718E-002, 1.6284217E-003, 4.0000000E+000
 2.3253526E-001, 6.3704480E-002, 1.4436773E-003, 4.0000000E+000
 2.3385998E-001, 6.4765954E-002, 1.2499211E-003, 4.0000000E+000
 2.3518469E-001, 6.5625883E-002, 1.0479790E-003, 4.0000000E+000
 2.3650941E-001, 6.6282141E-002, 8.3880816E-004, 4.0000000E+000
 2.3783412E-001, 6.6734577E-002, 6.2351290E-004, 4.0000000E+000
 2.3915883E-001, 6.6984827E-002, 4.0554494E-004, 1.0000000E+000
 2.4048355E-001, 6.6872114E-002, 1.8795407E-004, 1.0000000E+000
 2.4167168E-001, 6.6741584E-002, 1.3579976E-004, 1.0000000E+000
 2.4285980E-001, 6.6586865E-002, 2.6948879E-004, 1.0000000E+000
 2.4404793E-001, 6.6404046E-002, 4.3559656E-004, 1.0000000E+000
 2.4523606E-001, 6.6193504E-002, 5.9752175E-004, 4.0000000E+000
 2.4642419E-001, 6.5315387E-002, 7.7564224E-004, 4.0000000E+000
 2.4761231E-001, 6.4269161E-002, 9.6342103E-004, 4.0000000E+000
 2.4880044E-001, 6.3067084E-002, 1.1481223E-003, 4.0000000E+000
 2.4998857E-001, 6.1720674E-002, 1.3251587E-003, 4.0000000E+000
 2.5117669E-001, 6.0241562E-002, 1.4928210E-003, 4.0000000E+000
 2.5236482E-001, 5.8641810E-002, 1.6497854E-003, 4.0000000E+000
 2.5355295E-001, 5.6933760E-002, 1.7936408E-003, 4.0000000E+000
 2.5474108E-001, 5.5129815E-002, 1.9228267E-003, 4.0000000E+000
 2.5592920E-001, 5.3242310E-002, 2.0359210E-003, 4.0000000E+000
 2.5711733E-001, 5.1283456E-002, 2.1315974E-003, 4.0000000E+000
 2.5830546E-001, 4.9265311E-002, 2.2090729E-003, 4.0000000E+000
 2.5949358E-001, 4.7199779E-002, 2.2679176E-003, 4.0000000E+000
 2.6068171E-001, 4.5098630E-002, 2.3080051E-003, 4.0000000E+000
 2.6186984E-001, 4.2973547E-002, 2.3294799E-003, 4.0000000E+000
 2.6305797E-001, 4.0836202E-002, 2.3327256E-003, 4.0000000E+000
 2.6424609E-001, 3.8698339E-002, 2.3183283E-003, 4.0000000E+000
 2.6543422E-001, 3.6571861E-002, 2.2870313E-003, 4.0000000E+000
 2.6662235E-001, 3.4468908E-002, 2.2396900E-003, 4.0000000E+000
 2.6781048E-001, 3.2401909E-002, 2.1772295E-003, 4.0000000E+000
 2.6887753E-001, 2.8217953E-002, 2.1029718E-003, 4.0000000E+000
 2.6994458E-001, 2.6051893E-002, 2.0155945E-003, 4.0000000E+000
 2.7101163E-001, 2.3968618E-002, 1.9157393E-003, 4.0000000E+000
 2.7207868E-001, 2.1982796E-002, 1.8043241E-003, 4.0000000E+000
 2.7421278E-001, 1.9235480E-002, 1.6165196E-003, 4.0000000E+000
 2.7634688E-001, 1.6028329E-002, 1.3363601E-003, 4.0000000E+000
 2.7848098E-001, 1.3457430E-002, 1.0272647E-003, 4.0000000E+000
 2.8061508E-001, 1.1606461E-002, 6.9738488E-004, 4.0000000E+000
 2.8274918E-001, 1.1098611E-002, 3.5962437E-004, 1.0000000E+000
 2.8488329E-001, 1.1004089E-002, 8.5727713E-005, 1.0000000E+000
 2.8701739E-001, 1.1019930E-002, 3.2135643E-004, 1.0000000E+000
 2.8808444E-001, 1.1654788E-002, 5.7318585E-004, 4.0000000E+000
 2.9021854E-001, 1.2935480E-002, 8.1113863E-004, 4.0000000E+000
 2.9235264E-001, 1.5189836E-002, 1.1051259E-003, 4.0000000E+000
 2.9448674E-001, 1.8023170E-002, 1.3667975E-003, 4.0000000E+000
 2.9662084E-001, 2.1338349E-002, 1.5898679E-003, 4.0000000E+000
 2.9875494E-001, 2.5032609E-002, 1.7689660E-003, 4.0000000E+000
 3.0088904E-001, 2.8999803E-002, 1.8990365E-003, 4.0000000E+000
 3.0302315E-001, 3.3131922E-002, 1.9756768E-003, 4.0000000E+000
 3.0409020E-001, 3.6274558E-002, 1.9980367E-003, 4.0000000E+000
 3.0622430E-001, 3.9401239E-002, 1.9845014E-003, 4.0000000E+000
 3.0835840E-001, 4.3470521E-002, 1.9190785E-003, 4.0000000E+000
 3.1049250E-001, 4.7328902E-002, 1.7993084E-003, 4.0000000E+000
 3.1262660E-001, 5.0877042E-002, 1.6300691E-003, 4.0000000E+000
 3.1476070E-001, 5.4023552E-002, 1.4180165E-003, 4.0000000E+000
 3.1689480E-001, 5.6687452E-002, 1.1709460E-003, 4.0000000E+000
 3.1902890E-001, 5.8800421E-002, 8.9717626E-004, 4.0000000E+000
 3.2009596E-001, 6.0010601E-002, 6.7975055E-004, 4.0000000E+000
 3.2223006E-001, 6.0580096E-002, 4.5559264E-004, 2.5000000E+000
 3.2414380E-001, 6.0514353E-002, 1.8042210E-004, 1.0000000E+000
 3.2605755E-001, 6.0312996E-002, 1.2595551E-004, 1.0000000E+000
 3.2892816E-001, 5.9931738E-002, 4.1143387E-004, 2.0000000E+000
 3.3084191E-001, 5.8593395E-002, 7.2130217E-004, 4.0000000E+000
 3.3275565E-001, 5.6576449E-002, 9.4904537E-004, 4.0000000E+000
 3.3466940E-001, 5.4032986E-002, 1.1475863E-003, 4.0000000E+000
 3.3658314E-001, 5.1034097E-002, 1.3100727E-003, 4.0000000E+000
 3.3849689E-001, 4.7675043E-002, 1.4311806E-003, 4.0000000E+000
 3.4041063E-001, 4.4067328E-002, 1.5081715E-003, 4.0000000E+000
 3.4232438E-001, 4.0329680E-002, 1.5414027E-003, 4.0000000E+000
 3.4423812E-001, 3.6579594E-002, 1.5328792E-003, 4.0000000E+000
 3.4615187E-001, 3.2927191E-002, 1.4852159E-003, 4.0000000E+000
 3.4806561E-001, 2.9472000E-002, 1.4009188E-003, 4.0000000E+000
 3.5093623E-001, 2.5583215E-002, 1.2456111E-003, 4.0000000E+000
 3.5284998E-001, 2.2247100E-002, 1.0439412E-003, 4.0000000E+000
 3.5476372E-001, 2.0102409E-002, 8.4947079E-004, 4.0000000E+000
 3.5667747E-001, 1.8462889E-002, 6.3169257E-004, 4.0000000E+000
 3.5859121E-001, 1.7954526E-002, 4.0366821E-004, 1.0000000E+000
 3.6050496E-001, 1.7799528E-002, 1.7340891E-004, 1.0000000E+000
 3.6241870E-001, 1.7721843E-002, 8.3649162E-005, 1.0000000E+000
 3.6433245E-001, 1.7720979E-002, 2.9597238E-004, 1.0000000E+000
 3.6624619E-001, 1.8098197E-002, 5.2623541E-004, 2.5000000E+000
 3.6815994E-001, 1.9661607E-002, 7.3647366E-004, 4.0000000E+000
 3.7007368E-001, 2.1676467E-002, 9.2132580E-004, 4.0000000E+000
 3.7294430E-001, 2.4749140E-002, 1.1085859E-003, 4.0000000E+000
 3.7485804E-001, 2.8259696E-002, 1.2486517E-003, 4.0000000E+000
 3.7658032E-001, 3.3163195E-002, 1.3097132E-003, 4.0000000E+000
 3.7830260E-001, 3.6649001E-002, 1.3317463E-003, 4.0000000E+000
 3.8002488E-001, 4.0138028E-002, 1.3181636E-003, 4.0000000E+000
 3.8260829E-001, 4.4345594E-002, 1.2498181E-003, 4.0000000E+000
 3.8433057E-001, 4.8244524E-002, 1.1326935E-003, 4.0000000E+000
 3.8605285E-001, 5.1001610E-002, 1.0037222E-003, 4.0000000E+000
 3.8863627E-001, 5.3858584E-002, 8.0592765E-004, 4.0000000E+000
 3.9035855E-001, 5.6030624E-002, 5.7973697E-004, 4.0000000E+000
 3.9208083E-001, 5.6930571E-002, 3.8667244E-004, 1.0000000E+000
 3.9466424E-001, 5.6773249E-002, 1.5674737E-004, 1.0000000E+000
 3.9638652E-001, 5.6510331E-002, 1.1198276E-004, 1.0000000E+000
 3.9810880E-001, 5.6217549E-002, 2.8527001E-004, 1.0000000E+000
 4.0069222E-001, 5.5565922E-002, 5.1323930E-004, 3.0000000E+000
 4.0241449E-001, 5.3607072E-002, 7.2522548E-004, 4.0000000E+000
 4.0413677E-001, 5.1430472E-002, 8.7458533E-004, 4.0000000E+000
 4.0672019E-001, 4.8199559E-002, 1.0200408E-003, 4.0000000E+000
 4.0844247E-001, 4.4584725E-002, 1.1169214E-003, 4.0000000E+000
 4.1016475E-001, 4.1506501E-002, 1.1524900E-003, 4.0000000E+000
 4.1274816E-001, 3.7603442E-002, 1.1470239E-003, 4.0000000E+000
 4.1447044E-001, 3.3798054E-002, 1.0967750E-003, 4.0000000E+000
 4.1619272E-001, 3.0942134E-002, 1.0251500E-003, 4.0000000E+000
 4.1877614E-001, 2.7739821E-002, 9.0123619E-004, 4.0000000E+000
 4.2041161E-001, 2.4547437E-002, 7.5041621E-004, 4.0000000E+000
 4.2273460E-001, 2.1894272E-002, 5.7559132E-004, 4.0000000E+000
 4.2428327E-001, 2.1323510E-002, 3.8933776E-004, 1.0000000E+000
 4.2660626E-001, 2.1098499E-002, 2.0014464E-004, 1.0000000E+000
 4.2815492E-001, 2.0970087E-002, 5.0831510E-005, 1.0000000E+000
 4.3047792E-001, 2.0951825E-002, 2.0408767E-004, 1.0000000E+000
 4.3202658E-001, 2.1029346E-002, 4.0124200E-004, 1.0000000E+000
 4.3434958E-001, 2.2679266E-002, 5.8107631E-004, 4.0000000E+000
 4.3667257E-001, 2.5746898E-002, 7.6246939E-004, 4.0000000E+000
 4.3822123E-001, 2.8778323E-002, 8.7545486E-004, 4.0000000E+000
 4.4054423E-001, 3.2120328E-002, 9.4646956E-004, 4.0000000E+000
 4.4209289E-001, 3.5602359E-002, 9.7834288E-004, 4.0000000E+000
 4.4441588E-001, 3.9094828E-002, 9.6589652E-004, 4.0000000E+000
 4.4673888E-001, 4.3102384E-002, 8.9880126E-004, 4.0000000E+000
 4.4828754E-001, 4.6143828E-002, 8.0252115E-004, 4.0000000E+000
 4.5061054E-001, 4.8737039E-002, 6.7136729E-004, 4.0000000E+000
 4.5215920E-001, 5.0833778E-002, 5.1700897E-004, 2.5000000E+000
 4.5448219E-001, 5.1165759E-002, 3.5769025E-004, 1.0000000E+000
 4.5603086E-001, 5.1068467E-002, 1.9976416E-004, 1.0000000E+000
 4.5835385E-001, 5.0883637E-002, 8.0475990E-005, 1.0000000E+000
 4.6067684E-001, 5.0559681E-002, 1.8983824E-004, 1.0000000E+000
 4.6222551E-001, 5.0207171E-002, 3.4269441E-004, 1.0000000E+000
 4.6454850E-001, 4.9662942E-002, 4.8690284E-004, 2.0000000E+000
 4.6609716E-001, 4.8038161E-002, 6.0705578E-004, 4.0000000E+000
 4.6842016E-001, 4.5616545E-002, 7.2364964E-004, 4.0000000E+000
 4.7074315E-001, 4.2169414E-002, 8.1439802E-004, 4.0000000E+000
 4.7229182E-001, 3.9002962E-002, 8.4196219E-004, 4.0000000E+000
 4.7461481E-001, 3.5763051E-002, 8.2416699E-004, 4.0000000E+000
 4.7616347E-001, 3.2633590E-002, 7.7460132E-004, 4.0000000E+000
 4.7848647E-001, 2.9795882E-002, 6.9809352E-004, 4.0000000E+000
 4.8003513E-001, 2.7322612E-002, 6.0285206E-004, 4.0000000E+000
 4.8235812E-001, 2.5908998E-002, 5.0095823E-004, 2.3333333E+000
 4.8444881E-001, 2.5435208E-002, 4.0303742E-004, 1.0000000E+000
 4.8653951E-001, 2.5137852E-002, 2.8010931E-004, 1.0000000E+000
 4.8863020E-001, 2.4947215E-002, 1.3365301E-004, 1.0000000E+000
 4.9002399E-001, 2.4867300E-002, 8.2439938E-005, 1.0000000E+000
 4.9211468E-001, 2.4865500E-002, 1.7852453E-004, 1.0000000E+000
 4.9420537E-001, 2.4955093E-002, 3.1937138E-004, 1.0000000E+000
 4.9629606E-001, 2.5416433E-002, 4.6151948E-004, 2.0000000E+000
 4.9838675E-001, 2.8011699E-002, 5.7931343E-004, 4.0000000E+000
 5.0047744E-001, 3.1189133E-002, 6.6681911E-004, 4.0000000E+000
 5.0256813E-001, 3.4466777E-002, 7.1061195E-004, 4.0000000E+000
 5.0465882E-001, 3.7683221E-002, 7.0869125E-004, 4.0000000E+000
 5.0605261E-001, 4.0237067E-002, 6.7219273E-004, 4.0000000E+000
 5.0814330E-001, 4.2587260E-002, 6.0180532E-004, 4.0000000E+000
 5.1023399E-001, 4.4825508E-002, 4.8975398E-004, 2.0000000E+000
 5.1232468E-001, 4.5119849E-002, 3.7936050E-004, 1.0000000E+000
 5.1441537E-001, 4.5100635E-002, 2.5788182E-004, 1.0000000E+000
 5.1650606E-001, 4.5015031E-002, 1.4499518E-004, 1.0000000E+000
 5.1859676E-001, 4.4862484E-002, 1.0574202E-004, 1.0000000E+000
 5.2068745E-001, 4.4641799E-002, 1.8003377E-004, 1.0000000E+000
 5.2208124E-001, 4.4406238E-002, 2.7636718E-004, 1.0000000E+000
 5.2417193E-001, 4.4117801E-002, 3.7079311E-004, 1.0000000E+000
 5.2626262E-001, 4.3666793E-002, 4.7362520E-004, 1.0000000E+000
 5.2835331E-001, 4.2572713E-002, 5.2144667E-004, 4.0000000E+000
 5.3044400E-001, 4.0261536E-002, 5.7635586E-004, 4.0000000E+000
 5.3253469E-001, 3.7333577E-002, 5.8853168E-004, 4.0000000E+000
 5.3462538E-001, 3.4117490E-002, 5.5627422E-004, 4.0000000E+000
 5.3601917E-001, 3.1751028E-002, 5.0908472E-004, 3.5000000E+000
 5.3810986E-001, 3.1047226E-002, 4.8942768E-004, 1.0000000E+000
 5.4020055E-001, 3.0353421E-002, 4.8409925E-004, 1.0000000E+000
 5.4229124E-001, 2.9878588E-002, 4.6435784E-004, 1.0000000E+000
 5.4438193E-001, 2.9469418E-002, 4.1668002E-004, 1.0000000E+000
 5.4647262E-001, 2.9127457E-002, 3.5744732E-004, 1.0000000E+000
 5.4856331E-001, 2.8852211E-002, 2.8825601E-004, 1.0000000E+000
 5.5065401E-001, 2.8641608E-002, 2.1071952E-004, 1.0000000E+000
 5.5204780E-001, 2.8511913E-002, 1.4119101E-004, 1.0000000E+000
 5.5413849E-001, 2.8425548E-002, 9.6843630E-005, 1.0000000E+000
 5.5622918E-001, 2.8370758E-002, 1.1765367E-004, 1.0000000E+000
 5.5824990E-001, 2.8393234E-002, 1.9044590E-004, 1.0000000E+000
 5.6013068E-001, 2.8521284E-002, 2.6042183E-004, 1.0000000E+000
 5.6201147E-001, 2.8647729E-002, 3.2247354E-004, 1.0000000E+000
 5.6451918E-001, 2.8847466E-002, 3.7889251E-004, 1.0000000E+000
 5.6639996E-001, 2.9095184E-002, 4.2671212E-004, 1.0000000E+000
 5.6828075E-001, 3.0227344E-002, 4.8402079E-004, 2.0000000E+000
 5.7016153E-001, 3.3172125E-002, 5.2801424E-004, 4.0000000E+000
 5.7204231E-001, 3.6030919E-002, 5.4183282E-004, 4.0000000E+000
 5.7455003E-001, 3.9005412E-002, 5.0484264E-004, 2.5000000E+000
 5.7643081E-001, 4.0215352E-002, 4.4986439E-004, 1.0000000E+000
 5.7831159E-001, 4.0260711E-002, 3.9303402E-004, 1.0000000E+000
 5.8019238E-001, 4.0256552E-002, 3.3183039E-004, 1.0000000E+000
 5.8207316E-001, 4.0206548E-002, 2.6092712E-004, 1.0000000E+000
 5.8458087E-001, 4.0094018E-002, 1.8122237E-004, 1.0000000E+000
 5.8646166E-001, 3.9931705E-002, 1.0424286E-004, 1.0000000E+000
 5.8834244E-001, 3.9752840E-002, 1.0262160E-004, 1.0000000E+000
 5.9022322E-001, 3.9539874E-002, 1.6438928E-004, 1.0000000E+000
 5.9210401E-001, 3.9293369E-002, 2.1883730E-004, 1.0000000E+000
 5.9461172E-001, 3.8961945E-002, 2.7114547E-004, 1.0000000E+000
 5.9649250E-001, 3.8585536E-002, 3.1629588E-004, 1.0000000E+000
 5.9837329E-001, 3.8223072E-002, 3.5680829E-004, 1.0000000E+000
 6.0025407E-001, 3.7823770E-002, 4.0953785E-004, 1.0000000E+000
 6.0213485E-001, 3.7387219E-002, 4.5798571E-004, 1.0000000E+000
 6.0401564E-001, 3.6751774E-002, 4.8113064E-004, 1.3333333E+000
 6.0652335E-001, 3.5662597E-002, 4.9598569E-004, 2.0000000E+000
 6.0840413E-001, 3.4270199E-002, 4.9792367E-004, 3.0000000E+000
 6.1028492E-001, 3.3166615E-002, 4.9011147E-004, 1.6666667E+000
 6.1216570E-001, 3.2279380E-002, 4.8682797E-004, 1.0000000E+000
 6.1404648E-001, 3.1391710E-002, 4.7012428E-004, 1.0000000E+000
 6.1655420E-001, 3.0510828E-002, 4.5950956E-004, 1.0000000E+000
 6.1843498E-001, 2.9750326E-002, 4.4334763E-004, 1.0000000E+000
 6.2031576E-001, 2.9182953E-002, 4.3012142E-004, 1.0000000E+000
 6.2219655E-001, 2.8725001E-002, 4.2173121E-004, 1.0000000E+000
 6.2407733E-001, 2.8310178E-002, 3.8968961E-004, 1.0000000E+000
 6.2658504E-001, 2.7888653E-002, 3.4322168E-004, 1.0000000E+000
 6.2846583E-001, 2.7534107E-002, 2.8872959E-004, 1.0000000E+000
 6.3034661E-001, 2.7289697E-002, 2.3696905E-004, 1.0000000E+000
 6.3222739E-001, 2.7099184E-002, 1.8374564E-004, 1.0000000E+000
 6.3410818E-001, 2.6961668E-002, 1.3063694E-004, 1.0000000E+000
 6.3661589E-001, 2.6867212E-002, 9.3210062E-005, 1.0000000E+000
 6.3849667E-001, 2.6834838E-002, 1.4166801E-004, 1.0000000E+000
 6.4037746E-001, 2.6856194E-002, 1.8779802E-004, 1.0000000E+000
 6.4225824E-001, 2.6917553E-002, 2.2914917E-004, 1.0000000E+000
 6.4451395E-001, 2.7162439E-002, 2.6296989E-004, 1.0000000E+000
 6.4620573E-001, 2.7369429E-002, 2.9600636E-004, 1.0000000E+000
 6.4846145E-001, 2.7609973E-002, 3.5044256E-004, 1.0000000E+000
 6.5015323E-001, 2.7873789E-002, 4.0365452E-004, 1.0000000E+000
 6.5240894E-001, 2.8156211E-002, 4.5183783E-004, 1.0000000E+000
 6.5410073E-001, 2.9849504E-002, 4.8843934E-004, 1.0000000E+000
 6.5635644E-001, 3.3017703E-002, 4.9833942E-004, 1.5000000E+000
 6.5804822E-001, 3.4997191E-002, 4.9165756E-004, 1.0000000E+000
 6.6030393E-001, 3.5214237E-002, 4.7626679E-004, 1.0000000E+000
 6.6255965E-001, 3.5434463E-002, 4.5024023E-004, 1.0000000E+000
 6.6425143E-001, 3.5606464E-002, 4.2350701E-004, 1.0000000E+000
 6.6650714E-001, 3.5761536E-002, 3.9805653E-004, 1.0000000E+000
 6.6819893E-001, 3.5903157E-002, 3.6889458E-004, 1.0000000E+000
 6.7045464E-001, 3.6030081E-002, 3.3893152E-004, 1.0000000E+000
 6.7214642E-001, 3.6141601E-002, 3.0247703E-004, 1.0000000E+000
 6.7440213E-001, 3.6231499E-002, 2.6039702E-004, 1.0000000E+000
 6.7609392E-001, 3.6295828E-002, 2.1662613E-004, 1.0000000E+000
 6.7834963E-001, 3.6324404E-002, 1.6968532E-004, 1.0000000E+000
 6.8004141E-001, 3.6313476E-002, 1.2592713E-004, 1.0000000E+000
 6.8229713E-001, 3.6252340E-002, 1.1651505E-004, 1.0000000E+000
 6.8455284E-001, 3.6119087E-002, 1.3726524E-004, 1.0000000E+000
 6.8624462E-001, 3.5944557E-002, 1.5790541E-004, 1.0000000E+000
 6.8850033E-001, 3.5712322E-002, 1.8699191E-004, 1.0000000E+000
 6.9019212E-001, 3.5430172E-002, 2.2290381E-004, 1.0000000E+000
 6.9244783E-001, 3.5098065E-002, 2.6254172E-004, 1.0000000E+000
 6.9413961E-001, 3.4726361E-002, 3.0325335E-004, 1.0000000E+000
