s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 1.6120804E-001, 5.6390465E-002, 1.3877788E-017, 1.0000000E+000, 6.2730661E+001
 1.6303336E-001, 5.6356652E-002, 1.3877788E-017, 1.0000000E+000, 6.3834669E+001
 1.6467177E-001, 5.6332858E-002, 1.3877788E-017, 1.0000000E+000, 6.5118078E+001
 1.6631019E-001, 5.6302000E-002, 1.3877788E-017, 1.0000000E+000, 6.6320394E+001
 1.6794861E-001, 5.6270866E-002, 1.3877788E-017, 1.0000000E+000, 6.7397215E+001
 1.6958703E-001, 5.6239455E-002, 1.3877788E-017, 1.0000000E+000, 6.7928205E+001
 1.7122544E-001, 5.6207770E-002, 1.3877788E-017, 1.0000000E+000, 6.8972395E+001
 1.7286386E-001, 5.6175809E-002, 1.3877788E-017, 1.0000000E+000, 7.0069898E+001
 1.7450228E-001, 5.6143574E-002, 1.3877788E-017, 1.0000000E+000, 7.1108656E+001
 1.7614070E-001, 5.6111066E-002, 1.3877788E-017, 1.0000000E+000, 7.2205808E+001
 1.7777911E-001, 5.6078285E-002, 1.3877788E-017, 1.0000000E+000, 7.3479612E+001
 1.7941753E-001, 5.6045232E-002, 1.3877788E-017, 1.0000000E+000, 7.4007551E+001
 1.8105595E-001, 5.6011908E-002, 1.3877788E-017, 1.0000000E+000, 7.5054731E+001
 1.8269437E-001, 5.5978313E-002, 1.3877788E-017, 1.0000000E+000, 7.6195646E+001
 1.8433278E-001, 5.5944447E-002, 1.3877788E-017, 1.0000000E+000, 7.7240141E+001
 1.8580511E-001, 5.5920603E-002, 1.3877788E-017, 1.0000000E+000, 7.8504339E+001
 1.8727744E-001, 5.5889774E-002, 1.3877788E-017, 1.0000000E+000, 7.8975965E+001
 1.8874976E-001, 5.5858728E-002, 1.3877788E-017, 1.0000000E+000, 8.0076322E+001
 1.9022209E-001, 5.5827466E-002, 1.3877788E-017, 1.0000000E+000, 8.1156660E+001
 1.9169442E-001, 5.5795988E-002, 1.3877788E-017, 1.0000000E+000, 8.2259298E+001
 1.9316674E-001, 5.5764295E-002, 1.3877788E-017, 1.0000000E+000, 8.2732389E+001
 1.9463907E-001, 5.5732387E-002, 1.3877788E-017, 1.0000000E+000, 8.3829481E+001
 1.9611140E-001, 5.5700266E-002, 1.3877788E-017, 1.0000000E+000, 8.4869779E+001
 1.9758372E-001, 5.5667931E-002, 1.3877788E-017, 1.0000000E+000, 8.5965376E+001
 1.9905605E-001, 5.5635383E-002, 1.3877788E-017, 1.0000000E+000, 8.6434500E+001
 2.0052838E-001, 5.5602622E-002, 1.3877788E-017, 1.0000000E+000, 8.7532179E+001
 2.0200071E-001, 5.5569650E-002, 1.3877788E-017, 1.0000000E+000, 8.8621008E+001
 2.0347303E-001, 5.5536466E-002, 1.3877788E-017, 1.0000000E+000, 8.9902891E+001
 2.0494536E-001, 5.5503071E-002, 1.3877788E-017, 1.0000000E+000, 9.0374227E+001
 2.0641769E-001, 5.5469466E-002, 1.3877788E-017, 1.0000000E+000, 9.1511175E+001
 2.0789001E-001, 5.5435651E-002, 1.3877788E-017, 1.0000000E+000, 9.2593016E+001
 2.0936234E-001, 5.5401627E-002, 1.3877788E-017, 1.0000000E+000, 9.3123899E+001
 2.1068699E-001, 5.5377636E-002, 1.3877788E-017, 1.0000000E+000, 9.4330198E+001
 2.1201164E-001, 5.5346716E-002, 1.3877788E-017, 1.0000000E+000, 9.5425688E+001
 2.1333628E-001, 5.5315628E-002, 1.3877788E-017, 1.0000000E+000, 9.6470358E+001
 2.1466093E-001, 5.5284372E-002, 1.3877788E-017, 1.0000000E+000, 9.7000303E+001
 2.1598558E-001, 5.5252948E-002, 1.3877788E-017, 1.0000000E+000, 9.8239195E+001
 2.1731023E-001, 5.5221358E-002, 1.3877788E-017, 1.0000000E+000, 9.8767263E+001
 2.1863487E-001, 5.5189601E-002, 1.3877788E-017, 1.0000000E+000, 9.9807096E+001
 2.1995952E-001, 5.5157678E-002, 1.3877788E-017, 1.0000000E+000, 1.0096246E+002
 2.2128417E-001, 5.5125589E-002, 1.3877788E-017, 1.0000000E+000, 1.0143622E+002
 2.2260882E-001, 5.5093335E-002, 1.3877788E-017, 1.0000000E+000, 1.0251596E+002
 2.2393346E-001, 5.5060916E-002, 1.3877788E-017, 1.0000000E+000, 1.0358639E+002
 2.2525811E-001, 5.5028333E-002, 1.3877788E-017, 1.0000000E+000, 1.0411007E+002
 2.2658276E-001, 5.4995585E-002, 1.3877788E-017, 1.0000000E+000, 1.0516412E+002
 2.2790741E-001, 5.4962674E-002, 1.3877788E-017, 1.0000000E+000, 1.0637261E+002
 2.2923205E-001, 5.4929600E-002, 1.3877788E-017, 1.0000000E+000, 1.0684608E+002
 2.3055670E-001, 5.4896363E-002, 1.3877788E-017, 1.0000000E+000, 1.0801410E+002
 2.3188135E-001, 5.4862964E-002, 1.3877788E-017, 1.0000000E+000, 1.0905960E+002
 2.3320600E-001, 5.4829403E-002, 1.3877788E-017, 1.0000000E+000, 1.0958850E+002
 2.3453064E-001, 5.4795680E-002, 1.3877788E-017, 1.0000000E+000, 1.1063632E+002
 2.3585529E-001, 5.4761796E-002, 1.3877788E-017, 1.0000000E+000, 1.1173932E+002
 2.3717994E-001, 5.4727752E-002, 1.3877788E-017, 1.0000000E+000, 1.1221114E+002
 2.3850459E-001, 5.4693548E-002, 1.3877788E-017, 1.0000000E+000, 1.1330927E+002
 2.3982923E-001, 5.4659184E-002, 1.3877788E-017, 1.0000000E+000, 1.1435199E+002
 2.4101947E-001, 5.4635134E-002, 1.3877788E-017, 1.0000000E+000, 1.1504346E+002
 2.4220970E-001, 5.4604023E-002, 1.3877788E-017, 1.0000000E+000, 1.1608415E+002
 2.4339994E-001, 5.4572783E-002, 1.3877788E-017, 1.0000000E+000, 1.1722325E+002
 2.4459017E-001, 5.4541415E-002, 1.3877788E-017, 1.0000000E+000, 1.1769693E+002
 2.4578041E-001, 5.4509920E-002, 1.3877788E-017, 1.0000000E+000, 1.1882033E+002
 2.4697064E-001, 5.4478298E-002, 1.3877788E-017, 1.0000000E+000, 1.1929454E+002
 2.4816088E-001, 5.4446549E-002, 1.3877788E-017, 1.0000000E+000, 1.2043542E+002
 2.4935111E-001, 5.4414674E-002, 1.3877788E-017, 1.0000000E+000, 1.2147814E+002
 2.5054135E-001, 5.4382673E-002, 1.3877788E-017, 1.0000000E+000, 1.2200333E+002
 2.5173158E-001, 5.4350546E-002, 1.3877788E-017, 1.0000000E+000, 1.2304714E+002
 2.5292182E-001, 5.4318294E-002, 1.3877788E-017, 1.0000000E+000, 1.2357753E+002
 2.5411205E-001, 5.4285916E-002, 1.3877788E-017, 1.0000000E+000, 1.2465952E+002
 2.5530229E-001, 5.4253414E-002, 2.7755576E-017, 1.0000000E+000, 1.2576051E+002
 2.5649252E-001, 5.4220788E-002, 2.7755576E-017, 1.0000000E+000, 1.2623067E+002
 2.5768276E-001, 5.4188037E-002, 2.7755576E-017, 1.0000000E+000, 1.2733002E+002
 2.5887299E-001, 5.4155163E-002, 2.7755576E-017, 1.0000000E+000, 1.2780120E+002
 2.6006322E-001, 5.4122165E-002, 0.0000000E+000, 1.0000000E+000, 1.2894213E+002
 2.6125346E-001, 5.4089044E-002, 0.0000000E+000, 1.0000000E+000, 1.2998751E+002
