s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 5.5339859E-002, 5.7701481E-002, 4.9745314E-005, 1.0000000E+000, 3.1549416E+001, 1.1000000E+001, 8.2934837E-009, 9.8377393E-002
 5.9292706E-002, 5.7656741E-002, 4.9262275E-005, 1.0000000E+000, 3.4109246E+001, 1.1000000E+001, 1.3679799E-009, 7.9907402E-002
 6.3245553E-002, 5.7682114E-002, 4.5810458E-005, 1.0000000E+000, 3.6817402E+001, 1.1000000E+001, 2.0539432E-009, 8.2398992E-002
 6.7198400E-002, 5.7664165E-002, 4.6891057E-005, 1.0000000E+000, 3.9463540E+001, 1.1000000E+001, 2.1149950E-009, 8.2455797E-002
 7.1151247E-002, 5.7515692E-002, 4.7653100E-005, 1.0000000E+000, 4.2545476E+001, 1.1000000E+001, 2.1681872E-009, 8.2535034E-002
 7.5104094E-002, 5.7446244E-002, 4.8799618E-005, 1.0000000E+000, 4.5594689E+001, 1.1000000E+001, 2.2358313E-009, 8.2601321E-002
 7.9056942E-002, 5.7405062E-002, 4.4067599E-005, 1.0000000E+000, 4.8790440E+001, 1.1000000E+001, 3.8133982E-009, 8.6186025E-002
 8.2490439E-002, 5.7567966E-002, 4.9407354E-005, 1.0000000E+000, 5.2552079E+001, 1.1000000E+001, 1.6763713E-009, 8.0413722E-002
 8.5923937E-002, 5.7481374E-002, 4.6258380E-005, 1.0000000E+000, 5.5267087E+001, 1.1000000E+001, 2.4744572E-009, 8.2745742E-002
 8.9357435E-002, 5.7462432E-002, 4.7343697E-005, 1.0000000E+000, 5.7945992E+001, 1.1000000E+001, 2.5489588E-009, 8.2807911E-002
 9.2370531E-002, 5.7472866E-002, 4.7446815E-005, 1.0000000E+000, 6.1429089E+001, 1.2000000E+001, 4.7238722E-010, 9.2269086E-002
