s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 1.3049504E-001, 5.6900058E-002, 4.9632198E-005, 1.0000000E+000, 1.4867668E+002, 1.0000000E+001, 3.4362111E-009, 8.1570523E-002
 1.3254874E-001, 5.6849244E-002, 4.9593549E-005, 1.0000000E+000, 1.5201882E+002, 1.0000000E+001, 3.3660333E-009, 8.1351307E-002
 1.3460244E-001, 5.6814933E-002, 4.9660058E-005, 1.0000000E+000, 1.5539965E+002, 1.0000000E+001, 3.3063846E-009, 8.1141792E-002
 1.3665614E-001, 5.6780145E-002, 4.9759317E-005, 1.0000000E+000, 1.5895821E+002, 1.0000000E+001, 3.2521740E-009, 8.0942330E-002
 1.3870984E-001, 5.6744838E-002, 4.9888135E-005, 1.0000000E+000, 1.6254520E+002, 1.0000000E+001, 3.2029724E-009, 8.0752719E-002
 1.4076354E-001, 5.6709011E-002, 5.0044727E-005, 1.0000000E+000, 1.6644786E+002, 1.0000000E+001, 3.1584493E-009, 8.0572700E-002
 1.4281724E-001, 5.6672663E-002, 5.0877914E-005, 1.0000000E+000, 1.7027487E+002, 1.0000000E+001, 3.2118009E-009, 8.0575462E-002
 1.4487094E-001, 5.6633511E-002, 5.1732248E-005, 1.0000000E+000, 1.7426879E+002, 1.0000000E+001, 3.2664488E-009, 8.0577999E-002
 1.4669718E-001, 5.6642089E-002, 4.9607284E-005, 1.0000000E+000, 1.7915749E+002, 1.0000000E+001, 3.7940983E-009, 8.1375702E-002
 1.4852342E-001, 5.6591385E-002, 4.9512379E-005, 1.0000000E+000, 1.8255767E+002, 1.0000000E+001, 3.7139746E-009, 8.1163530E-002
 1.5034966E-001, 5.6557292E-002, 4.9523250E-005, 1.0000000E+000, 1.8606577E+002, 1.0000000E+001, 3.6457441E-009, 8.0961180E-002
 1.5217590E-001, 5.6522838E-002, 4.9562178E-005, 1.0000000E+000, 1.8973055E+002, 1.0000000E+001, 3.5833733E-009, 8.0768986E-002
 1.5400214E-001, 5.6492749E-002, 4.9636611E-005, 1.0000000E+000, 1.9338889E+002, 1.0000000E+001, 3.5271052E-009, 8.0586609E-002
 1.5582839E-001, 5.6457526E-002, 5.0369452E-005, 1.0000000E+000, 1.9717060E+002, 1.0000000E+001, 3.5796409E-009, 8.0588103E-002
 1.5765463E-001, 5.6414440E-002, 5.1106989E-005, 1.0000000E+000, 2.0045276E+002, 1.0000000E+001, 3.6324985E-009, 8.0589518E-002
 1.5948087E-001, 5.6375702E-002, 5.1864969E-005, 1.0000000E+000, 2.0452376E+002, 1.0000000E+001, 3.6867671E-009, 8.0590760E-002
 1.6130711E-001, 5.6341497E-002, 5.2643772E-005, 1.0000000E+000, 2.0843424E+002, 1.0000000E+001, 3.7424730E-009, 8.0591834E-002
 1.6313335E-001, 5.6306948E-002, 5.3432674E-005, 1.0000000E+000, 2.1240070E+002, 1.0000000E+001, 3.7988747E-009, 8.0592809E-002
 1.6477248E-001, 5.6314282E-002, 4.9418968E-005, 1.0000000E+000, 2.1753994E+002, 1.0000000E+001, 3.9836157E-009, 8.0777001E-002
 1.6641161E-001, 5.6269353E-002, 4.9975168E-005, 1.0000000E+000, 2.2119181E+002, 1.0000000E+001, 4.0289542E-009, 8.0778465E-002
 1.6805074E-001, 5.6232304E-002, 4.9955306E-005, 1.0000000E+000, 2.2497583E+002, 1.0000000E+001, 3.9577287E-009, 8.0594740E-002
 1.6968987E-001, 5.6197756E-002, 5.0603708E-005, 1.0000000E+000, 2.2881607E+002, 1.0000000E+001, 4.0093387E-009, 8.0595439E-002
 1.7132900E-001, 5.6160019E-002, 5.1264502E-005, 1.0000000E+000, 2.3209532E+002, 1.0000000E+001, 4.0619022E-009, 8.0596040E-002
 1.7296813E-001, 5.6121880E-002, 5.1932116E-005, 1.0000000E+000, 2.3605461E+002, 1.0000000E+001, 4.1149895E-009, 8.0596579E-002
 1.7460727E-001, 5.6088922E-002, 5.2617293E-005, 1.0000000E+000, 2.3996419E+002, 1.0000000E+001, 4.1694278E-009, 8.0596992E-002
 1.7624640E-001, 5.6055694E-002, 5.3309477E-005, 1.0000000E+000, 2.4394168E+002, 1.0000000E+001, 4.2244039E-009, 8.0597347E-002
 1.7788553E-001, 5.6022187E-002, 5.4008437E-005, 1.0000000E+000, 2.4793048E+002, 1.0000000E+001, 4.2798996E-009, 8.0597646E-002
 1.7952466E-001, 5.5988400E-002, 5.4714133E-005, 1.0000000E+000, 2.5133052E+002, 1.0000000E+001, 4.3359117E-009, 8.0597892E-002
 1.8116379E-001, 5.5954336E-002, 5.5426526E-005, 1.0000000E+000, 2.5525568E+002, 1.0000000E+001, 4.3924369E-009, 8.0598085E-002
 1.8280292E-001, 5.5919993E-002, 5.6145579E-005, 1.0000000E+000, 2.5922016E+002, 1.0000000E+001, 4.4494720E-009, 8.0598227E-002
 1.8444205E-001, 5.5885374E-002, 5.6871250E-005, 1.0000000E+000, 2.6314020E+002, 1.0000000E+001, 4.5070133E-009, 8.0598319E-002
