m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,mu_strm_bot-x,mu_strm_bot,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib,mu_prof_rib-z,mu_prof_rib
-3.9687500E-001, 4.3794042E-001,-4.6875000E-002, 1.3292576E+000,-3.9687500E-001, 6.9029334E-005,-3.9687500E-001, 3.6995044E-001,-4.6875000E-002, 5.6830378E-001, 1.0312500E-001,-3.5651764E-001, 1.0312500E-001, 4.9792930E-001, 1.0312500E-001, 6.2771811E-005
-3.9062500E-001, 4.5023651E-001,-4.0625000E-002, 8.8510018E-001,-3.9062500E-001, 6.9148470E-005,-3.9062500E-001, 3.6732554E-001,-4.0625000E-002, 7.9524764E-001, 1.0937500E-001, 1.5111725E-001, 1.0937500E-001, 6.3686803E-001, 1.0937500E-001, 1.6650705E-004
-3.8437500E-001, 4.6271966E-001,-3.4375000E-002, 5.5612821E-001,-3.8437500E-001, 6.8570376E-005,-3.8437500E-001, 3.6414081E-001,-3.4375000E-002, 7.9959813E-001, 1.1562500E-001, 7.5458357E-001, 1.1562500E-001, 7.5792814E-001, 1.1562500E-001, 1.6064552E-004
-3.7812500E-001, 4.7726295E-001,-2.8125000E-002, 3.5091875E-001,-3.7812500E-001, 6.7676262E-005,-3.7812500E-001, 3.5866689E-001,-2.8125000E-002, 7.4229434E-001, 1.2187500E-001, 1.3234958E+000, 1.2187500E-001, 7.0555910E-001, 1.2187500E-001, 1.4016892E-004
-3.7187500E-001, 4.8877801E-001,-2.1875000E-002, 2.5194991E-001,-3.7187500E-001, 6.7444906E-005,-3.7187500E-001, 3.5599412E-001,-2.1875000E-002, 6.9009974E-001, 1.2812500E-001, 1.6990216E+000, 1.2812500E-001, 5.4409336E-001, 1.2812500E-001, 1.1522365E-004
-3.6562500E-001, 5.0024218E-001,-1.5625000E-002, 1.8872402E-001,-3.6562500E-001, 6.7873856E-005,-3.6562500E-001, 3.5259826E-001,-1.5625000E-002, 6.6268515E-001, 1.3437500E-001, 1.8729958E+000, 1.3437500E-001, 3.9863344E-001, 1.3437500E-001, 9.9838991E-005
-3.5937500E-001, 5.1194675E-001,-9.3750000E-003, 1.6094210E-001,-3.5937500E-001, 6.7696530E-005,-3.5937500E-001, 3.4755244E-001,-9.3750000E-003, 6.4310043E-001, 1.4062500E-001, 1.9255950E+000, 1.4062500E-001, 3.0815902E-001, 1.4062500E-001, 9.2359529E-005
-3.5312500E-001, 5.2193998E-001,-3.1250000E-003, 1.5111725E-001,-3.5312500E-001, 6.7456393E-005,-3.5312500E-001, 3.4376969E-001,-3.1250000E-003, 6.3686803E-001, 1.4687500E-001, 1.9214566E+000, 1.4687500E-001, 2.6447669E-001, 1.4687500E-001, 8.9320818E-005
-3.4687500E-001, 5.2822871E-001, 3.1250000E-003, 1.6140935E-001,-3.4687500E-001, 6.7152582E-005,-3.4687500E-001, 3.4459483E-001, 3.1250000E-003, 6.3182222E-001, 1.5312500E-001, 1.9011911E+000, 1.5312500E-001, 2.3645234E-001, 1.5312500E-001, 8.6150005E-005
-3.4062500E-001, 5.3359176E-001, 9.3750000E-003, 1.8352802E-001,-3.4062500E-001, 6.6745387E-005,-3.4062500E-001, 3.4454764E-001, 9.3750000E-003, 6.2682942E-001, 1.5937500E-001, 1.8782250E+000, 1.5937500E-001, 2.1945099E-001, 1.5937500E-001, 8.2943082E-005
-3.3437500E-001, 5.4161834E-001, 1.5625000E-002, 2.0508156E-001,-3.3437500E-001, 6.6338639E-005,-3.3437500E-001, 3.4348022E-001, 1.5625000E-002, 6.2781214E-001, 1.6562500E-001, 1.8585540E+000, 1.6562500E-001, 2.0585036E-001, 1.6562500E-001, 7.8725047E-005
