s,m/s
Time,"Ub"
 1.5917621E+001, 9.6714101E-001
 1.6018663E+001, 9.6714913E-001
 1.6119705E+001, 9.6765882E-001
 1.6200539E+001, 9.6812056E-001
 1.6301581E+001, 9.6786419E-001
 1.6402624E+001, 9.6663412E-001
 1.6503666E+001, 9.6493260E-001
 1.6612791E+001, 9.6401204E-001
 1.6701708E+001, 9.6433974E-001
 1.6812855E+001, 9.6500233E-001
 1.6901772E+001, 9.6581848E-001
 1.7012918E+001, 9.6657797E-001
 1.7101836E+001, 9.6601642E-001
 1.7212982E+001, 9.6498912E-001
 1.7301899E+001, 9.6406243E-001
 1.7413045E+001, 9.6380196E-001
 1.7501963E+001, 9.6415457E-001
 1.7613109E+001, 9.6485158E-001
 1.7702026E+001, 9.6535101E-001
 1.7813173E+001, 9.6594746E-001
 1.7902090E+001, 9.6669117E-001
 1.8013236E+001, 9.6800336E-001
 1.8102153E+001, 9.6937604E-001
 1.8213300E+001, 9.6975790E-001
 1.8302217E+001, 9.6935359E-001
 1.8413363E+001, 9.6893214E-001
 1.8502280E+001, 9.6912471E-001
 1.8613427E+001, 9.7020927E-001
 1.8702344E+001, 9.7159112E-001
 1.8813490E+001, 9.7240510E-001
 1.8902407E+001, 9.7239767E-001
 1.9013554E+001, 9.7162072E-001
 1.9102471E+001, 9.7108029E-001
 1.9213617E+001, 9.7104085E-001
 1.9302534E+001, 9.7143079E-001
 1.9413681E+001, 9.7177165E-001
 1.9502598E+001, 9.7170153E-001
 1.9613744E+001, 9.7148729E-001
 1.9702661E+001, 9.7172516E-001
 1.9813808E+001, 9.7228907E-001
 1.9902725E+001, 9.7293427E-001
 2.0013871E+001, 9.7324972E-001
 2.0102788E+001, 9.7301582E-001
 2.0213935E+001, 9.7233851E-001
 2.0302852E+001, 9.7144609E-001
 2.0413998E+001, 9.7125014E-001
 2.0502916E+001, 9.7190127E-001
 2.0614062E+001, 9.7288546E-001
 2.0702979E+001, 9.7337598E-001
 2.0814125E+001, 9.7293828E-001
 2.0903043E+001, 9.7230907E-001
 2.1014189E+001, 9.7201464E-001
 2.1103106E+001, 9.7203123E-001
 2.1214252E+001, 9.7211924E-001
 2.1303170E+001, 9.7273057E-001
 2.1414316E+001, 9.7356679E-001
 2.1503233E+001, 9.7419810E-001
 2.1614380E+001, 9.7432281E-001
 2.1703297E+001, 9.7412263E-001
 2.1814443E+001, 9.7342925E-001
 2.1903360E+001, 9.7252905E-001
 2.2014507E+001, 9.7183209E-001
 2.2103424E+001, 9.7206987E-001
 2.2214570E+001, 9.7281041E-001
 2.2303487E+001, 9.7293203E-001
 2.2414634E+001, 9.7291703E-001
 2.2503551E+001, 9.7336210E-001
 2.2614697E+001, 9.7424164E-001
 2.2703614E+001, 9.7525239E-001
 2.2814761E+001, 9.7571117E-001
 2.2903678E+001, 9.7507017E-001
 2.3014824E+001, 9.7322762E-001
 2.3103741E+001, 9.7138103E-001
 2.3214888E+001, 9.7059604E-001
 2.3303805E+001, 9.7144456E-001
 2.3414951E+001, 9.7283822E-001
 2.3503868E+001, 9.7374188E-001
 2.3615015E+001, 9.7445541E-001
 2.3703932E+001, 9.7485039E-001
 2.3815078E+001, 9.7431875E-001
 2.3903995E+001, 9.7316038E-001
 2.4015142E+001, 9.7155845E-001
 2.4104059E+001, 9.7090389E-001
 2.4215205E+001, 9.7160324E-001
 2.4304123E+001, 9.7253397E-001
 2.4415269E+001, 9.7364408E-001
 2.4504186E+001, 9.7455529E-001
 2.4615332E+001, 9.7480276E-001
 2.4704250E+001, 9.7420061E-001
 2.4815396E+001, 9.7186955E-001
 2.4904313E+001, 9.6926540E-001
 2.5015460E+001, 9.6922241E-001
 2.5104377E+001, 9.7142947E-001
 2.5215523E+001, 9.7328875E-001
 2.5304440E+001, 9.7396297E-001
 2.5415587E+001, 9.7358147E-001
 2.5504504E+001, 9.7266632E-001
 2.5615650E+001, 9.7166821E-001
 2.5704567E+001, 9.7102819E-001
 2.5815714E+001, 9.7165640E-001
 2.5904631E+001, 9.7333107E-001
 2.6015777E+001, 9.7494373E-001
 2.6104694E+001, 9.7546348E-001
 2.6215841E+001, 9.7529614E-001
 2.6304758E+001, 9.7479590E-001
 2.6415904E+001, 9.7410426E-001
 2.6504821E+001, 9.7310365E-001
 2.6615968E+001, 9.7227817E-001
 2.6704885E+001, 9.7157091E-001
 2.6816031E+001, 9.7123659E-001
 2.6902701E+001, 9.7078983E-001
 2.7002610E+001, 9.6995178E-001
 2.7102519E+001, 9.6963993E-001
 2.7202428E+001, 9.7010061E-001
 2.7302336E+001, 9.7032783E-001
 2.7402245E+001, 9.7065071E-001
 2.7502154E+001, 9.7125601E-001
 2.7602063E+001, 9.7139051E-001
 2.7701972E+001, 9.7095766E-001
 2.7801881E+001, 9.7033986E-001
 2.7901790E+001, 9.7021442E-001
 2.8001699E+001, 9.7037897E-001
 2.8101608E+001, 9.7035696E-001
 2.8201517E+001, 9.7014016E-001
 2.8301426E+001, 9.6931811E-001
 2.8401334E+001, 9.6840836E-001
 2.8501243E+001, 9.6823428E-001
 2.8601152E+001, 9.6840240E-001
 2.8701061E+001, 9.6857979E-001
 2.8800970E+001, 9.6911035E-001
 2.8900879E+001, 9.6965267E-001
 2.9000788E+001, 9.6974514E-001
 2.9100697E+001, 9.6947003E-001
 2.9200606E+001, 9.6881989E-001
 2.9300515E+001, 9.6833639E-001
 2.9400423E+001, 9.6810395E-001
 2.9500332E+001, 9.6817081E-001
 2.9600241E+001, 9.6815140E-001
 2.9700150E+001, 9.6813084E-001
 2.9800059E+001, 9.6761759E-001
 2.9919950E+001, 9.6698902E-001
 3.0019859E+001, 9.6652730E-001
 3.0119768E+001, 9.6629270E-001
 3.0219676E+001, 9.6557116E-001
 3.0319585E+001, 9.6406922E-001
 3.0419494E+001, 9.6289081E-001
 3.0519403E+001, 9.6296174E-001
 3.0619312E+001, 9.6314050E-001
 3.0719221E+001, 9.6242994E-001
 3.0819130E+001, 9.6110454E-001
 3.0919039E+001, 9.5996908E-001
 3.1018948E+001, 9.6100124E-001
