s,m/s
Time,"Ub"
 0.0000000E+000, 1.0420000E+000
 1.0170307E-001, 1.0801137E+000
 2.0239047E-001, 1.0334915E+000
 3.0307786E-001, 1.0116377E+000
 4.0669714E-001, 1.0006547E+000
 5.0228688E-001, 9.9402090E-001
 6.0204163E-001, 9.8884125E-001
 7.0315208E-001, 9.8394679E-001
 8.0426253E-001, 9.7952669E-001
 9.0403831E-001, 9.7633041E-001
 1.0030248E+000, 9.7496006E-001
 1.1020112E+000, 9.7395352E-001
 1.2009976E+000, 9.7414117E-001
 1.3046977E+000, 9.7270844E-001
 1.4036842E+000, 9.7235420E-001
 1.5026706E+000, 9.7315951E-001
 1.6016571E+000, 9.7057868E-001
 1.7006435E+000, 9.6847134E-001
 1.8043436E+000, 9.6904330E-001
 1.9033300E+000, 9.7027578E-001
 2.0023165E+000, 9.7159793E-001
 2.1000346E+000, 9.7530633E-001
 2.2007764E+000, 9.8112255E-001
 2.3027827E+000, 9.8162832E-001
 2.4001524E+000, 9.7751560E-001
 2.5021588E+000, 9.7239313E-001
 2.6041651E+000, 9.7044799E-001
 2.7009862E+000, 9.7115115E-001
 2.8039394E+000, 9.7011384E-001
 2.9027745E+000, 9.7171952E-001
 3.0016095E+000, 9.7376397E-001
 3.1012682E+000, 9.7420689E-001
 3.2009269E+000, 9.7135183E-001
 3.3005856E+000, 9.6489982E-001
 3.4002443E+000, 9.6067853E-001
 3.5044329E+000, 9.6141161E-001
 3.6040916E+000, 9.6652876E-001
 3.7037503E+000, 9.7329651E-001
 3.8034090E+000, 9.8114593E-001
 3.9030677E+000, 9.8606662E-001
 4.0027263E+000, 9.8099490E-001
 4.1023850E+000, 9.7358266E-001
 4.2020437E+000, 9.7236926E-001
 4.3017024E+000, 9.7016324E-001
 4.4022190E+000, 9.6491914E-001
 4.5042371E+000, 9.6553734E-001
 4.6018195E+000, 9.6986287E-001
 4.7038375E+000, 9.7246008E-001
 4.8014200E+000, 9.7174716E-001
 4.9034380E+000, 9.7021582E-001
 5.0010205E+000, 9.6626040E-001
 5.1030385E+000, 9.6237474E-001
 5.2006210E+000, 9.5921210E-001
 5.3026390E+000, 9.6152341E-001
 5.4002214E+000, 9.6642732E-001
 5.5022395E+000, 9.7330949E-001
 5.6042575E+000, 9.6987248E-001
 5.7018399E+000, 9.6390162E-001
 5.8038580E+000, 9.6022433E-001
 5.9022095E+000, 9.5590037E-001
 6.0036518E+000, 9.5902581E-001
 6.1013918E+000, 9.6503193E-001
 6.2032043E+000, 9.6445987E-001
 6.3009443E+000, 9.6022929E-001
 6.4027568E+000, 9.5392588E-001
 6.5013113E+000, 9.4796973E-001
 6.6006255E+000, 9.4694346E-001
 6.7037743E+000, 9.4971531E-001
