s,m/s
Time,"Ub"
 1.5900610E+001, 9.7943848E-001
 1.6009760E+001, 9.7754216E-001
 1.6108988E+001, 9.7184319E-001
 1.6208215E+001, 9.6820742E-001
 1.6307119E+001, 9.6739868E-001
 1.6404999E+001, 9.6664370E-001
 1.6502878E+001, 9.6477868E-001
 1.6600758E+001, 9.6324617E-001
 1.6703976E+001, 9.6405070E-001
 1.6803723E+001, 9.6468040E-001
 1.6900499E+001, 9.6378910E-001
 1.7006072E+001, 9.6196011E-001
 1.7102848E+001, 9.6054882E-001
 1.7204903E+001, 9.6224111E-001
 1.7301679E+001, 9.6336399E-001
 1.7408132E+001, 9.6360975E-001
 1.7504908E+001, 9.6568655E-001
 1.7601891E+001, 9.6674284E-001
 1.7706485E+001, 9.6878392E-001
 1.7801571E+001, 9.7069724E-001
 1.7906165E+001, 9.6954057E-001
 1.8001251E+001, 9.6442666E-001
 1.8105845E+001, 9.6186064E-001
 1.8200930E+001, 9.6311912E-001
 1.8305524E+001, 9.6309139E-001
 1.8400610E+001, 9.6669609E-001
 1.8505204E+001, 9.6806806E-001
 1.8600290E+001, 9.6352738E-001
 1.8704884E+001, 9.5771907E-001
 1.8809478E+001, 9.5523099E-001
 1.8904563E+001, 9.5720147E-001
 1.9009158E+001, 9.5484518E-001
 1.9104243E+001, 9.5266390E-001
 1.9208837E+001, 9.5307331E-001
 1.9303923E+001, 9.5828536E-001
 1.9408517E+001, 9.6023705E-001
 1.9503602E+001, 9.5978741E-001
 1.9608196E+001, 9.6137924E-001
 1.9703282E+001, 9.6243537E-001
 1.9807876E+001, 9.6313682E-001
 1.9902962E+001, 9.6568830E-001
 2.0007556E+001, 9.6595899E-001
 2.0102641E+001, 9.5832088E-001
 2.0207235E+001, 9.5693676E-001
 2.0302321E+001, 9.6009623E-001
 2.0406915E+001, 9.6094003E-001
 2.0502001E+001, 9.6443271E-001
 2.0606595E+001, 9.6657593E-001
 2.0701680E+001, 9.6460228E-001
 2.0806274E+001, 9.6294728E-001
 2.0901360E+001, 9.6284158E-001
 2.1003354E+001, 9.6169589E-001
 2.1102925E+001, 9.5798626E-001
 2.1202497E+001, 9.5844894E-001
 2.1302069E+001, 9.6165031E-001
 2.1401641E+001, 9.6002687E-001
 2.1501213E+001, 9.5779735E-001
 2.1600785E+001, 9.5856621E-001
 2.1700357E+001, 9.6105822E-001
 2.1800758E+001, 9.6292109E-001
 2.1901160E+001, 9.6279575E-001
 2.2001561E+001, 9.6405447E-001
 2.2101963E+001, 9.6910925E-001
 2.2202365E+001, 9.6968887E-001
 2.2302766E+001, 9.6698667E-001
 2.2403168E+001, 9.6827599E-001
