m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,mu_strm_bot-x,mu_strm_bot,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib,mu_prof_rib-z,mu_prof_rib
-1.1875000E-001, 1.9234757E-001,NaN,NaN,-1.1875000E-001, 1.3117900E-004,-1.1875000E-001, 3.8725918E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.0625000E-001, 7.5632168E-002,NaN,NaN,-1.0625000E-001, 1.2444290E-004,-1.0625000E-001, 4.0463090E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-9.3750000E-002,-4.8112273E-002,NaN,NaN,-9.3750000E-002, 1.1636544E-004,-9.3750000E-002, 3.7627900E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-8.1250000E-002,-1.3532365E-001,NaN,NaN,-8.1250000E-002, 1.0924002E-004,-8.1250000E-002, 3.2704888E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-6.8750000E-002,-1.5009459E-001,NaN,NaN,-6.8750000E-002, 1.0442972E-004,-6.8750000E-002, 2.3774899E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-5.6250000E-002,-7.4754424E-008,NaN,NaN,-5.6250000E-002, 1.2307785E-004,-5.6250000E-002, 3.1399161E-005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-4.3750000E-002,-6.1698527E-008,NaN,NaN,-4.3750000E-002, 1.2307785E-004,-4.3750000E-002, 2.9618057E-005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3.1250000E-002,-4.3735577E-008,NaN,NaN,-3.1250000E-002, 1.2000000E-005,-3.1250000E-002, 2.7608332E-005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.8750000E-002,-2.2196726E-008,NaN,NaN,-1.8750000E-002, 1.2000000E-005,-1.8750000E-002, 2.5399780E-005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-6.2500000E-003, 7.2996434E-010,NaN,NaN,-6.2500000E-003, 1.2000000E-005,-6.2500000E-003, 2.3348603E-005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
