m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,mu_strm_bot-x,mu_strm_bot,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib,mu_prof_rib-z,mu_prof_rib
-3.7500000E-001, 1.0141669E-001,-2.5000000E-002, 1.5797198E+000,-3.7500000E-001, 6.5567435E-004,-3.7500000E-001, 1.9132061E-001,-2.5000000E-002, 1.5281639E-001, 1.2500000E-001, 1.5797198E+000, 1.2500000E-001, 1.5281639E-001, 1.2500000E-001, 2.1827398E-003
-3.2500000E-001, 3.3354774E-001, 2.5000000E-002, 1.5218102E+000,-3.2500000E-001, 8.9881739E-004,-3.2500000E-001, 1.8448562E-001, 2.5000000E-002, 1.6026769E-001, 1.7500000E-001, 1.8544809E+000, 1.7500000E-001, 7.1351984E-002, 1.7500000E-001, 7.2618281E-004
-2.7500000E-001, 2.3700870E-001,NaN,NaN,-2.7500000E-001, 8.4198856E-004,-2.7500000E-001, 1.9145903E-001,NaN,NaN, 2.2500000E-001, 1.6634465E+000, 2.2500000E-001, 9.8224566E-002, 2.2500000E-001, 3.3594110E-004
-2.2500000E-001, 4.0135571E-001,NaN,NaN,-2.2500000E-001, 9.9349622E-004,-2.2500000E-001, 2.0371789E-001,NaN,NaN, 2.7500000E-001, 1.5213137E+000, 2.7500000E-001, 6.5296077E-002, 2.7500000E-001, 2.2506646E-003
-1.7500000E-001, 2.6265362E-001,NaN,NaN,-1.7500000E-001, 1.0264405E-003,-1.7500000E-001, 2.1766626E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.2500000E-001, 2.1342704E-001,NaN,NaN,-1.2500000E-001, 9.5680122E-004,-1.2500000E-001, 2.1658331E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-7.5000000E-002,-8.8723171E-006,NaN,NaN,-7.5000000E-002, 8.8456228E-004,-7.5000000E-002, 7.4092373E-004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-2.5000000E-002,-1.2420542E-005,NaN,NaN,-2.5000000E-002, 8.8456228E-004,-2.5000000E-002, 4.3280346E-004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.5000000E-002,-2.1603000E-005,NaN,NaN, 2.5000000E-002, 5.8433389E-004, 2.5000000E-002, 4.3747029E-004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.5000000E-002,-5.3417305E-002,NaN,NaN, 7.5000000E-002, 5.8433389E-004, 7.5000000E-002, 2.1178364E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2500000E-001,-1.7726271E-001,NaN,NaN, 1.2500000E-001, 5.3936499E-004, 1.2500000E-001, 1.9766504E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.7500000E-001,-1.8317710E-001,NaN,NaN, 1.7500000E-001, 5.3173154E-004, 1.7500000E-001, 2.2314134E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.2500000E-001,-2.8551838E-001,NaN,NaN, 2.2500000E-001, 5.9816611E-004, 2.2500000E-001, 1.9202028E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.7500000E-001,-1.8322772E-001,NaN,NaN, 2.7500000E-001, 4.8945267E-004, 2.7500000E-001, 2.3373239E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.2500000E-001,-2.9669005E-001,NaN,NaN, 3.2500000E-001, 5.4273661E-004, 3.2500000E-001, 1.7787459E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.7500000E-001,-6.8329754E-002,NaN,NaN, 3.7500000E-001, 7.1193145E-004, 3.7500000E-001, 2.0552995E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.2500000E-001,-2.1759381E-001,NaN,NaN, 4.2500000E-001, 5.6246682E-004, 4.2500000E-001, 1.7637684E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.7500000E-001, 7.2498030E-002,NaN,NaN, 4.7500000E-001, 7.1314277E-004, 4.7500000E-001, 1.9903810E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.2500000E-001,-6.9226711E-002,NaN,NaN, 5.2500000E-001, 5.9228589E-004, 5.2500000E-001, 1.9880309E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.7500000E-001, 2.1617049E-001,NaN,NaN, 5.7500000E-001, 7.4646324E-004, 5.7500000E-001, 1.8656774E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
