m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,mu_strm_bot-x,mu_strm_bot,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib,mu_prof_rib-z,mu_prof_rib
-3.7500000E-001, 1.2686749E-001,-2.5000000E-002, 1.5943328E+000,-3.7500000E-001, 6.9583934E-004,-3.7500000E-001, 1.7671716E-001,-2.5000000E-002, 1.4435304E-001, 1.2500000E-001, 1.5943328E+000, 1.2500000E-001, 1.4435304E-001, 1.2500000E-001, 2.2268216E-003
-3.2500000E-001, 3.3005480E-001, 2.5000000E-002, 1.5342120E+000,-3.2500000E-001, 8.9798243E-004,-3.2500000E-001, 1.7824548E-001, 2.5000000E-002, 1.4775031E-001, 1.7500000E-001, 1.8807267E+000, 1.7500000E-001, 8.8226230E-002, 1.7500000E-001, 7.9387507E-004
-2.7500000E-001, 2.4005675E-001,NaN,NaN,-2.7500000E-001, 8.7056151E-004,-2.7500000E-001, 1.8019105E-001,NaN,NaN, 2.2500000E-001, 1.6615547E+000, 2.2500000E-001, 1.1479045E-001, 2.2500000E-001, 3.6642335E-004
-2.2500000E-001, 3.7674651E-001,NaN,NaN,-2.2500000E-001, 9.9119994E-004,-2.2500000E-001, 1.9794203E-001,NaN,NaN, 2.7500000E-001, 1.5143426E+000, 2.7500000E-001, 1.0123258E-001, 2.7500000E-001, 2.2574975E-003
-1.7500000E-001, 2.5972227E-001,NaN,NaN,-1.7500000E-001, 1.0459247E-003,-1.7500000E-001, 1.9011282E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.2500000E-001, 1.5169647E-001,NaN,NaN,-1.2500000E-001, 9.8259400E-004,-1.2500000E-001, 1.8954312E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-7.5000000E-002, 7.7352259E-005,NaN,NaN,-7.5000000E-002, 8.4197768E-004,-7.5000000E-002, 1.7884233E-003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-2.5000000E-002, 4.5141984E-005,NaN,NaN,-2.5000000E-002, 8.4197768E-004,-2.5000000E-002, 1.0261971E-003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.5000000E-002, 1.5713716E-005,NaN,NaN, 2.5000000E-002, 6.6299073E-004, 2.5000000E-002, 1.0949336E-003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 7.5000000E-002,-8.0610556E-002,NaN,NaN, 7.5000000E-002, 6.6299073E-004, 7.5000000E-002, 2.1605085E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2500000E-001,-1.8332902E-001,NaN,NaN, 1.2500000E-001, 5.4099148E-004, 1.2500000E-001, 1.9697821E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.7500000E-001,-1.8332902E-001,NaN,NaN, 1.7500000E-001, 4.9517017E-004, 1.7500000E-001, 1.9697821E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.2500000E-001,-3.1222420E-001,NaN,NaN, 2.2500000E-001, 6.1333137E-004, 2.2500000E-001, 1.5740830E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.7500000E-001,-1.9104931E-001,NaN,NaN, 2.7500000E-001, 6.0850814E-004, 2.7500000E-001, 1.6921897E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.2500000E-001,-3.1481375E-001,NaN,NaN, 3.2500000E-001, 6.6318304E-004, 3.2500000E-001, 1.2979757E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.7500000E-001,-4.5260386E-002,NaN,NaN, 3.7500000E-001, 7.5710983E-004, 3.7500000E-001, 1.7351601E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.2500000E-001,-4.5260386E-002,NaN,NaN, 4.2500000E-001, 5.7987730E-004, 4.2500000E-001, 1.7351601E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.7500000E-001, 1.2256438E-001,NaN,NaN, 4.7500000E-001, 7.4184292E-004, 4.7500000E-001, 1.6271375E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.2500000E-001, 1.2256438E-001,NaN,NaN, 5.2500000E-001, 5.6694456E-004, 5.2500000E-001, 1.6271375E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.7500000E-001, 2.4060121E-001,NaN,NaN, 5.7500000E-001, 7.5778950E-004, 5.7500000E-001, 1.5909746E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
