m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,mu_strm_bot-x,mu_strm_bot,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib,mu_prof_rib-z,mu_prof_rib
-2.7812500E-001, 0.0000000E+000,NaN,NaN,-2.7812500E-001, 0.0000000E+000,-2.7812500E-001, 0.0000000E+000,NaN,NaN, 2.2187500E-001, 0.0000000E+000, 2.2187500E-001, 0.0000000E+000, 2.2187500E-001, 0.0000000E+000
-2.7187500E-001, 0.0000000E+000,NaN,NaN,-2.7187500E-001, 0.0000000E+000,-2.7187500E-001, 0.0000000E+000,NaN,NaN, 2.2812500E-001, 0.0000000E+000, 2.2812500E-001, 0.0000000E+000, 2.2812500E-001, 0.0000000E+000
-2.6562500E-001, 0.0000000E+000,NaN,NaN,-2.6562500E-001, 0.0000000E+000,-2.6562500E-001, 0.0000000E+000,NaN,NaN, 2.3437500E-001, 0.0000000E+000, 2.3437500E-001, 0.0000000E+000, 2.3437500E-001, 0.0000000E+000
-2.5937500E-001, 0.0000000E+000,NaN,NaN,-2.5937500E-001, 0.0000000E+000,-2.5937500E-001, 0.0000000E+000,NaN,NaN, 2.4062500E-001, 0.0000000E+000, 2.4062500E-001, 0.0000000E+000, 2.4062500E-001, 0.0000000E+000
-2.5312500E-001, 0.0000000E+000,NaN,NaN,-2.5312500E-001, 0.0000000E+000,-2.5312500E-001, 0.0000000E+000,NaN,NaN, 2.4687500E-001, 0.0000000E+000, 2.4687500E-001, 0.0000000E+000, 2.4687500E-001, 0.0000000E+000
-2.4687500E-001, 0.0000000E+000,NaN,NaN,-2.4687500E-001, 0.0000000E+000,-2.4687500E-001, 0.0000000E+000,NaN,NaN, 2.5312500E-001, 0.0000000E+000, 2.5312500E-001, 0.0000000E+000, 2.5312500E-001, 0.0000000E+000
-2.4062500E-001, 0.0000000E+000,NaN,NaN,-2.4062500E-001, 0.0000000E+000,-2.4062500E-001, 0.0000000E+000,NaN,NaN, 2.5937500E-001, 0.0000000E+000, 2.5937500E-001, 0.0000000E+000, 2.5937500E-001, 0.0000000E+000
-2.3437500E-001, 0.0000000E+000,NaN,NaN,-2.3437500E-001, 0.0000000E+000,-2.3437500E-001, 0.0000000E+000,NaN,NaN, 2.6562500E-001, 0.0000000E+000, 2.6562500E-001, 0.0000000E+000, 2.6562500E-001, 0.0000000E+000
-2.2812500E-001, 0.0000000E+000,NaN,NaN,-2.2812500E-001, 0.0000000E+000,-2.2812500E-001, 0.0000000E+000,NaN,NaN, 2.7187500E-001, 0.0000000E+000, 2.7187500E-001, 0.0000000E+000, 2.7187500E-001, 0.0000000E+000
-2.2187500E-001, 0.0000000E+000,NaN,NaN,-2.2187500E-001, 0.0000000E+000,-2.2187500E-001, 0.0000000E+000,NaN,NaN, 2.7812500E-001, 0.0000000E+000, 2.7812500E-001, 0.0000000E+000, 2.7812500E-001, 0.0000000E+000
-2.1562500E-001, 0.0000000E+000,NaN,NaN,-2.1562500E-001, 0.0000000E+000,-2.1562500E-001, 0.0000000E+000,NaN,NaN, 2.8437500E-001, 0.0000000E+000, 2.8437500E-001, 0.0000000E+000, 2.8437500E-001, 0.0000000E+000
-2.0937500E-001, 0.0000000E+000,NaN,NaN,-2.0937500E-001, 0.0000000E+000,-2.0937500E-001, 0.0000000E+000,NaN,NaN, 2.9062500E-001, 0.0000000E+000, 2.9062500E-001, 0.0000000E+000, 2.9062500E-001, 0.0000000E+000
-2.0312500E-001, 0.0000000E+000,NaN,NaN,-2.0312500E-001, 0.0000000E+000,-2.0312500E-001, 0.0000000E+000,NaN,NaN, 2.9687500E-001, 0.0000000E+000, 2.9687500E-001, 0.0000000E+000, 2.9687500E-001, 0.0000000E+000
-1.9687500E-001, 0.0000000E+000,NaN,NaN,-1.9687500E-001, 0.0000000E+000,-1.9687500E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
