s,m/s
Time,"Ub"
 0.0000000E+000, 1.0420000E+000
 1.0164245E-001, 1.0801036E+000
 2.0223655E-001, 1.0336200E+000
 3.0283065E-001, 1.0118607E+000
 4.0670098E-001, 1.0009598E+000
 5.0159492E-001, 9.9444965E-001
 6.0648655E-001, 9.8925800E-001
 7.0514311E-001, 9.8438877E-001
 8.0481311E-001, 9.8017945E-001
 9.0106780E-001, 9.7711462E-001
 1.0016238E+000, 9.7581174E-001
 1.1006309E+000, 9.7489064E-001
 1.2045883E+000, 9.7509839E-001
 1.3020678E+000, 9.7394539E-001
 1.4030688E+000, 9.7349216E-001
 1.5001004E+000, 9.7378981E-001
 1.6019835E+000, 9.7151377E-001
 1.7038315E+000, 9.6947282E-001
 1.8042219E+000, 9.7019721E-001
 1.9037507E+000, 9.7076046E-001
 2.0032794E+000, 9.7263067E-001
 2.1023307E+000, 9.7582885E-001
 2.2003583E+000, 9.7918603E-001
 2.3035003E+000, 9.7650998E-001
 2.4019540E+000, 9.7189237E-001
 2.5004077E+000, 9.6998638E-001
 2.6035497E+000, 9.7104975E-001
 2.7023967E+000, 9.7314083E-001
 2.8020303E+000, 9.7213679E-001
 2.9016640E+000, 9.7609453E-001
 3.0012976E+000, 9.7830760E-001
 3.1021766E+000, 9.7627162E-001
 3.2026406E+000, 9.7197392E-001
 3.3031045E+000, 9.6934420E-001
 3.4035684E+000, 9.7154728E-001
 3.5040323E+000, 9.7002143E-001
 3.6044962E+000, 9.6168989E-001
 3.7003935E+000, 9.5799150E-001
 3.8003300E+000, 9.5716586E-001
 3.9037315E+000, 9.5771533E-001
 4.0014781E+000, 9.6426236E-001
 4.1017850E+000, 9.6494621E-001
 4.2011654E+000, 9.6108684E-001
 4.3014144E+000, 9.5903339E-001
 4.4025507E+000, 9.5555110E-001
 4.5036869E+000, 9.5521337E-001
 4.6009332E+000, 9.5954971E-001
 4.7020694E+000, 9.6220860E-001
 4.8032056E+000, 9.5912738E-001
 4.9016190E+000, 9.5414141E-001
 5.0000323E+000, 9.5113333E-001
 5.1027244E+000, 9.5128278E-001
 5.2006598E+000, 9.5587027E-001
 5.3032847E+000, 9.6001613E-001
 5.4024887E+000, 9.6237408E-001
 5.5028330E+000, 9.6248289E-001
 5.6031773E+000, 9.5892421E-001
 5.7035216E+000, 9.5319698E-001
 5.8030232E+000, 9.5349509E-001
 5.9015261E+000, 9.6276964E-001
 6.0007808E+000, 9.7092183E-001
 6.1000356E+000, 9.7522617E-001
 6.2034260E+000, 9.7206851E-001
 6.3026808E+000, 9.6885230E-001
 6.4019356E+000, 9.6681282E-001
 6.5024311E+000, 9.6661008E-001
 6.6025130E+000, 9.6424610E-001
 6.7022883E+000, 9.5836037E-001
