s,m/s
Time,"Ub"
 0.0000000E+000, 1.0420000E+000
 1.1137749E-001, 1.1161448E+000
 2.0371363E-001, 1.0421565E+000
 3.1143913E-001, 1.0089758E+000
 4.0377527E-001, 9.9572409E-001
 5.1150077E-001, 9.8825708E-001
 6.0383691E-001, 9.8291828E-001
 7.1156241E-001, 9.7868754E-001
 8.0988152E-001, 9.7514388E-001
 9.0663290E-001, 9.7288872E-001
 1.0019087E+000, 9.7319424E-001
 1.1006771E+000, 9.7672932E-001
 1.2117915E+000, 9.7913675E-001
 1.3092503E+000, 9.7820982E-001
 1.4085782E+000, 9.7771994E-001
 1.5079061E+000, 9.7726095E-001
 1.6072341E+000, 9.7752212E-001
 1.7065620E+000, 9.7967182E-001
 1.8045470E+000, 9.8320477E-001
 1.9025320E+000, 9.8574357E-001
 2.0005170E+000, 9.8401096E-001
 2.1083004E+000, 9.8085544E-001
 2.2062854E+000, 9.7780608E-001
 2.3042704E+000, 9.7576536E-001
 2.4022554E+000, 9.7596743E-001
 2.5002404E+000, 9.7730897E-001
 2.6080238E+000, 9.7805425E-001
 2.7060088E+000, 9.7816810E-001
 2.8039938E+000, 9.7928495E-001
 2.9019788E+000, 9.8203993E-001
 3.0097623E+000, 9.8277998E-001
 3.1077472E+000, 9.8129833E-001
 3.2057322E+000, 9.8048874E-001
 3.3037172E+000, 9.8162902E-001
 3.4017022E+000, 9.8207473E-001
 3.5094857E+000, 9.8161309E-001
 3.6074706E+000, 9.8163664E-001
 3.7054556E+000, 9.8041866E-001
 3.8034406E+000, 9.7843780E-001
 3.9014256E+000, 9.7638712E-001
 4.0092091E+000, 9.7576196E-001
 4.1071940E+000, 9.7373400E-001
 4.2051790E+000, 9.7121101E-001
 4.3031640E+000, 9.6952618E-001
 4.4011490E+000, 9.6911829E-001
 4.5089325E+000, 9.6987522E-001
 4.6069174E+000, 9.7132252E-001
 4.7049024E+000, 9.7318706E-001
 4.8028874E+000, 9.7387544E-001
 4.9008724E+000, 9.7355157E-001
 5.0086559E+000, 9.7299795E-001
 5.1066408E+000, 9.7305331E-001
 5.2046258E+000, 9.7423416E-001
 5.3026108E+000, 9.7571285E-001
 5.4019525E+000, 9.7779097E-001
 5.5051659E+000, 9.7728774E-001
 5.6083792E+000, 9.7477959E-001
 5.7022096E+000, 9.7121716E-001
 5.8054229E+000, 9.6826198E-001
 5.9086363E+000, 9.6464492E-001
 6.0015283E+000, 9.6487520E-001
 6.1047417E+000, 9.6958269E-001
 6.2079550E+000, 9.6923975E-001
 6.3008470E+000, 9.6790667E-001
 6.4040604E+000, 9.6780706E-001
 6.5072737E+000, 9.6735846E-001
 6.6001658E+000, 9.7058198E-001
 6.7033791E+000, 9.7544076E-001
