s,m/s
Time,"Ub"
 0.0000000E+000, 1.0420000E+000
 1.2242226E-001, 1.1707923E+000
 2.1207521E-001, 1.0554133E+000
 3.0751222E-001, 9.9122372E-001
 4.0294923E-001, 9.8678040E-001
 5.3019858E-001, 9.8104645E-001
 6.2563559E-001, 9.7636137E-001
 7.2107261E-001, 9.7311062E-001
 8.1650962E-001, 9.7174315E-001
 9.0547045E-001, 9.7161648E-001
 1.0197674E+000, 9.7285791E-001
 1.1054902E+000, 9.7742380E-001
 1.2197872E+000, 9.8139790E-001
 1.3055099E+000, 9.8230966E-001
 1.4198069E+000, 9.8042270E-001
 1.5055297E+000, 9.7859988E-001
 1.6070370E+000, 9.7897871E-001
 1.7085443E+000, 9.8055884E-001
 1.8100516E+000, 9.8112477E-001
 1.9115589E+000, 9.8131955E-001
 2.0130662E+000, 9.8033618E-001
 2.1145735E+000, 9.8039788E-001
 2.2109627E+000, 9.8070632E-001
 2.3022337E+000, 9.8148190E-001
 2.4163226E+000, 9.8213349E-001
 2.5075937E+000, 9.8125153E-001
 2.6216825E+000, 9.7967953E-001
 2.7129536E+000, 9.7861284E-001
 2.8042246E+000, 9.7914666E-001
 2.9183135E+000, 9.8010835E-001
 3.0095846E+000, 9.8088128E-001
 3.1008556E+000, 9.8109728E-001
 3.2149445E+000, 9.8102251E-001
 3.3062155E+000, 9.8063769E-001
 3.4203044E+000, 9.8027140E-001
 3.5115755E+000, 9.8044278E-001
 3.6028465E+000, 9.8021061E-001
 3.7169354E+000, 9.8034849E-001
 3.8082064E+000, 9.8042787E-001
 3.9222953E+000, 9.8000310E-001
 4.0135664E+000, 9.7933577E-001
 4.1048374E+000, 9.7854201E-001
 4.2189263E+000, 9.7903974E-001
 4.3101973E+000, 9.7891624E-001
 4.4014684E+000, 9.7886520E-001
 4.5155573E+000, 9.7899736E-001
 4.6068283E+000, 9.7863658E-001
 4.7209172E+000, 9.7897396E-001
 4.8121882E+000, 9.7924518E-001
 4.9034593E+000, 9.7989569E-001
 5.0152050E+000, 9.8061513E-001
 5.1175781E+000, 9.8019347E-001
 5.2199512E+000, 9.8018681E-001
 5.3018497E+000, 9.7929096E-001
 5.4042229E+000, 9.7917634E-001
 5.5065960E+000, 9.7911288E-001
 5.6089691E+000, 9.7925907E-001
 5.7113422E+000, 9.7998861E-001
 5.8137153E+000, 9.8089096E-001
 5.9160885E+000, 9.8225106E-001
 6.0184616E+000, 9.8262008E-001
 6.1003601E+000, 9.8248802E-001
 6.2027332E+000, 9.8229880E-001
 6.3051063E+000, 9.8204754E-001
 6.4074795E+000, 9.8177214E-001
 6.5098526E+000, 9.8138817E-001
 6.6122257E+000, 9.8129915E-001
 6.7145988E+000, 9.8138822E-001
