m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,mu_strm_bot-x,mu_strm_bot,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib,mu_prof_rib-z,mu_prof_rib
-3.9375000E-001, 0.0000000E+000,-4.3750000E-002, 0.0000000E+000,-3.9375000E-001, 0.0000000E+000,-3.9375000E-001, 0.0000000E+000,-4.3750000E-002, 0.0000000E+000, 1.0625000E-001, 0.0000000E+000, 1.0625000E-001, 0.0000000E+000, 1.0625000E-001, 0.0000000E+000
-3.8125000E-001, 0.0000000E+000,-3.1250000E-002, 0.0000000E+000,-3.8125000E-001, 0.0000000E+000,-3.8125000E-001, 0.0000000E+000,-3.1250000E-002, 0.0000000E+000, 1.1875000E-001, 0.0000000E+000, 1.1875000E-001, 0.0000000E+000, 1.1875000E-001, 0.0000000E+000
-3.6875000E-001, 0.0000000E+000,-1.8750000E-002, 0.0000000E+000,-3.6875000E-001, 0.0000000E+000,-3.6875000E-001, 0.0000000E+000,-1.8750000E-002, 0.0000000E+000, 1.3125000E-001, 0.0000000E+000, 1.3125000E-001, 0.0000000E+000, 1.3125000E-001, 0.0000000E+000
-3.5625000E-001, 0.0000000E+000,-6.2500000E-003, 0.0000000E+000,-3.5625000E-001, 0.0000000E+000,-3.5625000E-001, 0.0000000E+000,-6.2500000E-003, 0.0000000E+000, 1.4375000E-001, 0.0000000E+000, 1.4375000E-001, 0.0000000E+000, 1.4375000E-001, 0.0000000E+000
-3.4375000E-001, 0.0000000E+000, 6.2500000E-003, 0.0000000E+000,-3.4375000E-001, 0.0000000E+000,-3.4375000E-001, 0.0000000E+000, 6.2500000E-003, 0.0000000E+000, 1.5625000E-001, 0.0000000E+000, 1.5625000E-001, 0.0000000E+000, 1.5625000E-001, 0.0000000E+000
-3.3125000E-001, 0.0000000E+000, 1.8750000E-002, 0.0000000E+000,-3.3125000E-001, 0.0000000E+000,-3.3125000E-001, 0.0000000E+000, 1.8750000E-002, 0.0000000E+000, 1.6875000E-001, 0.0000000E+000, 1.6875000E-001, 0.0000000E+000, 1.6875000E-001, 0.0000000E+000
-3.1875000E-001, 0.0000000E+000, 3.1250000E-002, 0.0000000E+000,-3.1875000E-001, 0.0000000E+000,-3.1875000E-001, 0.0000000E+000, 3.1250000E-002, 0.0000000E+000, 1.8125000E-001, 0.0000000E+000, 1.8125000E-001, 0.0000000E+000, 1.8125000E-001, 0.0000000E+000
-3.0625000E-001, 0.0000000E+000, 4.3750000E-002, 0.0000000E+000,-3.0625000E-001, 0.0000000E+000,-3.0625000E-001, 0.0000000E+000, 4.3750000E-002, 0.0000000E+000, 1.9375000E-001, 0.0000000E+000, 1.9375000E-001, 0.0000000E+000, 1.9375000E-001, 0.0000000E+000
-2.9375000E-001, 0.0000000E+000,NaN,NaN,-2.9375000E-001, 0.0000000E+000,-2.9375000E-001, 0.0000000E+000,NaN,NaN, 2.0625000E-001, 0.0000000E+000, 2.0625000E-001, 0.0000000E+000, 2.0625000E-001, 0.0000000E+000
-2.8125000E-001, 0.0000000E+000,NaN,NaN,-2.8125000E-001, 0.0000000E+000,-2.8125000E-001, 0.0000000E+000,NaN,NaN, 2.1875000E-001, 0.0000000E+000, 2.1875000E-001, 0.0000000E+000, 2.1875000E-001, 0.0000000E+000
-2.6875000E-001, 0.0000000E+000,NaN,NaN,-2.6875000E-001, 0.0000000E+000,-2.6875000E-001, 0.0000000E+000,NaN,NaN, 2.3125000E-001, 0.0000000E+000, 2.3125000E-001, 0.0000000E+000, 2.3125000E-001, 0.0000000E+000
-2.5625000E-001, 0.0000000E+000,NaN,NaN,-2.5625000E-001, 0.0000000E+000,-2.5625000E-001, 0.0000000E+000,NaN,NaN, 2.4375000E-001, 0.0000000E+000, 2.4375000E-001, 0.0000000E+000, 2.4375000E-001, 0.0000000E+000
-2.4375000E-001, 0.0000000E+000,NaN,NaN,-2.4375000E-001, 0.0000000E+000,-2.4375000E-001, 0.0000000E+000,NaN,NaN, 2.5625000E-001, 0.0000000E+000, 2.5625000E-001, 0.0000000E+000, 2.5625000E-001, 0.0000000E+000
-2.3125000E-001, 0.0000000E+000,NaN,NaN,-2.3125000E-001, 0.0000000E+000,-2.3125000E-001, 0.0000000E+000,NaN,NaN, 2.6875000E-001, 0.0000000E+000, 2.6875000E-001, 0.0000000E+000, 2.6875000E-001, 0.0000000E+000
-2.1875000E-001, 0.0000000E+000,NaN,NaN,-2.1875000E-001, 0.0000000E+000,-2.1875000E-001, 0.0000000E+000,NaN,NaN, 2.8125000E-001, 0.0000000E+000, 2.8125000E-001, 0.0000000E+000, 2.8125000E-001, 0.0000000E+000
-2.0625000E-001, 0.0000000E+000,NaN,NaN,-2.0625000E-001, 0.0000000E+000,-2.0625000E-001, 0.0000000E+000,NaN,NaN, 2.9375000E-001, 0.0000000E+000, 2.9375000E-001, 0.0000000E+000, 2.9375000E-001, 0.0000000E+000
-1.9375000E-001, 0.0000000E+000,NaN,NaN,-1.9375000E-001, 0.0000000E+000,-1.9375000E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.8125000E-001, 0.0000000E+000,NaN,NaN,-1.8125000E-001, 0.0000000E+000,-1.8125000E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.6875000E-001, 0.0000000E+000,NaN,NaN,-1.6875000E-001, 0.0000000E+000,-1.6875000E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.5625000E-001, 0.0000000E+000,NaN,NaN,-1.5625000E-001, 0.0000000E+000,-1.5625000E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.4375000E-001, 0.0000000E+000,NaN,NaN,-1.4375000E-001, 0.0000000E+000,-1.4375000E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.3125000E-001, 0.0000000E+000,NaN,NaN,-1.3125000E-001, 0.0000000E+000,-1.3125000E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.1875000E-001, 0.0000000E+000,NaN,NaN,-1.1875000E-001, 0.0000000E+000,-1.1875000E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.0625000E-001, 0.0000000E+000,NaN,NaN,-1.0625000E-001, 0.0000000E+000,-1.0625000E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-9.3750000E-002, 0.0000000E+000,NaN,NaN,-9.3750000E-002, 0.0000000E+000,-9.3750000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-8.1250000E-002, 0.0000000E+000,NaN,NaN,-8.1250000E-002, 0.0000000E+000,-8.1250000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-6.8750000E-002, 0.0000000E+000,NaN,NaN,-6.8750000E-002, 0.0000000E+000,-6.8750000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-5.6250000E-002, 0.0000000E+000,NaN,NaN,-5.6250000E-002, 0.0000000E+000,-5.6250000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-4.3750000E-002, 0.0000000E+000,NaN,NaN,-4.3750000E-002, 0.0000000E+000,-4.3750000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3.1250000E-002, 0.0000000E+000,NaN,NaN,-3.1250000E-002, 0.0000000E+000,-3.1250000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.8750000E-002, 0.0000000E+000,NaN,NaN,-1.8750000E-002, 0.0000000E+000,-1.8750000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-6.2500000E-003, 0.0000000E+000,NaN,NaN,-6.2500000E-003, 0.0000000E+000,-6.2500000E-003, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.2500000E-003, 0.0000000E+000,NaN,NaN, 6.2500000E-003, 0.0000000E+000, 6.2500000E-003, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.8750000E-002, 0.0000000E+000,NaN,NaN, 1.8750000E-002, 0.0000000E+000, 1.8750000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.1250000E-002, 0.0000000E+000,NaN,NaN, 3.1250000E-002, 0.0000000E+000, 3.1250000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.3750000E-002, 0.0000000E+000,NaN,NaN, 4.3750000E-002, 0.0000000E+000, 4.3750000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.6250000E-002, 0.0000000E+000,NaN,NaN, 5.6250000E-002, 0.0000000E+000, 5.6250000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 6.8750000E-002, 0.0000000E+000,NaN,NaN, 6.8750000E-002, 0.0000000E+000, 6.8750000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 8.1250000E-002, 0.0000000E+000,NaN,NaN, 8.1250000E-002, 0.0000000E+000, 8.1250000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 9.3750000E-002, 0.0000000E+000,NaN,NaN, 9.3750000E-002, 0.0000000E+000, 9.3750000E-002, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.0625000E-001, 0.0000000E+000,NaN,NaN, 1.0625000E-001, 0.0000000E+000, 1.0625000E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.1875000E-001, 0.0000000E+000,NaN,NaN, 1.1875000E-001, 0.0000000E+000, 1.1875000E-001, 0.0000000E+000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
