m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,mu_strm_bot-x,mu_strm_bot,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib,mu_prof_rib-z,mu_prof_rib
-3.8750000E-001, 5.0658775E-002,-3.7500000E-002, 1.3424557E+000,-3.8750000E-001, 3.1407992E-004,-3.8750000E-001, 3.4680494E-001,-3.7500000E-002, 2.7673232E-001, 1.1250000E-001, 1.1785976E+000, 1.1250000E-001, 3.1046422E-001, 1.1250000E-001, 9.9519649E-004
-3.6250000E-001, 8.6353004E-002,-1.2500000E-002, 1.1785976E+000,-3.6250000E-001, 3.2657113E-004,-3.6250000E-001, 3.5676958E-001,-1.2500000E-002, 3.1046422E-001, 1.3750000E-001, 1.7447483E+000, 1.3750000E-001, 2.3564836E-001, 1.3750000E-001, 3.8530769E-004
-3.3750000E-001, 1.4525895E-001, 1.2500000E-002, 1.0837623E+000,-3.3750000E-001, 3.3806627E-004,-3.3750000E-001, 3.5857800E-001, 1.2500000E-002, 3.5901082E-001, 1.6250000E-001, 1.7804315E+000, 1.6250000E-001, 1.9204455E-001, 1.6250000E-001, 3.2850543E-004
-3.1250000E-001, 1.8392883E-001, 3.7500000E-002, 1.0207766E+000,-3.1250000E-001, 3.4369913E-004,-3.1250000E-001, 3.6397148E-001, 3.7500000E-002, 3.6258930E-001, 1.8750000E-001, 1.7315580E+000, 1.8750000E-001, 1.8344572E-001, 1.8750000E-001, 3.2402059E-004
-2.8750000E-001, 2.3848724E-001,NaN,NaN,-2.8750000E-001, 3.5976325E-004,-2.8750000E-001, 3.5795816E-001,NaN,NaN, 2.1250000E-001, 1.6485464E+000, 2.1250000E-001, 1.9476222E-001, 2.1250000E-001, 2.9490764E-004
-2.6250000E-001, 2.6914653E-001,NaN,NaN,-2.6250000E-001, 3.7970226E-004,-2.6250000E-001, 3.6908514E-001,NaN,NaN, 2.3750000E-001, 1.5709694E+000, 2.3750000E-001, 1.9248652E-001, 2.3750000E-001, 2.6582715E-004
-2.3750000E-001, 2.8822968E-001,NaN,NaN,-2.3750000E-001, 3.9708733E-004,-2.3750000E-001, 3.6957088E-001,NaN,NaN, 2.6250000E-001, 1.4948915E+000, 2.6250000E-001, 1.9034196E-001, 2.6250000E-001, 2.3543920E-004
-2.1250000E-001, 2.9697771E-001,NaN,NaN,-2.1250000E-001, 4.2825909E-004,-2.1250000E-001, 3.7880645E-001,NaN,NaN, 2.8750000E-001, 1.3769519E+000, 2.8750000E-001, 1.7079843E-001, 2.8750000E-001, 1.0380832E-003
-1.8750000E-001, 2.5651217E-001,NaN,NaN,-1.8750000E-001, 4.3606713E-004,-1.8750000E-001, 3.8738596E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.6250000E-001, 1.8071859E-001,NaN,NaN,-1.6250000E-001, 4.4699033E-004,-1.6250000E-001, 4.1564292E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.3750000E-001, 3.9781184E-002,NaN,NaN,-1.3750000E-001, 4.5547699E-004,-1.3750000E-001, 4.2114925E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.1250000E-001,-9.3172864E-002,NaN,NaN,-1.1250000E-001, 4.4264750E-004,-1.1250000E-001, 4.0088551E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-8.7500000E-002,-2.2624960E-001,NaN,NaN,-8.7500000E-002, 4.3163005E-004,-8.7500000E-002, 2.5701939E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-6.2500000E-002, 2.0398461E-005,NaN,NaN,-6.2500000E-002, 5.8615649E-004,-6.2500000E-002, 8.5613028E-004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3.7500000E-002, 1.0250195E-005,NaN,NaN,-3.7500000E-002, 5.8615649E-004,-3.7500000E-002, 5.6556568E-004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-1.2500000E-002, 4.4829725E-006,NaN,NaN,-1.2500000E-002, 1.2000000E-005,-1.2500000E-002, 4.1811915E-004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 1.2500000E-002, 1.0857233E-006,NaN,NaN, 1.2500000E-002, 1.2000000E-005, 1.2500000E-002, 3.4038455E-004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.7500000E-002, 1.9248221E-007,NaN,NaN, 3.7500000E-002, 1.5697101E-004, 3.7500000E-002, 3.4521122E-004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
