s,m/s
Time,"Ub"
 0.0000000E+000, 1.0420000E+000
 1.0141091E-001, 1.0598081E+000
 2.0143679E-001, 1.0288814E+000
 3.0349603E-001, 1.0133198E+000
 4.0196460E-001, 1.0039826E+000
 5.0125133E-001, 9.9741538E-001
 6.0148585E-001, 9.9229368E-001
 7.0061540E-001, 9.8880786E-001
 8.0084638E-001, 9.8512730E-001
 9.0019622E-001, 9.7932144E-001
 1.0018188E+000, 9.7783760E-001
 1.1004880E+000, 9.7627162E-001
 1.2017665E+000, 9.7756686E-001
 1.3012103E+000, 9.7687635E-001
 1.4013922E+000, 9.7840271E-001
 1.5018528E+000, 9.7929680E-001
 1.6020528E+000, 9.7772368E-001
 1.7016492E+000, 9.7507150E-001
 1.8012455E+000, 9.7248607E-001
 1.9005264E+000, 9.7180734E-001
 2.0020089E+000, 9.7398300E-001
 2.1013771E+000, 9.7477934E-001
 2.2015942E+000, 9.7392539E-001
 2.3000431E+000, 9.7389626E-001
 2.4016005E+000, 9.7399281E-001
 2.5016772E+000, 9.7679330E-001
 2.6011190E+000, 9.7763117E-001
 2.7019150E+000, 9.7993774E-001
 2.8014040E+000, 9.7678781E-001
 2.9004918E+000, 9.7334225E-001
 3.0016439E+000, 9.7047325E-001
 3.1007185E+000, 9.6743635E-001
 3.2017594E+000, 9.6768128E-001
 3.3004789E+000, 9.6601940E-001
 3.4014173E+000, 9.6528617E-001
 3.5014673E+000, 9.6849583E-001
 3.6004187E+000, 9.7224089E-001
 3.7006009E+000, 9.7133236E-001
 3.8013114E+000, 9.7216002E-001
 3.9010534E+000, 9.7201718E-001
 4.0008380E+000, 9.6935645E-001
 4.1019276E+000, 9.6722115E-001
 4.2018428E+000, 9.6542045E-001
 4.3014750E+000, 9.6576766E-001
 4.4011025E+000, 9.6381995E-001
 4.5017170E+000, 9.6541377E-001
 4.6006247E+000, 9.6435070E-001
 4.7001207E+000, 9.6020724E-001
 4.8005153E+000, 9.6180813E-001
 4.9011654E+000, 9.6184329E-001
 5.0019778E+000, 9.6042095E-001
 5.1016864E+000, 9.6275833E-001
 5.2016645E+000, 9.6727108E-001
 5.3012730E+000, 9.6592344E-001
 5.4006533E+000, 9.6351906E-001
 5.5010227E+000, 9.6239171E-001
 5.6014884E+000, 9.6427447E-001
 5.7001055E+000, 9.6320229E-001
 5.8011487E+000, 9.6118576E-001
 5.9000546E+000, 9.6313530E-001
 6.0005843E+000, 9.6609404E-001
 6.1016934E+000, 9.6867224E-001
 6.2009725E+000, 9.7138007E-001
 6.3000651E+000, 9.7159454E-001
 6.4014171E+000, 9.6633256E-001
 6.5008261E+000, 9.5598686E-001
 6.6004408E+000, 9.4938488E-001
 6.7002929E+000, 9.4928470E-001
