m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,mu_strm_bot-x,mu_strm_bot,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib,mu_prof_rib-z,mu_prof_rib
-3.8750000E-001, 6.7497102E-003,-3.7500000E-002, 1.3264330E+000,-3.8750000E-001, 2.7722106E-004,-3.8750000E-001, 3.1466419E-001,-3.7500000E-002, 2.5837041E-001, 1.1250000E-001, 1.1776771E+000, 1.1250000E-001, 2.8329744E-001, 1.1250000E-001, 9.8491767E-004
-3.6250000E-001, 3.3886309E-002,-1.2500000E-002, 1.1776771E+000,-3.6250000E-001, 2.7365838E-004,-3.6250000E-001, 3.3129340E-001,-1.2500000E-002, 2.8329744E-001, 1.3750000E-001, 1.7208643E+000, 1.3750000E-001, 2.3168457E-001, 1.3750000E-001, 3.7771279E-004
-3.3750000E-001, 9.4900278E-002, 1.2500000E-002, 1.1032428E+000,-3.3750000E-001, 2.8675058E-004,-3.3750000E-001, 3.2973214E-001, 1.2500000E-002, 3.1231901E-001, 1.6250000E-001, 1.7700188E+000, 1.6250000E-001, 1.8910843E-001, 1.6250000E-001, 3.2714875E-004
-3.1250000E-001, 1.2338484E-001, 3.7500000E-002, 1.0316735E+000,-3.1250000E-001, 3.0186286E-004,-3.1250000E-001, 3.4031498E-001, 3.7500000E-002, 3.4228482E-001, 1.8750000E-001, 1.7366035E+000, 1.8750000E-001, 1.7540314E-001, 1.8750000E-001, 3.1379843E-004
-2.8750000E-001, 1.6473468E-001,NaN,NaN,-2.8750000E-001, 3.1132282E-004,-2.8750000E-001, 3.4222083E-001,NaN,NaN, 2.1250000E-001, 1.6615236E+000, 2.1250000E-001, 1.8272593E-001, 2.1250000E-001, 2.8762663E-004
-2.6250000E-001, 1.7991637E-001,NaN,NaN,-2.6250000E-001, 3.2486507E-004,-2.6250000E-001, 3.6057817E-001,NaN,NaN, 2.3750000E-001, 1.5795776E+000, 2.3750000E-001, 1.8795384E-001, 2.3750000E-001, 2.5975736E-004
-2.3750000E-001, 2.0793902E-001,NaN,NaN,-2.3750000E-001, 3.4105906E-004,-2.3750000E-001, 3.5649627E-001,NaN,NaN, 2.6250000E-001, 1.4968821E+000, 2.6250000E-001, 1.8170942E-001, 2.6250000E-001, 2.2156151E-004
-2.1250000E-001, 2.1840667E-001,NaN,NaN,-2.1250000E-001, 3.6156619E-004,-2.1250000E-001, 3.5766094E-001,NaN,NaN, 2.8750000E-001, 1.3840888E+000, 2.8750000E-001, 1.5804592E-001, 2.8750000E-001, 1.0266491E-003
-1.8750000E-001, 1.9596210E-001,NaN,NaN,-1.8750000E-001, 3.7443533E-004,-1.8750000E-001, 3.5241437E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
