s,,,
Time,"scarc-iter","scarc-rate","scarc-res"
 4.3830474E-001, 1.1000000E+002, 7.7277178E-001, 8.5593138E-009
 4.4371248E-001, 1.0900000E+002, 7.7269569E-001, 9.6242801E-009
 4.4912023E-001, 1.0900000E+002, 7.7193342E-001, 6.1899591E-009
 4.5452797E-001, 1.0700000E+002, 7.7743413E-001, 5.5736056E-009
 4.5993572E-001, 1.0800000E+002, 7.7588727E-001, 7.7902325E-009
 4.6534346E-001, 1.1000000E+002, 7.7334812E-001, 7.8736709E-009
 4.7129198E-001, 1.1100000E+002, 7.7075133E-001, 6.6657726E-009
 4.7724050E-001, 1.1100000E+002, 7.7077401E-001, 8.7362489E-009
 4.8318902E-001, 1.1100000E+002, 7.7077236E-001, 9.4584351E-009
 4.8913754E-001, 1.1100000E+002, 7.7075186E-001, 8.7084420E-009
 4.9568091E-001, 1.1100000E+002, 7.7066777E-001, 6.8098504E-009
 5.0222428E-001, 1.0900000E+002, 7.7244710E-001, 8.3803781E-009
 5.0876765E-001, 1.0300000E+002, 7.8754526E-001, 8.8362336E-009
 5.1531102E-001, 1.1000000E+002, 7.7433548E-001, 8.3042009E-009
 5.2185440E-001, 1.1100000E+002, 7.7093588E-001, 7.6885812E-009
 5.2839777E-001, 1.1200000E+002, 7.6783141E-001, 5.4158933E-009
 5.3494114E-001, 1.1200000E+002, 7.6709558E-001, 6.0624505E-009
 5.4148451E-001, 1.1200000E+002, 7.6774473E-001, 7.5798905E-009
 5.4736172E-001, 1.1200000E+002, 7.6775849E-001, 8.0223888E-009
 5.5323893E-001, 1.1200000E+002, 7.6775129E-001, 8.1566042E-009
 5.5911615E-001, 1.1200000E+002, 7.6774113E-001, 7.9817702E-009
 5.6499336E-001, 1.1200000E+002, 7.6772686E-001, 7.5297300E-009
 5.7087057E-001, 1.1200000E+002, 7.6769408E-001, 6.8437298E-009
 5.7674778E-001, 1.1200000E+002, 7.6759643E-001, 5.9547799E-009
 5.8262499E-001, 1.1100000E+002, 7.7042235E-001, 9.9392425E-009
 5.8850221E-001, 1.1100000E+002, 7.7027307E-001, 7.9819870E-009
 5.9437942E-001, 1.1100000E+002, 7.7020442E-001, 6.2173747E-009
 5.9962115E-001, 1.1100000E+002, 7.7021779E-001, 4.7481233E-009
 6.0486288E-001, 1.1000000E+002, 7.7393562E-001, 7.6710554E-009
 6.1010461E-001, 1.0800000E+002, 7.7340383E-001, 8.1552703E-009
 6.1534634E-001, 1.0800000E+002, 7.7576198E-001, 7.0241266E-009
 6.2058807E-001, 1.0700000E+002, 7.7706450E-001, 5.6262266E-009
 6.2582980E-001, 1.0600000E+002, 7.8389540E-001, 6.2287987E-009
 6.3107153E-001, 1.0400000E+002, 7.8569521E-001, 6.7320892E-009
 6.3631326E-001, 1.0500000E+002, 7.8475303E-001, 9.1590239E-009
 6.4155500E-001, 1.0500000E+002, 7.8492097E-001, 9.2105677E-009
 6.4679673E-001, 1.0500000E+002, 7.8292202E-001, 3.7233970E-009
