,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:29:44.814+01:00,   0.677E-02,   0.00677
      2,2020-02-19T19:29:44.887+01:00,   0.677E-02,   0.01355
      3,2020-02-19T19:29:44.996+01:00,   0.677E-02,   0.02032
      4,2020-02-19T19:29:45.071+01:00,   0.677E-02,   0.02710
      5,2020-02-19T19:29:45.147+01:00,   0.677E-02,   0.03387
      6,2020-02-19T19:29:45.254+01:00,   0.602E-02,   0.03989
      7,2020-02-19T19:29:45.366+01:00,   0.602E-02,   0.04590
      8,2020-02-19T19:29:45.442+01:00,   0.602E-02,   0.05192
      9,2020-02-19T19:29:45.516+01:00,   0.602E-02,   0.05794
     10,2020-02-19T19:29:45.591+01:00,   0.602E-02,   0.06395
     20,2020-02-19T19:29:46.495+01:00,   0.541E-02,   0.11925
     30,2020-02-19T19:29:47.371+01:00,   0.541E-02,   0.17333
     40,2020-02-19T19:29:48.213+01:00,   0.541E-02,   0.22740
     50,2020-02-19T19:29:49.094+01:00,   0.541E-02,   0.28148
     60,2020-02-19T19:29:49.972+01:00,   0.541E-02,   0.33556
     70,2020-02-19T19:29:51.404+01:00,   0.541E-02,   0.38964
     80,2020-02-19T19:29:53.148+01:00,   0.541E-02,   0.44371
     90,2020-02-19T19:29:54.597+01:00,   0.654E-02,   0.50222
    100,2020-02-19T19:29:56.455+01:00,   0.588E-02,   0.56499
    182,2020-02-19T19:30:09.293+01:00,   0.243E-02,   1.00000
