s,kg,kg,kg
Time,Total,BACKGROUND,SCALAR
 0.0000000E+000, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.4558189E-003, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 6.9116377E-003, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.0367457E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.3823275E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.7279094E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.0734914E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.4190731E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.7646551E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.1102370E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.4206189E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.7310012E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 4.0413830E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 4.3517653E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 4.6621472E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 4.9725294E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 5.2829113E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 5.5932935E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 5.9036754E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 6.2140577E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 6.5244399E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 6.8348221E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 7.1452036E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 7.4555859E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 7.7334978E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 8.0114089E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 8.2893208E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 8.5672319E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 8.8451438E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 9.1230549E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 9.4009668E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 9.6788779E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 9.9567898E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.0234701E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.0512613E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.0790524E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.1068436E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.1346347E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.1624259E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.1902171E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.2180082E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.2457994E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.2735905E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.3013816E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.3291728E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.3569640E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.3847551E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.4125462E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.4403374E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.4681286E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.4959197E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.5237108E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.5515020E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.5792932E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.6070843E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.6348754E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.6626666E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.6904578E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.7182489E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.7460401E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.7738312E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.8016224E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.8294135E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.8572047E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.8849958E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.9127870E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.9405781E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.9683693E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.9961604E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.0239516E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.0517427E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.0795339E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.1073250E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.1351162E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.1629074E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.1906985E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.2184896E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.2462808E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.2740720E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.3018631E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.3296542E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.3574454E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.3852366E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.4130277E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.4408188E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.4686100E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.4964012E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.5241923E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.5519836E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.5797746E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.6075658E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.6353571E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.6631480E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.6909393E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.7187303E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.7465215E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.7743128E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.8021038E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.8298950E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.8576863E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.8854772E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.9132685E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.9410595E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.9688507E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.9966420E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.0244330E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.0522242E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.0800155E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.1078064E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.1355977E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.1633890E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.1911799E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.2189712E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.2467622E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.2745534E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.3023447E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.3301356E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.3579269E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.3857182E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.4135091E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.4413004E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.4690914E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.4968826E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.5246739E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.5524648E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.5802561E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.6080474E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.6358383E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.6636296E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.6914209E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.7192118E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.7470031E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.7747940E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.8025853E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.8303766E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.8581675E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.8859588E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.9137501E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.9415410E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
