,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:29:46.555+01:00,   0.346E-02,   0.00346
      2,2020-02-19T19:29:47.839+01:00,   0.346E-02,   0.00691
      3,2020-02-19T19:29:49.098+01:00,   0.346E-02,   0.01037
      4,2020-02-19T19:29:50.400+01:00,   0.346E-02,   0.01382
      5,2020-02-19T19:29:51.699+01:00,   0.346E-02,   0.01728
      6,2020-02-19T19:29:53.003+01:00,   0.346E-02,   0.02073
      7,2020-02-19T19:29:54.361+01:00,   0.346E-02,   0.02419
      8,2020-02-19T19:29:55.669+01:00,   0.346E-02,   0.02765
      9,2020-02-19T19:29:56.985+01:00,   0.346E-02,   0.03110
     10,2020-02-19T19:29:58.885+01:00,   0.310E-02,   0.03421
     20,2020-02-19T19:30:12.312+01:00,   0.310E-02,   0.06524
     30,2020-02-19T19:30:26.242+01:00,   0.278E-02,   0.09401
     40,2020-02-19T19:30:40.455+01:00,   0.278E-02,   0.12180
     50,2020-02-19T19:30:54.625+01:00,   0.278E-02,   0.14959
     60,2020-02-19T19:31:09.119+01:00,   0.278E-02,   0.17738
     70,2020-02-19T19:31:23.097+01:00,   0.278E-02,   0.20517
     80,2020-02-19T19:31:36.813+01:00,   0.278E-02,   0.23297
     90,2020-02-19T19:31:50.537+01:00,   0.278E-02,   0.26076
    100,2020-02-19T19:32:04.167+01:00,   0.278E-02,   0.28855
    200,2020-02-19T19:34:29.910+01:00,   0.302E-02,   0.57965
    300,2020-02-19T19:36:53.958+01:00,   0.271E-02,   0.85167
    354,2020-02-19T19:38:05.443+01:00,   0.232E-03,   1.00000
