,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:29:44.731+01:00,   0.223E-01,   0.02232
      2,2020-02-19T19:29:44.743+01:00,   0.223E-01,   0.04463
      3,2020-02-19T19:29:44.778+01:00,   0.198E-01,   0.06447
      4,2020-02-19T19:29:44.789+01:00,   0.198E-01,   0.08431
      5,2020-02-19T19:29:44.805+01:00,   0.177E-01,   0.10202
      6,2020-02-19T19:29:44.816+01:00,   0.177E-01,   0.11973
      7,2020-02-19T19:29:44.828+01:00,   0.177E-01,   0.13745
      8,2020-02-19T19:29:44.839+01:00,   0.177E-01,   0.15516
      9,2020-02-19T19:29:44.850+01:00,   0.177E-01,   0.17288
     10,2020-02-19T19:29:44.862+01:00,   0.177E-01,   0.19059
     20,2020-02-19T19:29:44.995+01:00,   0.177E-01,   0.36773
     30,2020-02-19T19:29:45.128+01:00,   0.197E-01,   0.56584
     40,2020-02-19T19:29:45.245+01:00,   0.177E-01,   0.74459
     50,2020-02-19T19:29:45.374+01:00,   0.177E-01,   0.92133
     55,2020-02-19T19:29:45.446+01:00,   0.728E-03,   1.00000
