s,,,
Time,"scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2191629E-003, 1.6700000E+002, 8.6153423E-001, 8.0076630E-009
 2.4383257E-003, 1.6400000E+002, 8.5973239E-001, 9.6927371E-009
 3.6574886E-003, 1.6400000E+002, 8.5851891E-001, 8.2327906E-009
 4.8766514E-003, 1.6400000E+002, 8.5802840E-001, 8.2498657E-009
 6.0958143E-003, 1.6400000E+002, 8.5816315E-001, 9.4992460E-009
 7.3149771E-003, 1.6500000E+002, 8.5764033E-001, 8.3754258E-009
 8.5341400E-003, 1.6700000E+002, 8.5805765E-001, 7.6575436E-009
 9.7533028E-003, 1.6900000E+002, 8.5959976E-001, 8.2479460E-009
 1.0972466E-002, 1.7100000E+002, 8.6035473E-001, 7.5546549E-009
 1.2191629E-002, 1.7100000E+002, 8.6075643E-001, 8.7375001E-009
 1.3410791E-002, 1.7100000E+002, 8.6094461E-001, 9.7182104E-009
 1.4629954E-002, 1.7200000E+002, 8.6057838E-001, 8.3634277E-009
 1.5849117E-002, 1.7200000E+002, 8.6059766E-001, 9.0670567E-009
 1.7068280E-002, 1.7200000E+002, 8.6063566E-001, 9.7843324E-009
 1.8287443E-002, 1.7300000E+002, 8.5835498E-001, 5.6352972E-009
 1.9506606E-002, 1.7300000E+002, 8.5840012E-001, 6.0087741E-009
 2.0725769E-002, 1.7300000E+002, 8.5850526E-001, 6.4899705E-009
 2.1944931E-002, 1.7300000E+002, 8.5851920E-001, 6.8910523E-009
 2.3164094E-002, 1.7300000E+002, 8.5855960E-001, 7.3687101E-009
 2.4383257E-002, 1.7300000E+002, 8.5857567E-001, 7.8473768E-009
 2.5602420E-002, 1.7300000E+002, 8.5861441E-001, 8.3376485E-009
 2.6821583E-002, 1.7300000E+002, 8.5864341E-001, 8.8251699E-009
 2.8040746E-002, 1.7300000E+002, 8.5868903E-001, 9.3759787E-009
 2.9259909E-002, 1.7300000E+002, 8.5871790E-001, 9.9343945E-009
 3.0479071E-002, 1.7400000E+002, 8.5820392E-001, 8.1048280E-009
 3.1698234E-002, 1.7400000E+002, 8.5822931E-001, 8.5999049E-009
 3.2917397E-002, 1.7400000E+002, 8.5826775E-001, 9.1300562E-009
 3.4136560E-002, 1.7400000E+002, 8.5831209E-001, 9.6917914E-009
 3.5355723E-002, 1.7500000E+002, 8.5688402E-001, 6.5392459E-009
 3.6574886E-002, 1.7500000E+002, 8.5694832E-001, 6.9737619E-009
 3.7794049E-002, 1.7500000E+002, 8.5698326E-001, 7.3969334E-009
 3.9013211E-002, 1.7500000E+002, 8.5703283E-001, 7.8745270E-009
 4.0232374E-002, 1.7500000E+002, 8.5703847E-001, 8.3086149E-009
 4.1451537E-002, 1.7500000E+002, 8.5709778E-001, 8.8552831E-009
 4.2670700E-002, 1.7500000E+002, 8.5711287E-001, 9.3526912E-009
 4.3889863E-002, 1.7500000E+002, 8.5716929E-001, 9.9649231E-009
 4.5109026E-002, 1.7600000E+002, 8.5720019E-001, 9.0570579E-009
 4.6328188E-002, 1.7600000E+002, 8.5722575E-001, 9.5968257E-009
 4.7547351E-002, 1.7700000E+002, 8.5553116E-001, 6.1117340E-009
 4.8766514E-002, 1.7700000E+002, 8.5555711E-001, 6.4765115E-009
 4.9985677E-002, 1.7700000E+002, 8.5554962E-001, 6.8155492E-009
 5.1204840E-002, 1.7700000E+002, 8.5556709E-001, 7.2106027E-009
 5.2424003E-002, 1.7700000E+002, 8.5555212E-001, 7.5789401E-009
 5.3643166E-002, 1.7700000E+002, 8.5548087E-001, 7.8753234E-009
 5.4862328E-002, 1.7700000E+002, 8.5491248E-001, 7.3844803E-009
 5.6081491E-002, 1.7500000E+002, 8.5316927E-001, 7.4553955E-009
 5.7300654E-002, 1.7700000E+002, 8.5536226E-001, 9.0145832E-009
 5.8641733E-002, 1.7700000E+002, 8.5524505E-001, 9.8153307E-009
 5.9982812E-002, 1.7800000E+002, 8.5494066E-001, 8.3441884E-009
 6.1323892E-002, 1.7800000E+002, 8.5498590E-001, 8.9164026E-009
 6.2664971E-002, 1.7800000E+002, 8.5499671E-001, 9.4601857E-009
 6.4006050E-002, 1.7900000E+002, 8.5295951E-001, 5.5861007E-009
 6.5347129E-002, 1.7900000E+002, 8.5296475E-001, 5.9186272E-009
 6.6688208E-002, 1.7900000E+002, 8.5297018E-001, 6.2705730E-009
 6.8029287E-002, 1.7900000E+002, 8.5297799E-001, 6.6460877E-009
 6.9370366E-002, 1.7900000E+002, 8.5296588E-001, 7.0138930E-009
 7.0711446E-002, 1.7900000E+002, 8.5296770E-001, 7.4227294E-009
 7.2052525E-002, 1.7900000E+002, 8.5296079E-001, 7.8393953E-009
 7.3393604E-002, 1.7900000E+002, 8.5296551E-001, 8.2978670E-009
 7.4734683E-002, 1.7900000E+002, 8.5295073E-001, 8.7453943E-009
 7.6075762E-002, 1.7900000E+002, 8.5295208E-001, 9.2462266E-009
 7.7416841E-002, 1.7900000E+002, 8.5294575E-001, 9.7576539E-009
 7.8757920E-002, 1.8000000E+002, 8.5279237E-001, 8.5124712E-009
 8.0099000E-002, 1.8000000E+002, 8.5278362E-001, 8.9736951E-009
 8.1440079E-002, 1.8000000E+002, 8.5277423E-001, 9.4557609E-009
 8.2781158E-002, 1.8000000E+002, 8.5276783E-001, 9.9669795E-009
 8.4122237E-002, 1.8100000E+002, 8.5165361E-001, 7.0783947E-009
 8.5463316E-002, 1.8100000E+002, 8.5165274E-001, 7.4649443E-009
 8.6804395E-002, 1.8100000E+002, 8.5165015E-001, 7.8670473E-009
 8.8145474E-002, 1.8100000E+002, 8.5162886E-001, 8.2549320E-009
 8.9486554E-002, 1.8100000E+002, 8.5162500E-001, 8.6909126E-009
 9.0827633E-002, 1.8100000E+002, 8.5161161E-001, 9.1279871E-009
 9.2168712E-002, 1.8100000E+002, 8.5160834E-001, 9.6040128E-009
 9.3509791E-002, 1.8200000E+002, 8.5159701E-001, 8.5872062E-009
 9.4850870E-002, 1.8200000E+002, 8.5158684E-001, 9.0146062E-009
 9.6191949E-002, 1.8200000E+002, 8.5157506E-001, 9.4561443E-009
 9.7533028E-002, 1.8200000E+002, 8.5153019E-001, 9.8453295E-009
 9.8874108E-002, 1.8300000E+002, 8.4986259E-001, 6.1536929E-009
 1.0021519E-001, 1.8300000E+002, 8.4987610E-001, 6.4820833E-009
 1.0155627E-001, 1.8300000E+002, 8.4986674E-001, 6.7915575E-009
 1.0289734E-001, 1.8300000E+002, 8.4986289E-001, 7.1211566E-009
 1.0423842E-001, 1.8300000E+002, 8.4985048E-001, 7.4497008E-009
 1.0557950E-001, 1.8300000E+002, 8.4984947E-001, 7.8091113E-009
 1.0692058E-001, 1.8300000E+002, 8.4983571E-001, 8.1597442E-009
 1.0826166E-001, 1.8300000E+002, 8.4983495E-001, 8.5461736E-009
 1.0960274E-001, 1.8300000E+002, 8.4981952E-001, 8.9185977E-009
 1.1094382E-001, 1.8300000E+002, 8.4982572E-001, 9.3464219E-009
 1.1228490E-001, 1.8300000E+002, 8.4980776E-001, 9.7394148E-009
 1.1362598E-001, 1.8400000E+002, 8.4914252E-001, 7.4927278E-009
 1.1496706E-001, 1.8400000E+002, 8.4913291E-001, 7.8144403E-009
 1.1630814E-001, 1.8400000E+002, 8.4912285E-001, 8.1453226E-009
 1.1764922E-001, 1.8400000E+002, 8.4911204E-001, 8.4848288E-009
 1.1899029E-001, 1.8400000E+002, 8.4910114E-001, 8.8340857E-009
 1.2033137E-001, 1.8400000E+002, 8.4908724E-001, 9.1873537E-009
 1.2167245E-001, 1.8400000E+002, 8.4906627E-001, 9.5355384E-009
 1.2301353E-001, 1.8400000E+002, 8.4904938E-001, 9.9008871E-009
 1.2435461E-001, 1.8500000E+002, 8.4734460E-001, 6.0371475E-009
 1.2569569E-001, 1.8500000E+002, 8.4742580E-001, 6.3977552E-009
 1.2703677E-001, 1.8500000E+002, 8.4744223E-001, 6.6814267E-009
 1.2837785E-001, 1.8500000E+002, 8.4744501E-001, 6.9535094E-009
 1.2971893E-001, 1.8500000E+002, 8.4745686E-001, 7.2474453E-009
 1.3106001E-001, 1.8500000E+002, 8.4745000E-001, 7.5192787E-009
 1.3240109E-001, 1.8500000E+002, 8.4743791E-001, 7.7885684E-009
 1.3374217E-001, 1.8500000E+002, 8.4743635E-001, 8.0820349E-009
 1.3508324E-001, 1.8500000E+002, 8.4741954E-001, 8.3545111E-009
 1.3642432E-001, 1.8500000E+002, 8.4740949E-001, 8.6446158E-009
 1.3776540E-001, 1.8500000E+002, 8.4739193E-001, 8.9256464E-009
 1.3910648E-001, 1.8500000E+002, 8.4739298E-001, 9.2486583E-009
 1.4044756E-001, 1.8500000E+002, 8.4736830E-001, 9.5248835E-009
 1.4178864E-001, 1.8500000E+002, 8.4737240E-001, 9.8661809E-009
 1.4312972E-001, 1.8600000E+002, 8.4706908E-001, 8.0906535E-009
 1.4447080E-001, 1.8600000E+002, 8.4705920E-001, 8.3464247E-009
 1.4581188E-001, 1.8600000E+002, 8.4704574E-001, 8.5991288E-009
 1.4715296E-001, 1.8600000E+002, 8.4703505E-001, 8.8603290E-009
 1.4849404E-001, 1.8600000E+002, 8.4702299E-001, 9.1220195E-009
 1.4983511E-001, 1.8600000E+002, 8.4701049E-001, 9.3857142E-009
 1.5117619E-001, 1.8600000E+002, 8.4699691E-001, 9.6497745E-009
 1.5251727E-001, 1.8600000E+002, 8.4698388E-001, 9.9173136E-009
 1.5385835E-001, 1.8700000E+002, 8.4594684E-001, 6.8812371E-009
 1.5519943E-001, 1.8700000E+002, 8.4591821E-001, 7.0402262E-009
 1.5654051E-001, 1.8700000E+002, 8.4592870E-001, 7.2616731E-009
 1.5788159E-001, 1.8700000E+002, 8.4590359E-001, 7.4274842E-009
 1.5922267E-001, 1.8700000E+002, 8.4590132E-001, 7.6315589E-009
 1.6056375E-001, 1.8700000E+002, 8.4590665E-001, 7.8502881E-009
 1.6190483E-001, 1.8700000E+002, 8.4587735E-001, 8.0095053E-009
 1.6324591E-001, 1.8700000E+002, 8.4587976E-001, 8.2251190E-009
 1.6458699E-001, 1.8700000E+002, 8.4586977E-001, 8.4189453E-009
 1.6592806E-001, 1.8700000E+002, 8.4585331E-001, 8.6004903E-009
 1.6726914E-001, 1.8700000E+002, 8.4585202E-001, 8.8108061E-009
 1.6861022E-001, 1.8700000E+002, 8.4583530E-001, 8.9907374E-009
