s,kg,kg,kg
Time,Total,BACKGROUND,SCALAR
 0.0000000E+000, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.2191628E-003, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.4383257E-003, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.6574886E-003, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 4.8766513E-003, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 6.0958141E-003, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 7.3149772E-003, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 8.5341400E-003, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 9.7533027E-003, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.0972465E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.2191628E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.3410792E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.4629954E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.5849117E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.7068280E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.8287443E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.9506605E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.0725768E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.1944931E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.3164093E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.4383256E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.5602421E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.6821584E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.8040746E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 2.9259909E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.0479072E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.1698234E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.2917395E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.4136560E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.5355724E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.6574885E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.7794050E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 3.9013211E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 4.0232375E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 4.1451536E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 4.2670701E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 4.3889862E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 4.5109026E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 4.6328187E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 4.7547352E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 4.8766512E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 4.9985677E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 5.1204842E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 5.2424002E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 5.3643167E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 5.4862328E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 5.6081492E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 5.7300653E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 5.8641732E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 5.9982814E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 6.1323892E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 6.2664971E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 6.4006053E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 6.5347128E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 6.6688210E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 6.8029284E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 6.9370367E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 7.0711449E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 7.2052523E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 7.3393606E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 7.4734680E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 7.6075763E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 7.7416845E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 7.8757919E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 8.0099002E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 8.1440076E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 8.2781158E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 8.4122241E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 8.5463315E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 8.6804397E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 8.8145472E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 8.9486554E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 9.0827629E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 9.2168711E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 9.3509793E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 9.4850868E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 9.6191950E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 9.7533025E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 9.8874107E-002, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.0021519E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.0155626E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.0289735E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.0423842E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.0557950E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.0692059E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.0826166E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.0960274E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.1094382E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.1228490E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.1362598E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.1496706E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.1630814E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.1764921E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.1899029E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.2033138E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.2167245E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.2301353E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.2435461E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.2569569E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.2703677E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.2837785E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.2971893E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.3106000E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.3240108E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.3374217E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.3508324E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.3642432E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.3776541E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.3910648E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.4044756E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.4178865E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.4312972E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.4447080E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.4581187E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.4715296E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.4849404E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.4983511E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.5117620E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.5251727E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.5385835E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.5519944E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.5654051E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.5788159E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.5922266E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.6056375E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.6190483E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.6324590E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.6458699E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.6592807E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.6726914E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.6861023E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.6995130E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.7129238E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.7263345E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.7397454E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.7531562E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.7665669E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.7799778E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
 1.7933886E-001, 1.2000000E+000, 1.0000000E+000, 2.0000000E-001
