,,s,s
Time Step,Wall Time,Step Size,Simulation Time
      1,2020-02-19T19:33:22.638+01:00,   0.177E+00,   0.17678
      2,2020-02-19T19:33:22.665+01:00,   0.177E+00,   0.35355
      3,2020-02-19T19:33:22.693+01:00,   0.177E+00,   0.53033
      4,2020-02-19T19:33:22.730+01:00,   0.177E+00,   0.70711
      5,2020-02-19T19:33:22.758+01:00,   0.177E+00,   0.88388
      6,2020-02-19T19:33:22.796+01:00,   0.643E-01,   0.94819
      7,2020-02-19T19:33:22.836+01:00,   0.643E-01,   1.01250
      8,2020-02-19T19:33:22.866+01:00,   0.643E-01,   1.07681
      9,2020-02-19T19:33:22.904+01:00,   0.539E-01,   1.13066
     10,2020-02-19T19:33:22.943+01:00,   0.539E-01,   1.18451
     20,2020-02-19T19:33:23.276+01:00,   0.366E-01,   1.63352
     30,2020-02-19T19:33:23.585+01:00,   0.366E-01,   1.99961
     40,2020-02-19T19:33:23.897+01:00,   0.403E-01,   2.37303
     50,2020-02-19T19:33:24.201+01:00,   0.403E-01,   2.77573
     60,2020-02-19T19:33:24.504+01:00,   0.403E-01,   3.17843
     70,2020-02-19T19:33:24.828+01:00,   0.403E-01,   3.58113
     80,2020-02-19T19:33:25.154+01:00,   0.403E-01,   3.98383
     90,2020-02-19T19:33:25.458+01:00,   0.403E-01,   4.38653
    100,2020-02-19T19:33:25.772+01:00,   0.403E-01,   4.78923
    200,2020-02-19T19:33:29.195+01:00,   0.403E-01,   8.81623
    300,2020-02-19T19:33:32.686+01:00,   0.403E-01,  12.84323
    400,2020-02-19T19:33:36.289+01:00,   0.412E-01,  17.01598
    500,2020-02-19T19:33:39.864+01:00,   0.452E-01,  21.77774
    600,2020-02-19T19:33:43.485+01:00,   0.438E-01,  26.64241
    700,2020-02-19T19:33:47.079+01:00,   0.518E-01,  31.48772
    800,2020-02-19T19:33:50.695+01:00,   0.423E-01,  36.06033
    900,2020-02-19T19:33:54.336+01:00,   0.423E-01,  40.83112
   1000,2020-02-19T19:33:57.962+01:00,   0.582E-01,  46.08434
   1100,2020-02-19T19:34:01.540+01:00,   0.561E-01,  51.41493
   1200,2020-02-19T19:34:05.146+01:00,   0.578E-01,  56.85611
   1300,2020-02-19T19:34:08.734+01:00,   0.588E-01,  62.16789
   1400,2020-02-19T19:34:12.341+01:00,   0.558E-01,  67.29567
   1500,2020-02-19T19:34:15.929+01:00,   0.563E-01,  72.69737
   1600,2020-02-19T19:34:19.607+01:00,   0.547E-01,  78.07653
   1700,2020-02-19T19:34:23.222+01:00,   0.609E-01,  83.60473
   1800,2020-02-19T19:34:26.912+01:00,   0.634E-01,  89.42633
   1900,2020-02-19T19:34:30.621+01:00,   0.670E-01,  95.50510
   2000,2020-02-19T19:34:34.497+01:00,   0.695E-01, 101.49740
   2100,2020-02-19T19:34:38.284+01:00,   0.676E-01, 108.15254
   2200,2020-02-19T19:34:42.019+01:00,   0.659E-01, 114.27655
   2300,2020-02-19T19:34:45.752+01:00,   0.759E-01, 120.07860
   2400,2020-02-19T19:34:49.499+01:00,   0.522E-01, 125.71056
   2500,2020-02-19T19:34:53.201+01:00,   0.661E-01, 131.32076
   2600,2020-02-19T19:34:56.999+01:00,   0.556E-01, 136.67762
   2700,2020-02-19T19:35:00.703+01:00,   0.658E-01, 142.78215
   2800,2020-02-19T19:35:04.534+01:00,   0.567E-01, 148.47319
   2900,2020-02-19T19:35:08.254+01:00,   0.590E-01, 154.05535
   3000,2020-02-19T19:35:11.974+01:00,   0.732E-01, 159.99160
   3100,2020-02-19T19:35:15.704+01:00,   0.596E-01, 165.91530
   3200,2020-02-19T19:35:19.355+01:00,   0.596E-01, 171.87495
   3300,2020-02-19T19:35:23.081+01:00,   0.603E-01, 177.05957
   3400,2020-02-19T19:35:26.866+01:00,   0.686E-01, 182.74212
   3500,2020-02-19T19:35:30.646+01:00,   0.574E-01, 188.41934
   3600,2020-02-19T19:35:34.335+01:00,   0.793E-01, 195.83338
   3700,2020-02-19T19:35:38.033+01:00,   0.478E-01, 202.34150
   3800,2020-02-19T19:35:41.752+01:00,   0.499E-01, 208.13345
   3900,2020-02-19T19:35:45.490+01:00,   0.522E-01, 214.77747
   4000,2020-02-19T19:35:49.334+01:00,   0.798E-01, 221.06098
   4100,2020-02-19T19:35:53.100+01:00,   0.616E-01, 227.87340
   4200,2020-02-19T19:35:57.005+01:00,   0.296E-01, 233.86240
   4300,2020-02-19T19:36:00.626+01:00,   0.578E-01, 239.07869
   4400,2020-02-19T19:36:04.411+01:00,   0.383E-01, 245.39387
   4500,2020-02-19T19:36:08.087+01:00,   0.617E-01, 250.23272
   4600,2020-02-19T19:36:12.004+01:00,   0.439E-01, 255.86131
   4700,2020-02-19T19:36:15.612+01:00,   0.570E-01, 260.64916
   4800,2020-02-19T19:36:19.407+01:00,   0.525E-01, 266.63273
   4900,2020-02-19T19:36:23.097+01:00,   0.567E-01, 271.67132
   5000,2020-02-19T19:36:26.888+01:00,   0.660E-01, 277.07280
   5100,2020-02-19T19:36:31.025+01:00,   0.451E-01, 281.51438
   5200,2020-02-19T19:36:34.680+01:00,   0.419E-01, 286.29773
   5300,2020-02-19T19:36:38.402+01:00,   0.663E-01, 292.07745
   5400,2020-02-19T19:36:42.124+01:00,   0.535E-01, 298.34699
   5500,2020-02-19T19:36:46.122+01:00,   0.512E-01, 304.63506
   5600,2020-02-19T19:36:49.784+01:00,   0.718E-01, 310.23804
   5700,2020-02-19T19:36:53.532+01:00,   0.427E-01, 315.24017
   5800,2020-02-19T19:36:57.195+01:00,   0.568E-01, 320.11875
   5900,2020-02-19T19:37:00.868+01:00,   0.624E-01, 326.76550
   6000,2020-02-19T19:37:04.558+01:00,   0.515E-01, 333.27276
   6100,2020-02-19T19:37:08.176+01:00,   0.498E-01, 337.96376
   6200,2020-02-19T19:37:11.773+01:00,   0.801E-01, 343.78303
   6300,2020-02-19T19:37:15.627+01:00,   0.356E-01, 348.36556
   6400,2020-02-19T19:37:19.276+01:00,   0.330E-01, 352.25461
   6500,2020-02-19T19:37:22.920+01:00,   0.602E-01, 356.93181
   6600,2020-02-19T19:37:26.657+01:00,   0.395E-01, 362.58023
   6700,2020-02-19T19:37:30.286+01:00,   0.374E-01, 366.90483
   6800,2020-02-19T19:37:34.006+01:00,   0.456E-01, 373.03685
   6900,2020-02-19T19:37:37.691+01:00,   0.343E-01, 376.35682
   7000,2020-02-19T19:37:41.626+01:00,   0.581E-01, 380.45626
   7100,2020-02-19T19:37:45.370+01:00,   0.582E-01, 385.73080
   7200,2020-02-19T19:37:49.071+01:00,   0.528E-01, 392.63909
   7300,2020-02-19T19:37:52.752+01:00,   0.599E-01, 398.81737
   7400,2020-02-19T19:37:56.357+01:00,   0.402E-01, 403.25987
   7500,2020-02-19T19:37:59.933+01:00,   0.784E-01, 409.51668
   7600,2020-02-19T19:38:03.719+01:00,   0.402E-01, 414.20658
   7700,2020-02-19T19:38:07.334+01:00,   0.560E-01, 418.61913
   7800,2020-02-19T19:38:11.146+01:00,   0.717E-01, 424.14004
   7900,2020-02-19T19:38:14.818+01:00,   0.601E-01, 429.54962
   8000,2020-02-19T19:38:18.606+01:00,   0.418E-01, 434.83438
   8100,2020-02-19T19:38:22.195+01:00,   0.482E-01, 439.43623
   8200,2020-02-19T19:38:25.899+01:00,   0.544E-01, 444.61284
   8300,2020-02-19T19:38:29.601+01:00,   0.345E-01, 449.43109
   8400,2020-02-19T19:38:33.262+01:00,   0.459E-01, 453.51711
   8500,2020-02-19T19:38:36.947+01:00,   0.810E-01, 460.51818
   8600,2020-02-19T19:38:40.602+01:00,   0.645E-01, 465.06670
   8700,2020-02-19T19:38:44.298+01:00,   0.551E-01, 470.62005
   8800,2020-02-19T19:38:47.903+01:00,   0.540E-01, 475.67127
   8900,2020-02-19T19:38:51.669+01:00,   0.407E-01, 480.85560
   9000,2020-02-19T19:38:55.360+01:00,   0.427E-01, 485.39562
   9100,2020-02-19T19:38:58.987+01:00,   0.500E-01, 490.77632
   9200,2020-02-19T19:39:02.652+01:00,   0.557E-01, 496.49356
   9300,2020-02-19T19:39:06.254+01:00,   0.557E-01, 502.06056
   9400,2020-02-19T19:39:09.878+01:00,   0.449E-01, 507.35922
   9500,2020-02-19T19:39:13.625+01:00,   0.419E-01, 512.25356
   9600,2020-02-19T19:39:17.284+01:00,   0.444E-01, 516.73791
   9700,2020-02-19T19:39:21.084+01:00,   0.528E-01, 521.13416
   9800,2020-02-19T19:39:25.001+01:00,   0.487E-01, 526.12510
   9900,2020-02-19T19:39:28.746+01:00,   0.318E-01, 532.02708
  10000,2020-02-19T19:39:32.464+01:00,   0.478E-01, 536.11810
  10100,2020-02-19T19:39:36.679+01:00,   0.361E-01, 540.88400
  10200,2020-02-19T19:39:40.475+01:00,   0.393E-01, 545.51515
  10300,2020-02-19T19:39:44.205+01:00,   0.668E-01, 550.83554
  10400,2020-02-19T19:39:47.883+01:00,   0.567E-01, 556.16578
  10500,2020-02-19T19:39:51.519+01:00,   0.633E-01, 560.84222
  10600,2020-02-19T19:39:55.509+01:00,   0.681E-01, 566.55661
  10700,2020-02-19T19:39:59.142+01:00,   0.429E-01, 572.00445
  10800,2020-02-19T19:40:02.803+01:00,   0.789E-01, 578.01564
  10900,2020-02-19T19:40:06.553+01:00,   0.506E-01, 583.08171
  11000,2020-02-19T19:40:10.279+01:00,   0.415E-01, 588.29195
  11100,2020-02-19T19:40:13.990+01:00,   0.623E-01, 593.46596
  11200,2020-02-19T19:40:17.655+01:00,   0.391E-01, 598.68328
  11300,2020-02-19T19:40:21.871+01:00,   0.227E-01, 602.57579
  11400,2020-02-19T19:40:26.935+01:00,   0.221E-01, 604.59236
  11500,2020-02-19T19:40:31.401+01:00,   0.422E-01, 608.38602
  11600,2020-02-19T19:40:35.029+01:00,   0.481E-01, 611.97027
  11700,2020-02-19T19:40:38.872+01:00,   0.455E-01, 618.20283
  11800,2020-02-19T19:40:42.485+01:00,   0.541E-01, 622.52705
  11900,2020-02-19T19:40:46.200+01:00,   0.802E-01, 628.99006
  12000,2020-02-19T19:40:49.858+01:00,   0.424E-01, 633.37797
  12100,2020-02-19T19:40:53.458+01:00,   0.566E-01, 638.62669
  12200,2020-02-19T19:40:57.191+01:00,   0.335E-01, 644.27588
  12300,2020-02-19T19:41:00.808+01:00,   0.490E-01, 648.35301
  12400,2020-02-19T19:41:04.540+01:00,   0.489E-01, 654.97634
  12500,2020-02-19T19:41:08.336+01:00,   0.367E-01, 659.01384
  12600,2020-02-19T19:41:11.956+01:00,   0.537E-01, 663.35266
  12700,2020-02-19T19:41:15.660+01:00,   0.649E-01, 668.47812
  12800,2020-02-19T19:41:19.576+01:00,   0.517E-01, 672.97291
  12900,2020-02-19T19:41:23.188+01:00,   0.477E-01, 677.74831
  13000,2020-02-19T19:41:26.959+01:00,   0.594E-01, 682.97760
  13100,2020-02-19T19:41:30.680+01:00,   0.527E-01, 688.15971
  13200,2020-02-19T19:41:34.515+01:00,   0.190E-01, 692.35545
  13300,2020-02-19T19:41:39.624+01:00,   0.204E-01, 694.35515
  13400,2020-02-19T19:41:43.966+01:00,   0.355E-01, 698.27994
  13500,2020-02-19T19:41:47.595+01:00,   0.467E-01, 701.79502
  13600,2020-02-19T19:41:51.428+01:00,   0.457E-01, 707.90060
  13700,2020-02-19T19:41:55.090+01:00,   0.669E-01, 713.27837
  13800,2020-02-19T19:41:58.762+01:00,   0.383E-01, 719.53403
  13900,2020-02-19T19:42:02.372+01:00,   0.605E-01, 724.48181
  14000,2020-02-19T19:42:06.378+01:00,   0.465E-01, 730.59274
  14100,2020-02-19T19:42:09.969+01:00,   0.504E-01, 735.12895
  14200,2020-02-19T19:42:13.650+01:00,   0.504E-01, 741.53442
  14300,2020-02-19T19:42:17.281+01:00,   0.540E-01, 745.59279
  14400,2020-02-19T19:42:20.991+01:00,   0.635E-01, 751.46156
  14500,2020-02-19T19:42:24.682+01:00,   0.314E-01, 756.80777
  14600,2020-02-19T19:42:28.272+01:00,   0.418E-01, 760.13467
  14700,2020-02-19T19:42:32.057+01:00,   0.485E-01, 765.72948
  14800,2020-02-19T19:42:36.287+01:00,   0.552E-01, 769.77450
  14900,2020-02-19T19:42:39.871+01:00,   0.369E-01, 773.57990
  15000,2020-02-19T19:42:43.627+01:00,   0.642E-01, 778.51659
  15100,2020-02-19T19:42:47.434+01:00,   0.414E-01, 782.57716
  15200,2020-02-19T19:42:51.057+01:00,   0.442E-01, 787.14378
  15300,2020-02-19T19:42:54.751+01:00,   0.710E-01, 792.45299
  15400,2020-02-19T19:42:58.713+01:00,   0.344E-01, 798.45723
  15500,2020-02-19T19:43:02.313+01:00,   0.610E-01, 803.13658
  15600,2020-02-19T19:43:06.102+01:00,   0.519E-01, 809.12309
  15700,2020-02-19T19:43:09.818+01:00,   0.492E-01, 814.44873
  15800,2020-02-19T19:43:13.653+01:00,   0.507E-01, 819.78659
  15900,2020-02-19T19:43:17.428+01:00,   0.568E-01, 824.28122
  16000,2020-02-19T19:43:21.299+01:00,   0.544E-01, 829.97027
  16100,2020-02-19T19:43:24.931+01:00,   0.520E-01, 835.25929
  16200,2020-02-19T19:43:28.753+01:00,   0.311E-01, 841.13983
  16300,2020-02-19T19:43:32.407+01:00,   0.499E-01, 845.08407
  16400,2020-02-19T19:43:36.245+01:00,   0.309E-01, 850.13315
