s,Pa,m/s,Pa,Pa
Time,"Pressure","Velocity","Pressure Ambient","Pressure Compartment"
 9.3002664E+002, 9.9011142E+002, 6.0274000E-001, 1.0132000E+005, 1.0230413E+005
 9.4501861E+002, 9.9062154E+002, 5.2249246E-001, 1.0131933E+005, 1.0230423E+005
 9.6004664E+002, 9.9000807E+002, 6.7361560E-001, 1.0131946E+005, 1.0230359E+005
 9.7501249E+002, 9.9129941E+002, 6.4851917E-001, 1.0132016E+005, 1.0230518E+005
 9.9000413E+002, 9.8901731E+002, 7.2825793E-001, 1.0132015E+005, 1.0230296E+005
 1.0050329E+003, 9.9163160E+002, 5.8036496E-001, 1.0131967E+005, 1.0230515E+005
 1.0200003E+003, 9.9184361E+002, 6.7711451E-001, 1.0132017E+005, 1.0230561E+005
 1.0350315E+003, 9.9141500E+002, 5.9921578E-001, 1.0132018E+005, 1.0230530E+005
 1.0500363E+003, 9.9151799E+002, 4.7030392E-001, 1.0132007E+005, 1.0230498E+005
 1.0650091E+003, 9.8990574E+002, 5.6755537E-001, 1.0131878E+005, 1.0230340E+005
 1.0800235E+003, 9.9070016E+002, 6.6372664E-001, 1.0132015E+005, 1.0230464E+005
 1.0950494E+003, 9.9111459E+002, 7.1311251E-001, 1.0132021E+005, 1.0230492E+005
 1.1100154E+003, 9.9150388E+002, 6.7424745E-001, 1.0132019E+005, 1.0230538E+005
 1.1250480E+003, 9.9219559E+002, 6.7191589E-001, 1.0132020E+005, 1.0230600E+005
 1.1400226E+003, 9.8996683E+002, 4.3180923E-001, 1.0131795E+005, 1.0230327E+005
 1.1550642E+003, 9.8918652E+002, 5.1974414E-001, 1.0131840E+005, 1.0230199E+005
 1.1700548E+003, 9.9157628E+002, 6.1613964E-001, 1.0132001E+005, 1.0230550E+005
 1.1850389E+003, 9.9078501E+002, 7.2311150E-001, 1.0132016E+005, 1.0230483E+005
 1.2000251E+003, 9.9239995E+002, 6.2150768E-001, 1.0132012E+005, 1.0230607E+005
 1.2150535E+003, 9.9058783E+002, 7.7516186E-001, 1.0132016E+005, 1.0230453E+005
 1.2300025E+003, 9.9140890E+002, 3.7477097E-001, 1.0132010E+005, 1.0230515E+005
 1.2450022E+003, 9.8747883E+002, 6.1375907E-001, 1.0131934E+005, 1.0230112E+005
 1.2600002E+003, 9.9048608E+002, 6.7111062E-001, 1.0132017E+005, 1.0230451E+005
 1.2750058E+003, 9.9186194E+002, 6.9525338E-001, 1.0132018E+005, 1.0230575E+005
 1.2900225E+003, 9.9126223E+002, 6.5259685E-001, 1.0131978E+005, 1.0230504E+005
 1.3050481E+003, 9.9078375E+002, 5.1839765E-001, 1.0131982E+005, 1.0230399E+005
 1.3200261E+003, 9.9102454E+002, 5.5793650E-001, 1.0132007E+005, 1.0230511E+005
 1.3350123E+003, 9.8832743E+002, 2.6075387E-001, 1.0131517E+005, 1.0230068E+005
 1.3500022E+003, 9.8708503E+002, 6.7867495E-001, 1.0131833E+005, 1.0230040E+005
 1.3650607E+003, 9.9066629E+002, 6.8240906E-001, 1.0132011E+005, 1.0230444E+005
 1.3800164E+003, 9.9367782E+002, 5.5420792E-001, 1.0131962E+005, 1.0230728E+005
 1.3950034E+003, 9.9163691E+002, 7.1400956E-001, 1.0132019E+005, 1.0230551E+005
 1.4100302E+003, 9.9085350E+002, 7.8781588E-001, 1.0132020E+005, 1.0230485E+005
 1.4250024E+003, 9.9291976E+002, 6.0021688E-001, 1.0131997E+005, 1.0230646E+005
 1.4400410E+003, 9.8996299E+002, 3.6934128E-001, 1.0132006E+005, 1.0230363E+005
 1.4550209E+003, 9.9187747E+002, 5.7223688E-001, 1.0131898E+005, 1.0230557E+005
 1.4700205E+003, 9.9023956E+002, 7.3575761E-001, 1.0132014E+005, 1.0230418E+005
 1.4850510E+003, 9.9029638E+002, 7.2809993E-001, 1.0132020E+005, 1.0230415E+005
 1.5000135E+003, 9.9244233E+002, 6.6048018E-001, 1.0132022E+005, 1.0230623E+005
 1.5150384E+003, 9.9185792E+002, 6.4176499E-001, 1.0132017E+005, 1.0230579E+005
 1.5300011E+003, 9.9281582E+002, 6.3647464E-001, 1.0132021E+005, 1.0230668E+005
 1.5450315E+003, 9.9248607E+002, 6.4698158E-001, 1.0132010E+005, 1.0230627E+005
 1.5600165E+003, 9.9159913E+002, 7.1984231E-001, 1.0132019E+005, 1.0230554E+005
 1.5750217E+003, 9.9149772E+002, 6.5675252E-001, 1.0132016E+005, 1.0230539E+005
 1.5900468E+003, 9.9040583E+002, 6.0315687E-001, 1.0132018E+005, 1.0230423E+005
 1.6050053E+003, 9.9251337E+002, 6.2587556E-001, 1.0132022E+005, 1.0230634E+005
 1.6200363E+003, 9.9167142E+002, 6.9380330E-001, 1.0132016E+005, 1.0230542E+005
 1.6350326E+003, 9.9210631E+002, 4.7917494E-001, 1.0131997E+005, 1.0230589E+005
 1.6500239E+003, 9.8904862E+002, 5.2741611E-001, 1.0131953E+005, 1.0230243E+005
 1.6650480E+003, 9.9030716E+002, 4.5620218E-001, 1.0131844E+005, 1.0230387E+005
 1.6800073E+003, 9.8926711E+002, 8.0414976E-001, 1.0132016E+005, 1.0230313E+005
 1.6950177E+003, 9.9257934E+002, 6.0634948E-001, 1.0132018E+005, 1.0230638E+005
 1.7100487E+003, 9.9056202E+002, 6.6317056E-001, 1.0132013E+005, 1.0230454E+005
 1.7250655E+003, 9.9205195E+002, 6.5565209E-001, 1.0132019E+005, 1.0230595E+005
 1.7400045E+003, 9.9027264E+002, 5.3345321E-001, 1.0132009E+005, 1.0230375E+005
 1.7550310E+003, 9.8668049E+002, 3.9288410E-001, 1.0131482E+005, 1.0229897E+005
 1.7700348E+003, 9.8970710E+002, 7.0861858E-001, 1.0132012E+005, 1.0230360E+005
 1.7850109E+003, 9.9277470E+002, 5.7256624E-001, 1.0131965E+005, 1.0230624E+005
 1.8000000E+003, 9.9103665E+002, 5.6394983E-001, 1.0131981E+005, 1.0230507E+005
