s,Pa,m/s,Pa,Pa
Time,"Pressure","Velocity","Pressure Ambient","Pressure Compartment"
 9.3000474E+002, 9.9221815E+002, 5.2328160E-001, 1.0131997E+005, 1.0230559E+005
 9.4502396E+002, 9.9073204E+002, 7.1850122E-001, 1.0132007E+005, 1.0230450E+005
 9.6001647E+002, 9.8784100E+002, 3.7285323E-001, 1.0131444E+005, 1.0229982E+005
 9.7500585E+002, 9.9022113E+002, 5.9598468E-001, 1.0131885E+005, 1.0230371E+005
 9.9004911E+002, 9.8955084E+002, 4.4996596E-001, 1.0131985E+005, 1.0230375E+005
 1.0050315E+003, 9.9068009E+002, 6.8796229E-001, 1.0132017E+005, 1.0230450E+005
 1.0200136E+003, 9.9137331E+002, 7.0446316E-001, 1.0132013E+005, 1.0230517E+005
 1.0350188E+003, 9.9171233E+002, 6.7762342E-001, 1.0132021E+005, 1.0230561E+005
 1.0500417E+003, 9.9095498E+002, 6.3147263E-001, 1.0131978E+005, 1.0230448E+005
 1.0650197E+003, 9.9187779E+002, 5.2759094E-001, 1.0131998E+005, 1.0230569E+005
 1.0800078E+003, 9.9102620E+002, 6.9323633E-001, 1.0132016E+005, 1.0230486E+005
 1.0950113E+003, 9.9166027E+002, 5.1113663E-001, 1.0131799E+005, 1.0230487E+005
 1.1100274E+003, 9.8734798E+002, 6.2073820E-001, 1.0132013E+005, 1.0230115E+005
 1.1250154E+003, 9.9172876E+002, 6.7151709E-001, 1.0132021E+005, 1.0230552E+005
 1.1400674E+003, 9.9116525E+002, 5.7113506E-001, 1.0131979E+005, 1.0230494E+005
 1.1550230E+003, 9.9182246E+002, 6.9665987E-001, 1.0132016E+005, 1.0230578E+005
 1.1700251E+003, 9.9130039E+002, 6.0151441E-001, 1.0132019E+005, 1.0230505E+005
 1.1850058E+003, 9.9140861E+002, 7.1836130E-001, 1.0132017E+005, 1.0230537E+005
 1.2000320E+003, 9.9121116E+002, 5.6081079E-001, 1.0131987E+005, 1.0230479E+005
 1.2150236E+003, 9.9107746E+002, 7.1012838E-001, 1.0132017E+005, 1.0230503E+005
 1.2300142E+003, 9.9249082E+002, 6.3842557E-001, 1.0132019E+005, 1.0230626E+005
 1.2450362E+003, 9.9053541E+002, 7.4806142E-001, 1.0132020E+005, 1.0230430E+005
 1.2600254E+003, 9.9014554E+002, 3.5992084E-001, 1.0131884E+005, 1.0230338E+005
 1.2750112E+003, 9.9153944E+002, 5.2568356E-001, 1.0131998E+005, 1.0230544E+005
 1.2900313E+003, 9.9114606E+002, 7.2310271E-001, 1.0132011E+005, 1.0230508E+005
 1.3050822E+003, 9.9242466E+002, 6.6921921E-001, 1.0131988E+005, 1.0230620E+005
 1.3200031E+003, 9.9118120E+002, 5.9692062E-001, 1.0132019E+005, 1.0230489E+005
 1.3350221E+003, 9.9034861E+002, 5.9922577E-001, 1.0131903E+005, 1.0230386E+005
 1.3500337E+003, 9.8976569E+002, 6.2246791E-001, 1.0132017E+005, 1.0230366E+005
 1.3650241E+003, 9.9131219E+002, 3.6864808E-001, 1.0131981E+005, 1.0230482E+005
 1.3800204E+003, 9.9025473E+002, 7.6454966E-001, 1.0132015E+005, 1.0230416E+005
 1.3950009E+003, 9.8714849E+002, 4.0048421E-001, 1.0131529E+005, 1.0229955E+005
 1.4100495E+003, 9.9077331E+002, 5.7524262E-001, 1.0132002E+005, 1.0230486E+005
 1.4250448E+003, 9.8993285E+002, 7.1411026E-001, 1.0132002E+005, 1.0230362E+005
 1.4400552E+003, 9.9159590E+002, 5.6831666E-001, 1.0131982E+005, 1.0230545E+005
 1.4550498E+003, 9.8979619E+002, 6.2352178E-001, 1.0132011E+005, 1.0230349E+005
 1.4700372E+003, 9.9039649E+002, 5.3435465E-001, 1.0131963E+005, 1.0230420E+005
 1.4850271E+003, 9.8905369E+002, 4.5781715E-001, 1.0131980E+005, 1.0230283E+005
 1.5000183E+003, 9.9021481E+002, 7.2426951E-001, 1.0132018E+005, 1.0230402E+005
 1.5150480E+003, 9.9197116E+002, 5.6038408E-001, 1.0131981E+005, 1.0230579E+005
 1.5300159E+003, 9.9149565E+002, 5.2170273E-001, 1.0131944E+005, 1.0230487E+005
 1.5450039E+003, 9.9171644E+002, 7.1228636E-001, 1.0131999E+005, 1.0230557E+005
 1.5600426E+003, 9.9149206E+002, 6.9097556E-001, 1.0132018E+005, 1.0230527E+005
 1.5750214E+003, 9.9087579E+002, 6.2025842E-001, 1.0132004E+005, 1.0230464E+005
 1.5900519E+003, 9.8999155E+002, 5.6115280E-001, 1.0132008E+005, 1.0230375E+005
 1.6050412E+003, 9.9183850E+002, 6.9264617E-001, 1.0132015E+005, 1.0230576E+005
 1.6200511E+003, 9.9209067E+002, 6.8075991E-001, 1.0132018E+005, 1.0230591E+005
 1.6350415E+003, 9.9038838E+002, 7.3062822E-001, 1.0132018E+005, 1.0230415E+005
 1.6500045E+003, 9.8915804E+002, 4.3189789E-001, 1.0131892E+005, 1.0230253E+005
 1.6650011E+003, 9.9185115E+002, 5.4890109E-001, 1.0131922E+005, 1.0230553E+005
 1.6800236E+003, 9.9373957E+002, 6.4081236E-001, 1.0131989E+005, 1.0230738E+005
 1.6950370E+003, 9.9068647E+002, 6.5213259E-001, 1.0131991E+005, 1.0230447E+005
 1.7100226E+003, 9.9079545E+002, 5.8110703E-001, 1.0131847E+005, 1.0230406E+005
 1.7250102E+003, 9.9060958E+002, 4.9385167E-001, 1.0132012E+005, 1.0230443E+005
 1.7400224E+003, 9.8818362E+002, 7.0414948E-001, 1.0131954E+005, 1.0230195E+005
 1.7550177E+003, 9.9150917E+002, 4.1991340E-001, 1.0131941E+005, 1.0230479E+005
 1.7700375E+003, 9.9016627E+002, 5.8442990E-001, 1.0132000E+005, 1.0230408E+005
 1.7850381E+003, 9.8940991E+002, 7.4041815E-001, 1.0132014E+005, 1.0230321E+005
 1.8000000E+003, 9.9265040E+002, 6.3422135E-001, 1.0132016E+005, 1.0230659E+005
