s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 0.0000000E+000, 0.0000000E+000,-7.6203773E-005, 1.1221345E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.6192552E-005, 0.0000000E+000, 0.0000000E+000,-1.1777624E+000
 3.0045639E+001, 1.5604924E+002,-5.5246022E+001,-8.2090905E+000,-2.8927695E+001,-3.7472299E-003, 4.3566720E-001, 0.0000000E+000, 5.6619383E+001, 6.4098348E+001, 3.4060304E-003, 3.4060304E-003, 1.0012128E+003
 6.0045475E+001, 1.5982767E+002,-8.7694437E+001,-1.8087275E+000,-5.6778856E+001,-8.5849797E-003, 5.7347447E-003, 0.0000000E+000, 1.7941043E+000, 1.3542799E+001, 3.4783413E-003, 3.4783413E-003, 9.8731736E+002
 9.0058556E+001, 1.5351832E+002,-8.5558807E+001,-2.9665778E+000,-5.4668173E+001,-7.9829444E-003, 1.3578891E-002, 0.0000000E+000,-3.6863455E+000, 1.0330361E+001, 3.4783413E-003, 3.4783413E-003, 9.9930896E+002
 1.2000270E+002, 1.3248018E+002,-6.3341764E+001,-1.7607457E+001,-4.3072227E+001,-6.3871294E-003,-5.4252401E-002, 0.0000000E+000,-3.0637763E+000, 8.3980903E+000, 3.4783413E-003, 3.4783413E-003, 9.9798508E+002
 1.5001154E+002, 1.5761628E+002,-6.7986421E+001,-3.3656604E+001,-4.2512116E+001,-4.7555782E-004, 2.6051376E-002, 0.0000000E+000, 2.3050208E+000, 1.3486714E+001, 3.4783413E-003, 3.4783413E-003, 9.5858221E+002
 1.8000554E+002, 1.5689124E+002,-6.7120682E+001,-3.2592866E+001,-4.1464830E+001,-3.3535270E-004, 6.3829756E-002, 0.0000000E+000, 4.1013648E+000, 1.5776359E+001, 3.4783413E-003, 3.4783413E-003, 9.9821583E+002
 2.1000732E+002, 1.4049308E+002,-6.8520447E+001,-1.8728286E+001,-4.4689825E+001, 3.3627190E-003, 6.4930775E-002, 0.0000000E+000,-3.4651909E+000, 8.6228148E+000, 3.4783413E-003, 3.4783413E-003, 1.0011559E+003
 2.4002873E+002, 1.3867705E+002,-6.7011192E+001,-2.0727949E+001,-4.3728678E+001,-4.8782491E-003,-7.1125175E-002, 0.0000000E+000,-3.2799076E+000, 7.1332253E+000, 3.4783413E-003, 3.4783413E-003, 1.0111153E+003
 2.7002914E+002, 1.5259592E+002,-6.5844289E+001,-3.6419180E+001,-4.1021233E+001,-4.1620756E-003, 3.4744821E-002, 0.0000000E+000,-1.0424326E-001, 9.3418044E+000, 3.4783413E-003, 3.4783413E-003, 1.0098946E+003
 3.0003748E+002, 1.5127683E+002,-6.7033402E+001,-3.2879813E+001,-4.1786926E+001,-1.6631730E-003, 5.2181696E-002, 0.0000000E+000,-5.5404752E-001, 9.6272043E+000, 3.4783413E-003, 3.4783413E-003, 9.9290046E+002
 3.3003061E+002, 1.4630462E+002,-6.3050732E+001,-3.5092328E+001,-4.0339654E+001,-7.3589105E-003,-6.1266833E-002, 0.0000000E+000,-1.2440755E+000, 7.7532808E+000, 3.4783413E-003, 3.4783413E-003, 9.9351846E+002
 3.6002676E+002, 1.6249576E+002,-6.4379588E+001,-5.0671154E+001,-3.9034402E+001,-5.2878022E-003,-2.8957125E-003, 0.0000000E+000,-1.1728370E-001, 8.4024281E+000, 3.4783413E-003, 3.4783413E-003, 9.8694895E+002
 3.9004544E+002, 1.7014840E+002,-6.8959883E+001,-5.0320240E+001,-4.0855634E+001,-4.9778716E-003,-7.8363539E-003, 0.0000000E+000, 8.6121940E-001, 9.9998288E+000, 3.4783413E-003, 3.4783413E-003, 9.8297242E+002
 4.2002911E+002, 1.5738352E+002,-6.3444543E+001,-4.3727609E+001,-3.9068505E+001,-4.6371653E-003,-2.9582201E-002, 0.0000000E+000, 2.0029536E+000, 1.1108643E+001, 3.4783413E-003, 3.4783413E-003, 9.8945494E+002
 4.5000995E+002, 1.6349104E+002,-6.7132364E+001,-4.6437093E+001,-4.1120900E+001,-7.0922567E-003,-1.9890985E-002, 0.0000000E+000,-1.7206733E-002, 8.7737004E+000, 3.4783413E-003, 3.4783413E-003, 9.8973935E+002
 4.8001071E+002, 1.5757621E+002,-6.4186921E+001,-4.5730797E+001,-3.9514662E+001,-7.0606117E-003,-1.0201185E-002, 0.0000000E+000,-1.2481542E+000, 8.1265683E+000, 3.4783413E-003, 3.4783413E-003, 1.0046789E+003
 5.1004483E+002, 1.5334445E+002,-6.2524273E+001,-4.5322372E+001,-3.8791371E+001,-6.0865147E-003, 6.1101614E-003, 0.0000000E+000,-1.9800452E+000, 6.7064568E+000, 3.4783413E-003, 3.4783413E-003, 9.9832514E+002
 5.4001636E+002, 1.6977966E+002,-6.9471847E+001,-4.4707690E+001,-4.1208776E+001, 2.7057573E-004, 7.1874684E-002, 0.0000000E+000, 5.2018489E+000, 1.4463491E+001, 3.4783413E-003, 3.4783413E-003, 9.9653826E+002
 5.7005096E+002, 1.5951274E+002,-6.9061331E+001,-3.9334349E+001,-4.2737342E+001,-5.0155985E-003,-1.4098129E-001, 0.0000000E+000,-1.4092036E+000, 8.2337212E+000, 3.4783413E-003, 3.4783413E-003, 9.9973842E+002
 6.0000708E+002, 1.5596711E+002,-6.6158850E+001,-4.1082819E+001,-4.1075035E+001,-3.2680477E-003, 1.0766034E-002, 0.0000000E+000,-1.6277485E+000, 7.6579000E+000, 3.4783413E-003, 3.4783413E-003, 9.9830016E+002
 6.3002936E+002, 1.6122921E+002,-7.0909414E+001,-3.3157042E+001,-4.3234518E+001,-9.0701317E-003,-1.0168756E-002, 0.0000000E+000, 4.5273875E-001, 1.3909000E+001, 3.4783413E-003, 3.4783413E-003, 9.8916223E+002
 6.6001880E+002, 1.7012997E+002,-6.8175517E+001,-5.3683530E+001,-4.0478021E+001,-7.4921423E-003,-4.0723030E-002, 0.0000000E+000,-1.0851149E+000, 7.7446881E+000, 3.4783413E-003, 3.4783413E-003, 1.0013580E+003
 6.9003180E+002, 1.5661997E+002,-6.4390440E+001,-4.2450919E+001,-3.9631224E+001,-3.8487499E-003,-5.0593142E-003, 0.0000000E+000, 9.9196142E-001, 1.0138475E+001, 3.4783413E-003, 3.4783413E-003, 1.0036783E+003
 7.2001270E+002, 1.6228489E+002,-6.9069399E+001,-3.8640772E+001,-4.2104510E+001,-7.3874530E-003,-2.6752128E-003, 0.0000000E+000,-3.6934790E-001, 1.2460145E+001, 3.4783413E-003, 3.4783413E-003, 1.0042578E+003
 7.5001337E+002, 1.5390503E+002,-6.2386087E+001,-4.6124229E+001,-3.8972828E+001,-6.2419155E-003, 3.0043864E-002, 0.0000000E+000,-2.2652726E+000, 6.4456921E+000, 3.4783413E-003, 3.4783413E-003, 9.8877729E+002
 7.8002045E+002, 1.6997730E+002,-6.8222389E+001,-4.9037220E+001,-4.0102651E+001,-2.4251372E-003,-3.2796288E-002, 0.0000000E+000, 2.6194458E+000, 1.2579821E+001, 3.4783413E-003, 3.4783413E-003, 9.9736444E+002
 8.1002094E+002, 1.5534307E+002,-6.3337962E+001,-4.5914735E+001,-3.9661805E+001,-6.4930968E-003, 3.4617258E-003, 0.0000000E+000,-2.5342116E+000, 6.4255335E+000, 3.4783413E-003, 3.4783413E-003, 9.9465248E+002
 8.4003503E+002, 1.5645214E+002,-6.5789078E+001,-3.9578207E+001,-4.0736118E+001,-2.6904695E-003, 4.1450491E-002, 0.0000000E+000, 8.8378097E-001, 1.0387492E+001, 3.4783413E-003, 3.4783413E-003, 9.9564499E+002
 8.7000879E+002, 1.7285711E+002,-7.0731859E+001,-4.8098811E+001,-4.1927206E+001,-1.8996279E-003, 5.1670154E-003, 0.0000000E+000, 2.6116573E+000, 1.2102498E+001, 3.4783413E-003, 3.4783413E-003, 9.9502266E+002
 9.0003320E+002, 1.5741102E+002,-6.9006357E+001,-3.5929994E+001,-4.2568618E+001,-4.6734235E-003, 2.0883089E-002, 0.0000000E+000,-5.5797421E-001, 9.9222597E+000, 3.4783413E-003, 3.4783413E-003, 1.0076325E+003
