s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m,C,m,C,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Layer_H_1","Layer_T_1","Layer_H_2","Layer_T_1","vent1","vent2","vent3","vent4","vent1 p","vent2 p","vent3 p","vent4 p","vent1 m","vent2 m","vent3 m","vent4 m"
 2.9658759E+000, 2.0000024E+001, 2.0000024E+001, 2.0000042E+001, 2.0000042E+001, 2.0000042E+001, 2.0000000E+001, 2.0000000E+001, 2.0000166E+001, 2.0000166E+001, 2.0000166E+001, 2.0000344E+001, 2.0000344E+001, 2.0000160E+001, 2.0000160E+001, 2.0000160E+001, 2.0000003E+001, 2.0000003E+001, 1.9999879E+001, 2.0000096E+001, 2.0000096E+001, 2.0000381E+001, 2.0000381E+001, 2.0000381E+001, 2.0000418E+001, 2.0000418E+001, 2.0000126E+001, 2.0000126E+001, 2.0000126E+001, 1.9999918E+001, 1.9999918E+001, 1.9999947E+001, 1.9999947E+001, 1.9999947E+001, 2.0000068E+001, 2.0000068E+001, 1.9999888E+001, 6.6062089E+000, 1.9999903E+001, 5.3346278E+000, 1.9999797E+001, 5.9928831E-004,-4.5419270E-004,-1.0671917E-004, 3.3410078E-004, 4.2597184E-003, 3.5404545E-003, 4.5770279E-003, 4.0101568E-003, 3.6604301E-003, 3.9946472E-003, 4.6837471E-003, 3.6760560E-003
 3.1219747E+000, 2.0000024E+001, 2.0000024E+001, 2.0000043E+001, 2.0000043E+001, 2.0000043E+001, 1.9999999E+001, 1.9999999E+001, 2.0000172E+001, 2.0000172E+001, 2.0000172E+001, 2.0000359E+001, 2.0000359E+001, 2.0000167E+001, 2.0000167E+001, 2.0000167E+001, 2.0000003E+001, 2.0000003E+001, 1.9999875E+001, 2.0000100E+001, 2.0000100E+001, 2.0000398E+001, 2.0000398E+001, 2.0000398E+001, 2.0000436E+001, 2.0000436E+001, 2.0000130E+001, 2.0000130E+001, 2.0000130E+001, 1.9999915E+001, 1.9999915E+001, 1.9999946E+001, 1.9999946E+001, 1.9999946E+001, 2.0000071E+001, 2.0000071E+001, 1.9999885E+001, 6.5856365E+000, 1.9999899E+001, 5.3281192E+000, 1.9999789E+001, 5.8656559E-004,-4.6935395E-004,-1.2184588E-004, 3.2743431E-004, 4.2407302E-003, 3.5224781E-003, 4.5539474E-003, 3.9945138E-003, 3.6541646E-003, 3.9918321E-003, 4.6757932E-003, 3.6670795E-003
 3.2780734E+000, 2.0000025E+001, 2.0000025E+001, 2.0000044E+001, 2.0000044E+001, 2.0000044E+001, 1.9999999E+001, 1.9999999E+001, 2.0000179E+001, 2.0000179E+001, 2.0000179E+001, 2.0000373E+001, 2.0000373E+001, 2.0000173E+001, 2.0000173E+001, 2.0000173E+001, 2.0000003E+001, 2.0000003E+001, 1.9999872E+001, 2.0000104E+001, 2.0000104E+001, 2.0000416E+001, 2.0000416E+001, 2.0000416E+001, 2.0000453E+001, 2.0000453E+001, 2.0000135E+001, 2.0000135E+001, 2.0000135E+001, 1.9999912E+001, 1.9999912E+001, 1.9999944E+001, 1.9999944E+001, 1.9999944E+001, 2.0000074E+001, 2.0000074E+001, 1.9999882E+001, 6.5646280E+000, 1.9999895E+001, 5.3209338E+000, 1.9999782E+001, 5.7367764E-004,-4.8243089E-004,-1.3768151E-004, 3.2231432E-004, 4.2216767E-003, 3.5054079E-003, 4.5305860E-003, 3.9798238E-003, 3.6479990E-003, 3.9878388E-003, 4.6682675E-003, 3.6575094E-003
 3.4341721E+000, 2.0000026E+001, 2.0000026E+001, 2.0000045E+001, 2.0000045E+001, 2.0000045E+001, 1.9999999E+001, 1.9999999E+001, 2.0000185E+001, 2.0000185E+001, 2.0000185E+001, 2.0000387E+001, 2.0000387E+001, 2.0000179E+001, 2.0000179E+001, 2.0000179E+001, 2.0000003E+001, 2.0000003E+001, 1.9999868E+001, 2.0000107E+001, 2.0000107E+001, 2.0000433E+001, 2.0000433E+001, 2.0000433E+001, 2.0000469E+001, 2.0000469E+001, 2.0000140E+001, 2.0000140E+001, 2.0000140E+001, 1.9999910E+001, 1.9999910E+001, 1.9999942E+001, 1.9999942E+001, 1.9999942E+001, 2.0000077E+001, 2.0000077E+001, 1.9999879E+001, 6.5433052E+000, 1.9999891E+001, 5.3144172E+000, 1.9999775E+001, 5.6161815E-004,-4.9262818E-004,-1.5256053E-004, 3.1918188E-004, 4.2030371E-003, 3.4895786E-003, 4.5077411E-003, 3.9663424E-003, 3.6414190E-003, 3.9822068E-003, 4.6603016E-003, 3.6471605E-003
 3.5902709E+000, 2.0000026E+001, 2.0000026E+001, 2.0000046E+001, 2.0000046E+001, 2.0000046E+001, 1.9999998E+001, 1.9999998E+001, 2.0000191E+001, 2.0000191E+001, 2.0000191E+001, 2.0000401E+001, 2.0000401E+001, 2.0000186E+001, 2.0000186E+001, 2.0000186E+001, 2.0000003E+001, 2.0000003E+001, 1.9999864E+001, 2.0000111E+001, 2.0000111E+001, 2.0000450E+001, 2.0000450E+001, 2.0000450E+001, 2.0000486E+001, 2.0000486E+001, 2.0000145E+001, 2.0000145E+001, 2.0000145E+001, 1.9999907E+001, 1.9999907E+001, 1.9999941E+001, 1.9999941E+001, 1.9999941E+001, 2.0000080E+001, 2.0000080E+001, 1.9999877E+001, 6.5216854E+000, 1.9999888E+001, 5.3083406E+000, 1.9999768E+001, 5.5124875E-004,-4.9929989E-004,-1.6500138E-004, 3.1836304E-004, 4.1852265E-003, 3.4752634E-003, 4.4861212E-003, 3.9542604E-003, 3.6339778E-003, 3.9745633E-003, 4.6511226E-003, 3.6358974E-003
 3.7463696E+000, 2.0000027E+001, 2.0000027E+001, 2.0000047E+001, 2.0000047E+001, 2.0000047E+001, 1.9999998E+001, 1.9999998E+001, 2.0000197E+001, 2.0000197E+001, 2.0000197E+001, 2.0000414E+001, 2.0000414E+001, 2.0000191E+001, 2.0000191E+001, 2.0000191E+001, 2.0000002E+001, 2.0000002E+001, 1.9999861E+001, 2.0000114E+001, 2.0000114E+001, 2.0000467E+001, 2.0000467E+001, 2.0000467E+001, 2.0000502E+001, 2.0000502E+001, 2.0000149E+001, 2.0000149E+001, 2.0000149E+001, 1.9999905E+001, 1.9999905E+001, 1.9999939E+001, 1.9999939E+001, 1.9999939E+001, 2.0000082E+001, 2.0000082E+001, 1.9999874E+001, 6.4994587E+000, 1.9999884E+001, 5.3023199E+000, 1.9999761E+001, 5.4318104E-004,-5.0198370E-004,-1.7402092E-004, 3.2000054E-004, 4.1685395E-003, 3.4626598E-003, 4.4661967E-003, 3.9436626E-003, 3.6253584E-003, 3.9646435E-003, 4.6402177E-003, 3.6236621E-003
 3.9024683E+000, 2.0000027E+001, 2.0000027E+001, 2.0000048E+001, 2.0000048E+001, 2.0000048E+001, 1.9999997E+001, 1.9999997E+001, 2.0000203E+001, 2.0000203E+001, 2.0000203E+001, 2.0000427E+001, 2.0000427E+001, 2.0000197E+001, 2.0000197E+001, 2.0000197E+001, 2.0000002E+001, 2.0000002E+001, 1.9999858E+001, 2.0000117E+001, 2.0000117E+001, 2.0000484E+001, 2.0000484E+001, 2.0000484E+001, 2.0000518E+001, 2.0000518E+001, 2.0000154E+001, 2.0000154E+001, 2.0000154E+001, 1.9999902E+001, 1.9999902E+001, 1.9999938E+001, 1.9999938E+001, 1.9999938E+001, 2.0000085E+001, 2.0000085E+001, 1.9999871E+001, 6.4772667E+000, 1.9999881E+001, 5.2967967E+000, 1.9999755E+001, 5.3771904E-004,-5.0044465E-004,-1.7921968E-004, 3.2401856E-004, 4.1531226E-003, 3.4520232E-003, 4.4481595E-003, 3.9345059E-003, 3.6154036E-003, 3.9524678E-003, 4.6273792E-003, 3.6104873E-003
 4.0585671E+000, 2.0000028E+001, 2.0000028E+001, 2.0000048E+001, 2.0000048E+001, 2.0000048E+001, 1.9999997E+001, 1.9999997E+001, 2.0000208E+001, 2.0000208E+001, 2.0000208E+001, 2.0000441E+001, 2.0000441E+001, 2.0000203E+001, 2.0000203E+001, 2.0000203E+001, 2.0000002E+001, 2.0000002E+001, 1.9999855E+001, 2.0000120E+001, 2.0000120E+001, 2.0000501E+001, 2.0000501E+001, 2.0000501E+001, 2.0000533E+001, 2.0000533E+001, 2.0000158E+001, 2.0000158E+001, 2.0000158E+001, 1.9999900E+001, 1.9999900E+001, 1.9999937E+001, 1.9999937E+001, 1.9999937E+001, 2.0000088E+001, 2.0000088E+001, 1.9999869E+001, 6.4545370E+000, 1.9999877E+001, 5.2916486E+000, 1.9999748E+001, 5.3489215E-004,-4.9472129E-004,-1.8070837E-004, 3.3015963E-004, 4.1389906E-003, 3.4443474E-003, 4.4319577E-003, 3.9266411E-003, 3.6040985E-003, 3.9390686E-003, 4.6126660E-003, 3.5964815E-003
 4.2146658E+000, 2.0000028E+001, 2.0000028E+001, 2.0000049E+001, 2.0000049E+001, 2.0000049E+001, 1.9999997E+001, 1.9999997E+001, 2.0000214E+001, 2.0000214E+001, 2.0000214E+001, 2.0000454E+001, 2.0000454E+001, 2.0000208E+001, 2.0000208E+001, 2.0000208E+001, 2.0000001E+001, 2.0000001E+001, 1.9999852E+001, 2.0000123E+001, 2.0000123E+001, 2.0000518E+001, 2.0000518E+001, 2.0000518E+001, 2.0000548E+001, 2.0000548E+001, 2.0000162E+001, 2.0000162E+001, 2.0000162E+001, 1.9999898E+001, 1.9999898E+001, 1.9999935E+001, 1.9999935E+001, 1.9999935E+001, 2.0000091E+001, 2.0000091E+001, 1.9999867E+001, 6.4317627E+000, 1.9999874E+001, 5.2864730E+000, 1.9999742E+001, 5.3450418E-004,-4.8513606E-004,-1.7890148E-004, 3.3803195E-004, 4.1260497E-003, 3.4384709E-003, 4.4173938E-003, 3.9198415E-003, 3.5915455E-003, 3.9236070E-003, 4.5962953E-003, 3.5818095E-003
 4.3707645E+000, 2.0000029E+001, 2.0000029E+001, 2.0000050E+001, 2.0000050E+001, 2.0000050E+001, 1.9999996E+001, 1.9999996E+001, 2.0000220E+001, 2.0000220E+001, 2.0000220E+001, 2.0000466E+001, 2.0000466E+001, 2.0000214E+001, 2.0000214E+001, 2.0000214E+001, 2.0000001E+001, 2.0000001E+001, 1.9999849E+001, 2.0000126E+001, 2.0000126E+001, 2.0000534E+001, 2.0000534E+001, 2.0000534E+001, 2.0000563E+001, 2.0000563E+001, 2.0000166E+001, 2.0000166E+001, 2.0000166E+001, 1.9999896E+001, 1.9999896E+001, 1.9999934E+001, 1.9999934E+001, 1.9999934E+001, 2.0000094E+001, 2.0000094E+001, 1.9999865E+001, 6.4084396E+000, 1.9999870E+001, 5.2816969E+000, 1.9999736E+001, 5.3624075E-004,-4.7224782E-004,-1.7431955E-004, 3.4716062E-004, 4.1141488E-003, 3.4341306E-003, 4.4042193E-003, 3.9138321E-003, 3.5779080E-003, 3.9063785E-003, 4.5785389E-003, 3.5666714E-003
 4.5268633E+000, 2.0000029E+001, 2.0000029E+001, 2.0000050E+001, 2.0000050E+001, 2.0000050E+001, 1.9999996E+001, 1.9999996E+001, 2.0000225E+001, 2.0000225E+001, 2.0000225E+001, 2.0000479E+001, 2.0000479E+001, 2.0000219E+001, 2.0000219E+001, 2.0000219E+001, 2.0000001E+001, 2.0000001E+001, 1.9999846E+001, 2.0000129E+001, 2.0000129E+001, 2.0000551E+001, 2.0000551E+001, 2.0000551E+001, 2.0000577E+001, 2.0000577E+001, 2.0000171E+001, 2.0000171E+001, 2.0000171E+001, 1.9999893E+001, 1.9999893E+001, 1.9999933E+001, 1.9999933E+001, 1.9999933E+001, 2.0000096E+001, 2.0000096E+001, 1.9999863E+001, 6.3850913E+000, 1.9999867E+001, 5.2768256E+000, 1.9999730E+001, 5.3973723E-004,-4.5677987E-004,-1.6741621E-004, 3.5704791E-004, 4.1031124E-003, 3.4309841E-003, 4.3922163E-003, 3.9083242E-003, 3.5633751E-003, 3.8877640E-003, 4.5596325E-003, 3.5512763E-003
 4.6829620E+000, 2.0000030E+001, 2.0000030E+001, 2.0000051E+001, 2.0000051E+001, 2.0000051E+001, 1.9999995E+001, 1.9999995E+001, 2.0000230E+001, 2.0000230E+001, 2.0000230E+001, 2.0000492E+001, 2.0000492E+001, 2.0000224E+001, 2.0000224E+001, 2.0000224E+001, 2.0000000E+001, 2.0000000E+001, 1.9999843E+001, 2.0000132E+001, 2.0000132E+001, 2.0000568E+001, 2.0000568E+001, 2.0000568E+001, 2.0000591E+001, 2.0000591E+001, 2.0000175E+001, 2.0000175E+001, 2.0000175E+001, 1.9999891E+001, 1.9999891E+001, 1.9999931E+001, 1.9999931E+001, 1.9999931E+001, 2.0000099E+001, 2.0000099E+001, 1.9999861E+001, 6.3615259E+000, 1.9999864E+001, 5.2724760E+000, 1.9999724E+001, 5.4465876E-004,-4.3949332E-004,-1.5849627E-004, 3.6723225E-004, 4.0927790E-003, 3.4286703E-003, 4.3812373E-003, 3.9030496E-003, 3.5481203E-003, 3.8681637E-003, 4.5397336E-003, 3.5358174E-003
 4.8390607E+000, 2.0000030E+001, 2.0000030E+001, 2.0000051E+001, 2.0000051E+001, 2.0000051E+001, 1.9999995E+001, 1.9999995E+001, 2.0000236E+001, 2.0000236E+001, 2.0000236E+001, 2.0000504E+001, 2.0000504E+001, 2.0000229E+001, 2.0000229E+001, 2.0000229E+001, 2.0000000E+001, 2.0000000E+001, 1.9999841E+001, 2.0000135E+001, 2.0000135E+001, 2.0000584E+001, 2.0000584E+001, 2.0000584E+001, 2.0000605E+001, 2.0000605E+001, 2.0000179E+001, 2.0000179E+001, 2.0000179E+001, 1.9999890E+001, 1.9999890E+001, 1.9999930E+001, 1.9999930E+001, 1.9999930E+001, 2.0000102E+001, 2.0000102E+001, 1.9999859E+001, 6.3377606E+000, 1.9999861E+001, 5.2682332E+000, 1.9999719E+001, 5.5074287E-004,-4.2106335E-004,-1.4770026E-004, 3.7733888E-004, 4.0830219E-003, 3.4268690E-003, 4.3712125E-003, 3.8977895E-003, 3.5322790E-003, 3.8479323E-003, 4.5189128E-003, 3.5204506E-003
 4.9951595E+000, 2.0000030E+001, 2.0000030E+001, 2.0000051E+001, 2.0000051E+001, 2.0000051E+001, 1.9999994E+001, 1.9999994E+001, 2.0000241E+001, 2.0000241E+001, 2.0000241E+001, 2.0000516E+001, 2.0000516E+001, 2.0000234E+001, 2.0000234E+001, 2.0000234E+001, 1.9999999E+001, 1.9999999E+001, 1.9999838E+001, 2.0000138E+001, 2.0000138E+001, 2.0000600E+001, 2.0000600E+001, 2.0000600E+001, 2.0000618E+001, 2.0000618E+001, 2.0000182E+001, 2.0000182E+001, 2.0000182E+001, 1.9999888E+001, 1.9999888E+001, 1.9999929E+001, 1.9999929E+001, 1.9999929E+001, 2.0000105E+001, 2.0000105E+001, 1.9999857E+001, 6.3139833E+000, 1.9999858E+001, 5.2638852E+000, 1.9999713E+001, 5.5780414E-004,-4.0202055E-004,-1.3504360E-004, 3.8708457E-004, 4.0737513E-003, 3.4253284E-003, 4.3621314E-003, 3.8923767E-003, 3.5159472E-003, 3.8273490E-003, 4.4971750E-003, 3.5052921E-003
 5.1512582E+000, 2.0000031E+001, 2.0000031E+001, 2.0000052E+001, 2.0000052E+001, 2.0000052E+001, 1.9999993E+001, 1.9999993E+001, 2.0000246E+001, 2.0000246E+001, 2.0000246E+001, 2.0000528E+001, 2.0000528E+001, 2.0000239E+001, 2.0000239E+001, 2.0000239E+001, 1.9999999E+001, 1.9999999E+001, 1.9999836E+001, 2.0000140E+001, 2.0000140E+001, 2.0000616E+001, 2.0000616E+001, 2.0000616E+001, 2.0000632E+001, 2.0000632E+001, 2.0000186E+001, 2.0000186E+001, 2.0000186E+001, 1.9999886E+001, 1.9999886E+001, 1.9999928E+001, 1.9999928E+001, 1.9999928E+001, 2.0000107E+001, 2.0000107E+001, 1.9999855E+001, 6.2897711E+000, 1.9999855E+001, 5.2601528E+000, 1.9999708E+001, 5.6572607E-004,-3.8270830E-004,-1.2048317E-004, 3.9627374E-004, 4.0649109E-003, 3.4238866E-003, 4.3540113E-003, 3.8866934E-003, 3.4991848E-003, 3.8065949E-003, 4.4744945E-003, 3.4904196E-003
 5.3073569E+000, 2.0000031E+001, 2.0000031E+001, 2.0000052E+001, 2.0000052E+001, 2.0000052E+001, 1.9999993E+001, 1.9999993E+001, 2.0000251E+001, 2.0000251E+001, 2.0000251E+001, 2.0000540E+001, 2.0000540E+001, 2.0000243E+001, 2.0000243E+001, 2.0000243E+001, 1.9999998E+001, 1.9999998E+001, 1.9999834E+001, 2.0000143E+001, 2.0000143E+001, 2.0000632E+001, 2.0000632E+001, 2.0000632E+001, 2.0000645E+001, 2.0000645E+001, 2.0000190E+001, 2.0000190E+001, 2.0000190E+001, 1.9999884E+001, 1.9999884E+001, 1.9999927E+001, 1.9999927E+001, 1.9999927E+001, 2.0000110E+001, 2.0000110E+001, 1.9999854E+001, 6.2655442E+000, 1.9999852E+001, 5.2559554E+000, 1.9999703E+001, 5.7443829E-004,-3.6328788E-004,-1.0399896E-004, 4.0476930E-004, 4.0564669E-003, 3.4224687E-003, 4.3468586E-003, 3.8806538E-003, 3.4820286E-003, 3.7857566E-003, 4.4508576E-003, 3.4758846E-003
 5.4634557E+000, 2.0000031E+001, 2.0000031E+001, 2.0000052E+001, 2.0000052E+001, 2.0000052E+001, 1.9999992E+001, 1.9999992E+001, 2.0000256E+001, 2.0000256E+001, 2.0000256E+001, 2.0000552E+001, 2.0000552E+001, 2.0000248E+001, 2.0000248E+001, 2.0000248E+001, 1.9999998E+001, 1.9999998E+001, 1.9999832E+001, 2.0000146E+001, 2.0000146E+001, 2.0000648E+001, 2.0000648E+001, 2.0000648E+001, 2.0000657E+001, 2.0000657E+001, 2.0000194E+001, 2.0000194E+001, 2.0000194E+001, 1.9999883E+001, 1.9999883E+001, 1.9999926E+001, 1.9999926E+001, 1.9999926E+001, 2.0000112E+001, 2.0000112E+001, 1.9999852E+001, 6.2411620E+000, 1.9999849E+001, 5.2528509E+000, 1.9999698E+001, 5.8389107E-004,-3.4379813E-004,-8.5631602E-005, 4.1249258E-004, 4.0483959E-003, 3.4210584E-003, 4.3406510E-003, 3.8742059E-003, 3.4645048E-003, 3.7648565E-003, 4.4262826E-003, 3.4617133E-003
 5.6195544E+000, 2.0000031E+001, 2.0000031E+001, 2.0000052E+001, 2.0000052E+001, 2.0000052E+001, 1.9999992E+001, 1.9999992E+001, 2.0000261E+001, 2.0000261E+001, 2.0000261E+001, 2.0000563E+001, 2.0000563E+001, 2.0000252E+001, 2.0000252E+001, 2.0000252E+001, 1.9999997E+001, 1.9999997E+001, 1.9999830E+001, 2.0000148E+001, 2.0000148E+001, 2.0000664E+001, 2.0000664E+001, 2.0000664E+001, 2.0000670E+001, 2.0000670E+001, 2.0000197E+001, 2.0000197E+001, 2.0000197E+001, 1.9999881E+001, 1.9999881E+001, 1.9999925E+001, 1.9999925E+001, 1.9999925E+001, 2.0000115E+001, 2.0000115E+001, 1.9999850E+001, 6.2165941E+000, 1.9999846E+001, 5.2492924E+000, 1.9999694E+001, 5.9399686E-004,-3.2423257E-004,-6.5536653E-005, 4.1937167E-004, 4.0406555E-003, 3.4196613E-003, 4.3353110E-003, 3.8673006E-003, 3.4466587E-003, 3.7438939E-003, 4.4008477E-003, 3.4479289E-003
 5.7756531E+000, 2.0000031E+001, 2.0000031E+001, 2.0000052E+001, 2.0000052E+001, 2.0000052E+001, 1.9999991E+001, 1.9999991E+001, 2.0000266E+001, 2.0000266E+001, 2.0000266E+001, 2.0000575E+001, 2.0000575E+001, 2.0000256E+001, 2.0000256E+001, 2.0000256E+001, 1.9999997E+001, 1.9999997E+001, 1.9999828E+001, 2.0000151E+001, 2.0000151E+001, 2.0000680E+001, 2.0000680E+001, 2.0000680E+001, 2.0000682E+001, 2.0000682E+001, 2.0000201E+001, 2.0000201E+001, 2.0000201E+001, 1.9999879E+001, 1.9999879E+001, 1.9999924E+001, 1.9999924E+001, 1.9999924E+001, 2.0000118E+001, 2.0000118E+001, 1.9999849E+001, 6.1917954E+000, 1.9999843E+001, 5.2462246E+000, 1.9999689E+001, 6.0461890E-004,-3.0460263E-004,-4.3983676E-005, 4.2534334E-004, 4.0331799E-003, 3.4182748E-003, 4.3307070E-003, 3.8598947E-003, 3.4285610E-003, 3.7228775E-003, 4.3746906E-003, 3.4345513E-003
 5.9317519E+000, 2.0000032E+001, 2.0000032E+001, 2.0000053E+001, 2.0000053E+001, 2.0000053E+001, 1.9999990E+001, 1.9999990E+001, 2.0000271E+001, 2.0000271E+001, 2.0000271E+001, 2.0000586E+001, 2.0000586E+001, 2.0000260E+001, 2.0000260E+001, 2.0000260E+001, 1.9999996E+001, 1.9999996E+001, 1.9999826E+001, 2.0000153E+001, 2.0000153E+001, 2.0000695E+001, 2.0000695E+001, 2.0000695E+001, 2.0000694E+001, 2.0000694E+001, 2.0000204E+001, 2.0000204E+001, 2.0000204E+001, 1.9999878E+001, 1.9999878E+001, 1.9999922E+001, 1.9999922E+001, 1.9999922E+001, 2.0000120E+001, 2.0000120E+001, 1.9999848E+001, 6.1669511E+000, 1.9999840E+001, 5.2431634E+000, 1.9999685E+001, 6.1557289E-004,-2.8500062E-004,-2.1376784E-005, 4.3033900E-004, 4.0258807E-003, 3.4168578E-003, 4.3266431E-003, 3.8519428E-003, 3.4103078E-003, 3.7018585E-003, 4.3480199E-003, 3.4216038E-003
 6.0878506E+000, 2.0000032E+001, 2.0000032E+001, 2.0000053E+001, 2.0000053E+001, 2.0000053E+001, 1.9999990E+001, 1.9999990E+001, 2.0000276E+001, 2.0000276E+001, 2.0000276E+001, 2.0000598E+001, 2.0000598E+001, 2.0000264E+001, 2.0000264E+001, 2.0000264E+001, 1.9999995E+001, 1.9999995E+001, 1.9999824E+001, 2.0000155E+001, 2.0000155E+001, 2.0000711E+001, 2.0000711E+001, 2.0000711E+001, 2.0000705E+001, 2.0000705E+001, 2.0000208E+001, 2.0000208E+001, 2.0000208E+001, 1.9999876E+001, 1.9999876E+001, 1.9999922E+001, 1.9999922E+001, 1.9999922E+001, 2.0000123E+001, 2.0000123E+001, 1.9999846E+001, 6.1421199E+000, 1.9999837E+001, 5.2404229E+000, 1.9999680E+001, 6.2663183E-004,-2.6561691E-004, 1.7791298E-006, 4.3430685E-004, 4.0186492E-003, 3.4153228E-003, 4.3228756E-003, 3.8434114E-003, 3.3920174E-003, 3.6809397E-003, 4.3210965E-003, 3.4091046E-003
 6.2439493E+000, 2.0000032E+001, 2.0000032E+001, 2.0000053E+001, 2.0000053E+001, 2.0000053E+001, 1.9999989E+001, 1.9999989E+001, 2.0000281E+001, 2.0000281E+001, 2.0000281E+001, 2.0000609E+001, 2.0000609E+001, 2.0000268E+001, 2.0000268E+001, 2.0000268E+001, 1.9999995E+001, 1.9999995E+001, 1.9999822E+001, 2.0000158E+001, 2.0000158E+001, 2.0000726E+001, 2.0000726E+001, 2.0000726E+001, 2.0000717E+001, 2.0000717E+001, 2.0000211E+001, 2.0000211E+001, 2.0000211E+001, 1.9999875E+001, 1.9999875E+001, 1.9999921E+001, 1.9999921E+001, 1.9999921E+001, 2.0000125E+001, 2.0000125E+001, 1.9999845E+001, 6.1169494E+000, 1.9999835E+001, 5.2374764E+000, 1.9999676E+001, 6.3754541E-004,-2.4674235E-004, 2.4906239E-005, 4.3722710E-004, 4.0113658E-003, 3.4135343E-003, 4.3191270E-003, 3.8342876E-003, 3.3738204E-003, 3.6602767E-003, 4.2942208E-003, 3.3970605E-003
 6.4000481E+000, 2.0000032E+001, 2.0000032E+001, 2.0000052E+001, 2.0000052E+001, 2.0000052E+001, 1.9999988E+001, 1.9999988E+001, 2.0000286E+001, 2.0000286E+001, 2.0000286E+001, 2.0000620E+001, 2.0000620E+001, 2.0000272E+001, 2.0000272E+001, 2.0000272E+001, 1.9999994E+001, 1.9999994E+001, 1.9999821E+001, 2.0000160E+001, 2.0000160E+001, 2.0000741E+001, 2.0000741E+001, 2.0000741E+001, 2.0000728E+001, 2.0000728E+001, 2.0000214E+001, 2.0000214E+001, 2.0000214E+001, 1.9999874E+001, 1.9999874E+001, 1.9999920E+001, 1.9999920E+001, 1.9999920E+001, 2.0000128E+001, 2.0000128E+001, 1.9999844E+001, 6.0916539E+000, 1.9999832E+001, 5.2347914E+000, 1.9999672E+001, 6.4805901E-004,-2.2873449E-004, 4.7368990E-005, 4.3911839E-004, 4.0039086E-003, 3.4113254E-003, 4.3150913E-003, 3.8245831E-003, 3.3558496E-003, 3.6400598E-003, 4.2677224E-003, 3.3854647E-003
 6.5561468E+000, 2.0000032E+001, 2.0000032E+001, 2.0000052E+001, 2.0000052E+001, 2.0000052E+001, 1.9999987E+001, 1.9999987E+001, 2.0000290E+001, 2.0000290E+001, 2.0000290E+001, 2.0000630E+001, 2.0000630E+001, 2.0000275E+001, 2.0000275E+001, 2.0000275E+001, 1.9999993E+001, 1.9999993E+001, 1.9999820E+001, 2.0000162E+001, 2.0000162E+001, 2.0000757E+001, 2.0000757E+001, 2.0000757E+001, 2.0000738E+001, 2.0000738E+001, 2.0000217E+001, 2.0000217E+001, 2.0000217E+001, 1.9999872E+001, 1.9999872E+001, 1.9999919E+001, 1.9999919E+001, 1.9999919E+001, 2.0000131E+001, 2.0000131E+001, 1.9999843E+001, 6.0663449E+000, 1.9999830E+001, 5.2320538E+000, 1.9999668E+001, 6.5794013E-004,-2.1197480E-004, 6.8522318E-005, 4.4006457E-004, 3.9961667E-003, 3.4085175E-003, 4.3104579E-003, 3.8143498E-003, 3.3382265E-003, 3.6204923E-003, 4.2419355E-003, 3.3742852E-003
 6.7122455E+000, 2.0000032E+001, 2.0000032E+001, 2.0000052E+001, 2.0000052E+001, 2.0000052E+001, 1.9999987E+001, 1.9999987E+001, 2.0000295E+001, 2.0000295E+001, 2.0000295E+001, 2.0000641E+001, 2.0000641E+001, 2.0000279E+001, 2.0000279E+001, 2.0000279E+001, 1.9999993E+001, 1.9999993E+001, 1.9999818E+001, 2.0000164E+001, 2.0000164E+001, 2.0000772E+001, 2.0000772E+001, 2.0000772E+001, 2.0000749E+001, 2.0000749E+001, 2.0000221E+001, 2.0000221E+001, 2.0000221E+001, 1.9999871E+001, 1.9999871E+001, 1.9999918E+001, 1.9999918E+001, 1.9999918E+001, 2.0000133E+001, 2.0000133E+001, 1.9999842E+001, 6.0410851E+000, 1.9999827E+001, 5.2298009E+000, 1.9999665E+001, 6.6699812E-004,-1.9682358E-004, 8.7768972E-005, 4.4020831E-004, 3.9880496E-003, 3.4049425E-003, 4.3049403E-003, 3.8036753E-003, 3.3210515E-003, 3.6017660E-003, 4.2171713E-003, 3.3634670E-003
