s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m,C,m,C,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s,kg/s
Time,"null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","Layer_H_1","Layer_T_1","Layer_H_2","Layer_T_1","vent1","vent2","vent3","vent4","vent1 p","vent2 p","vent3 p","vent4 p","vent1 m","vent2 m","vent3 m","vent4 m"
 1.4048886E+000, 2.0000014E+001, 2.0000014E+001, 2.0000026E+001, 2.0000026E+001, 2.0000026E+001, 2.0000001E+001, 2.0000001E+001, 2.0000094E+001, 2.0000094E+001, 2.0000094E+001, 2.0000189E+001, 2.0000189E+001, 2.0000088E+001, 2.0000088E+001, 2.0000088E+001, 2.0000003E+001, 2.0000003E+001, 1.9999927E+001, 2.0000055E+001, 2.0000055E+001, 2.0000200E+001, 2.0000200E+001, 2.0000200E+001, 2.0000227E+001, 2.0000227E+001, 2.0000071E+001, 2.0000071E+001, 2.0000071E+001, 1.9999952E+001, 1.9999952E+001, 1.9999968E+001, 1.9999968E+001, 1.9999968E+001, 2.0000036E+001, 2.0000036E+001, 1.9999930E+001, 6.7836159E+000, 1.9999948E+001, 5.4291521E+000, 1.9999883E+001, 7.1485009E-004,-4.1711470E-004, 2.3041587E-006, 5.1843661E-004, 4.4440099E-003, 3.6708979E-003, 4.8018305E-003, 4.2414865E-003, 3.7291598E-003, 4.0880126E-003, 4.7995263E-003, 3.7230499E-003
 1.5609873E+000, 2.0000015E+001, 2.0000015E+001, 2.0000028E+001, 2.0000028E+001, 2.0000028E+001, 2.0000001E+001, 2.0000001E+001, 2.0000102E+001, 2.0000102E+001, 2.0000102E+001, 2.0000205E+001, 2.0000205E+001, 2.0000096E+001, 2.0000096E+001, 2.0000096E+001, 2.0000003E+001, 2.0000003E+001, 1.9999921E+001, 2.0000059E+001, 2.0000059E+001, 2.0000218E+001, 2.0000218E+001, 2.0000218E+001, 2.0000247E+001, 2.0000247E+001, 2.0000077E+001, 2.0000077E+001, 2.0000077E+001, 1.9999948E+001, 1.9999948E+001, 1.9999966E+001, 1.9999966E+001, 1.9999966E+001, 2.0000040E+001, 2.0000040E+001, 1.9999925E+001, 6.7684391E+000, 1.9999943E+001, 5.4159174E+000, 1.9999873E+001, 6.9046674E-004,-4.1765958E-004,-5.1870440E-006, 4.8115465E-004, 4.4193987E-003, 3.6592371E-003, 4.7801142E-003, 4.2067319E-003, 3.7289320E-003, 4.0768966E-003, 4.7853012E-003, 3.7255772E-003
 1.7170861E+000, 2.0000016E+001, 2.0000016E+001, 2.0000030E+001, 2.0000030E+001, 2.0000030E+001, 2.0000001E+001, 2.0000001E+001, 2.0000110E+001, 2.0000110E+001, 2.0000110E+001, 2.0000222E+001, 2.0000222E+001, 2.0000104E+001, 2.0000104E+001, 2.0000104E+001, 2.0000003E+001, 2.0000003E+001, 1.9999916E+001, 2.0000064E+001, 2.0000064E+001, 2.0000237E+001, 2.0000237E+001, 2.0000237E+001, 2.0000268E+001, 2.0000268E+001, 2.0000082E+001, 2.0000082E+001, 2.0000082E+001, 1.9999944E+001, 1.9999944E+001, 1.9999963E+001, 1.9999963E+001, 1.9999963E+001, 2.0000043E+001, 2.0000043E+001, 1.9999920E+001, 6.7529846E+000, 1.9999938E+001, 5.4046530E+000, 1.9999864E+001, 6.7109084E-004,-4.0923741E-004,-1.7903242E-005, 4.4933077E-004, 4.3972141E-003, 3.6514817E-003, 4.7562445E-003, 4.1752477E-003, 3.7261233E-003, 4.0607191E-003, 4.7741477E-003, 3.7259169E-003
 1.8731848E+000, 2.0000017E+001, 2.0000017E+001, 2.0000032E+001, 2.0000032E+001, 2.0000032E+001, 2.0000001E+001, 2.0000001E+001, 2.0000117E+001, 2.0000117E+001, 2.0000117E+001, 2.0000238E+001, 2.0000238E+001, 2.0000111E+001, 2.0000111E+001, 2.0000111E+001, 2.0000004E+001, 2.0000004E+001, 1.9999911E+001, 2.0000068E+001, 2.0000068E+001, 2.0000255E+001, 2.0000255E+001, 2.0000255E+001, 2.0000287E+001, 2.0000287E+001, 2.0000088E+001, 2.0000088E+001, 2.0000088E+001, 1.9999940E+001, 1.9999940E+001, 1.9999961E+001, 1.9999961E+001, 1.9999961E+001, 2.0000046E+001, 2.0000046E+001, 1.9999916E+001, 6.7367091E+000, 1.9999933E+001, 5.3940274E+000, 1.9999855E+001, 6.5697296E-004,-3.9892305E-004,-3.2909856E-005, 4.2283153E-004, 4.3775687E-003, 3.6445440E-003, 4.7314596E-003, 4.1469965E-003, 3.7205957E-003, 4.0434671E-003, 4.7643694E-003, 3.7241650E-003
 2.0292835E+000, 2.0000018E+001, 2.0000018E+001, 2.0000033E+001, 2.0000033E+001, 2.0000033E+001, 2.0000001E+001, 2.0000001E+001, 2.0000125E+001, 2.0000125E+001, 2.0000125E+001, 2.0000254E+001, 2.0000254E+001, 2.0000119E+001, 2.0000119E+001, 2.0000119E+001, 2.0000004E+001, 2.0000004E+001, 1.9999906E+001, 2.0000073E+001, 2.0000073E+001, 2.0000274E+001, 2.0000274E+001, 2.0000274E+001, 2.0000307E+001, 2.0000307E+001, 2.0000094E+001, 2.0000094E+001, 2.0000094E+001, 1.9999937E+001, 1.9999937E+001, 1.9999959E+001, 1.9999959E+001, 1.9999959E+001, 2.0000049E+001, 2.0000049E+001, 1.9999911E+001, 6.7196747E+000, 1.9999929E+001, 5.3831277E+000, 1.9999846E+001, 6.4725382E-004,-3.9201588E-004,-4.7104129E-005, 4.0141249E-004, 4.3600413E-003, 3.6361088E-003, 4.7070694E-003, 4.1218766E-003, 3.7127875E-003, 4.0281247E-003, 4.7541736E-003, 3.7204641E-003
 2.1853823E+000, 2.0000019E+001, 2.0000019E+001, 2.0000035E+001, 2.0000035E+001, 2.0000035E+001, 2.0000001E+001, 2.0000001E+001, 2.0000132E+001, 2.0000132E+001, 2.0000132E+001, 2.0000269E+001, 2.0000269E+001, 2.0000126E+001, 2.0000126E+001, 2.0000126E+001, 2.0000004E+001, 2.0000004E+001, 1.9999901E+001, 2.0000077E+001, 2.0000077E+001, 2.0000292E+001, 2.0000292E+001, 2.0000292E+001, 2.0000326E+001, 2.0000326E+001, 2.0000099E+001, 2.0000099E+001, 2.0000099E+001, 1.9999933E+001, 1.9999933E+001, 1.9999957E+001, 1.9999957E+001, 1.9999957E+001, 2.0000052E+001, 2.0000052E+001, 1.9999907E+001, 6.7020159E+000, 1.9999924E+001, 5.3754648E+000, 1.9999837E+001, 6.4040750E-004,-3.9116723E-004,-5.8637428E-005, 3.8448286E-004, 4.3438906E-003, 3.6250231E-003, 4.6838522E-003, 4.0995640E-003, 3.7034831E-003, 4.0161903E-003, 4.7424896E-003, 3.7150811E-003
 2.3414810E+000, 2.0000020E+001, 2.0000020E+001, 2.0000036E+001, 2.0000036E+001, 2.0000036E+001, 2.0000000E+001, 2.0000000E+001, 2.0000139E+001, 2.0000139E+001, 2.0000139E+001, 2.0000285E+001, 2.0000285E+001, 2.0000133E+001, 2.0000133E+001, 2.0000133E+001, 2.0000004E+001, 2.0000004E+001, 1.9999896E+001, 2.0000081E+001, 2.0000081E+001, 2.0000310E+001, 2.0000310E+001, 2.0000310E+001, 2.0000345E+001, 2.0000345E+001, 2.0000105E+001, 2.0000105E+001, 2.0000105E+001, 1.9999930E+001, 1.9999930E+001, 1.9999955E+001, 1.9999955E+001, 1.9999955E+001, 2.0000056E+001, 2.0000056E+001, 1.9999903E+001, 6.6839028E+000, 1.9999920E+001, 5.3661189E+000, 1.9999828E+001, 6.3466816E-004,-3.9671092E-004,-6.7482789E-005, 3.7107480E-004, 4.3282624E-003, 3.6111513E-003, 4.6618124E-003, 4.0794885E-003, 3.6935943E-003, 4.0078622E-003, 4.7292952E-003, 3.7084136E-003
 2.4975797E+000, 2.0000021E+001, 2.0000021E+001, 2.0000038E+001, 2.0000038E+001, 2.0000038E+001, 2.0000000E+001, 2.0000000E+001, 2.0000146E+001, 2.0000146E+001, 2.0000146E+001, 2.0000300E+001, 2.0000300E+001, 2.0000140E+001, 2.0000140E+001, 2.0000140E+001, 2.0000004E+001, 2.0000004E+001, 1.9999892E+001, 2.0000085E+001, 2.0000085E+001, 2.0000328E+001, 2.0000328E+001, 2.0000328E+001, 2.0000364E+001, 2.0000364E+001, 2.0000110E+001, 2.0000110E+001, 2.0000110E+001, 1.9999927E+001, 1.9999927E+001, 1.9999953E+001, 1.9999953E+001, 1.9999953E+001, 2.0000059E+001, 2.0000059E+001, 1.9999899E+001, 6.6651593E+000, 1.9999915E+001, 5.3576750E+000, 1.9999820E+001, 6.2844917E-004,-4.0752716E-004,-7.5056116E-005, 3.6006288E-004, 4.3123931E-003, 3.5949932E-003, 4.6403419E-003, 4.0609676E-003, 3.6839439E-003, 4.0025204E-003, 4.7153980E-003, 3.7009047E-003
 2.6536785E+000, 2.0000022E+001, 2.0000022E+001, 2.0000039E+001, 2.0000039E+001, 2.0000039E+001, 2.0000000E+001, 2.0000000E+001, 2.0000153E+001, 2.0000153E+001, 2.0000153E+001, 2.0000315E+001, 2.0000315E+001, 2.0000147E+001, 2.0000147E+001, 2.0000147E+001, 2.0000004E+001, 2.0000004E+001, 1.9999888E+001, 2.0000089E+001, 2.0000089E+001, 2.0000346E+001, 2.0000346E+001, 2.0000346E+001, 2.0000382E+001, 2.0000382E+001, 2.0000115E+001, 2.0000115E+001, 2.0000115E+001, 1.9999924E+001, 1.9999924E+001, 1.9999951E+001, 1.9999951E+001, 1.9999951E+001, 2.0000062E+001, 2.0000062E+001, 1.9999895E+001, 6.6460039E+000, 1.9999911E+001, 5.3498126E+000, 1.9999812E+001, 6.2066965E-004,-4.2186929E-004,-8.3284372E-005, 3.5050862E-004, 4.2957666E-003, 3.5773196E-003, 4.6200803E-003, 4.0434205E-003, 3.6750970E-003, 3.9991889E-003, 4.7033647E-003, 3.6929118E-003
 2.8097772E+000, 2.0000023E+001, 2.0000023E+001, 2.0000041E+001, 2.0000041E+001, 2.0000041E+001, 2.0000000E+001, 2.0000000E+001, 2.0000159E+001, 2.0000159E+001, 2.0000159E+001, 2.0000330E+001, 2.0000330E+001, 2.0000154E+001, 2.0000154E+001, 2.0000154E+001, 2.0000004E+001, 2.0000004E+001, 1.9999883E+001, 2.0000093E+001, 2.0000093E+001, 2.0000363E+001, 2.0000363E+001, 2.0000363E+001, 2.0000400E+001, 2.0000400E+001, 2.0000120E+001, 2.0000120E+001, 2.0000120E+001, 1.9999921E+001, 1.9999921E+001, 1.9999949E+001, 1.9999949E+001, 1.9999949E+001, 2.0000065E+001, 2.0000065E+001, 1.9999892E+001, 6.6263198E+000, 1.9999907E+001, 5.3425396E+000, 1.9999804E+001, 6.1088533E-004,-4.3794400E-004,-9.3670481E-005, 3.4188010E-004, 4.2781757E-003, 3.5589149E-003, 4.5991693E-003, 4.0265059E-003, 3.6672904E-003, 3.9968589E-003, 4.6928397E-003, 3.6846258E-003
