s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 2.8122099E-001, 1.5884396E+000,-3.3285374E+000, 1.0000000E-001, 9.4000000E+001, 6.5038302E-001, 5.7540804E-015
 2.8732498E-001, 1.5971104E+000,-3.3122792E+000, 1.0000000E-001, 9.1000000E+001, 6.4518662E-001, 9.9216639E-015
 2.9288046E-001, 1.6049119E+000,-3.2923959E+000, 1.0000000E-001, 9.4000000E+001, 6.5040481E-001, 5.5992623E-015
 2.9899148E-001, 1.6133934E+000,-3.2758851E+000, 1.0000000E-001, 9.1000000E+001, 6.4539523E-001, 9.9057302E-015
 3.0455343E-001, 1.6210207E+000,-3.2557250E+000, 1.0000000E-001, 9.4000000E+001, 6.5043275E-001, 5.4471535E-015
 3.1067158E-001, 1.6293085E+000,-3.2389693E+000, 1.0000000E-001, 9.4000000E+001, 6.5035638E-001, 5.2965231E-015
 3.1624007E-001, 1.6367578E+000,-3.2185454E+000, 1.0000000E-001, 9.4000000E+001, 6.5045014E-001, 5.2848050E-015
 3.2236542E-001, 1.6448476E+000,-3.2015525E+000, 1.0000000E-001, 9.1000000E+001, 6.4531246E-001, 9.1690669E-015
 3.2794030E-001, 1.6521147E+000,-3.1808775E+000, 1.0000000E-001, 9.4000000E+001, 6.5045599E-001, 5.1124965E-015
 3.3407267E-001, 1.6600022E+000,-3.1636560E+000, 1.0000000E-001, 9.4000000E+001, 6.5038612E-001, 4.9693768E-015
 3.3965396E-001, 1.6670832E+000,-3.1427442E+000, 1.0000000E-001, 9.4000000E+001, 6.5046418E-001, 4.9412628E-015
 3.4579338E-001, 1.6747642E+000,-3.1253024E+000, 1.0000000E-001, 9.1000000E+001, 6.4620272E-001, 9.6863552E-015
 3.5752771E-001, 1.6855689E+000,-3.0949200E+000, 1.0000000E-001, 9.4000000E+001, 6.5042335E-001, 4.6879355E-015
 3.6312205E-001, 1.6958248E+000,-3.0651684E+000, 1.0000000E-001, 9.4000000E+001, 6.5046501E-001, 4.5873783E-015
 3.6927582E-001, 1.7030811E+000,-3.0473104E+000, 1.0000000E-001, 9.4000000E+001, 6.5038026E-001, 4.4401051E-015
 3.7487662E-001, 1.7095829E+000,-3.0257687E+000, 1.0000000E-001, 9.4000000E+001, 6.5044078E-001, 4.3953366E-015
 3.8103750E-001, 1.7166211E+000,-3.0077157E+000, 1.0000000E-001, 9.4000000E+001, 6.5036764E-001, 4.2582145E-015
 3.8664472E-001, 1.7229227E+000,-2.9859916E+000, 1.0000000E-001, 9.4000000E+001, 6.5041676E-001, 4.2054675E-015
 3.9281267E-001, 1.7297391E+000,-2.9677525E+000, 1.0000000E-001, 9.4000000E+001, 6.5032860E-001, 4.0623229E-015
 3.9842639E-001, 1.7358373E+000,-2.9458601E+000, 1.0000000E-001, 9.4000000E+001, 6.5038742E-001, 4.0148017E-015
 4.0460149E-001, 1.7424284E+000,-2.9274434E+000, 1.0000000E-001, 9.4000000E+001, 6.5031149E-001, 3.8819372E-015
 4.1022180E-001, 1.7483202E+000,-2.9053964E+000, 1.0000000E-001, 9.4000000E+001, 6.5034230E-001, 3.8182347E-015
 4.1640413E-001, 1.7546826E+000,-2.8868109E+000, 1.0000000E-001, 9.4000000E+001, 6.5025000E-001, 3.6801354E-015
 4.2203097E-001, 1.7603648E+000,-2.8646226E+000, 1.0000000E-001, 9.4000000E+001, 6.5028119E-001, 3.6172181E-015
 4.2822048E-001, 1.7664952E+000,-2.8458776E+000, 1.0000000E-001, 9.3000000E+001, 6.5446543E-001, 9.8572438E-015
 4.3385376E-001, 1.7719649E+000,-2.8235621E+000, 1.0000000E-001, 9.3000000E+001, 6.5460751E-001, 9.8341525E-015
 4.4005036E-001, 1.7778600E+000,-2.8046671E+000, 1.0000000E-001, 9.3000000E+001, 6.5434202E-001, 9.2342662E-015
 4.5189392E-001, 1.7860774E+000,-2.7722677E+000, 1.0000000E-001, 9.3000000E+001, 6.5433973E-001, 8.9005316E-015
