s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 2.7721583E-001, 1.6158877E+000,-3.6094659E+000, 1.0000000E-010, 9.4000000E+001, 6.5035831E-001, 6.4689047E-015
 2.8314849E-001, 1.6256074E+000,-3.5976324E+000, 1.0000000E-010, 9.4000000E+001, 6.5027178E-001, 6.3073316E-015
 2.9447433E-001, 1.6393828E+000,-3.5757892E+000, 1.0000000E-010, 9.4000000E+001, 6.5032494E-001, 6.2378051E-015
 2.9986759E-001, 1.6525591E+000,-3.5540856E+000, 1.0000000E-010, 9.4000000E+001, 6.5041528E-001, 6.2017962E-015
 3.0580017E-001, 1.6619625E+000,-3.5414885E+000, 1.0000000E-010, 9.4000000E+001, 6.5028276E-001, 6.0001827E-015
 3.1119350E-001, 1.6704365E+000,-3.5251699E+000, 1.0000000E-010, 9.4000000E+001, 6.5043152E-001, 6.0519659E-015
 3.1712616E-001, 1.6796746E+000,-3.5121978E+000, 1.0000000E-010, 9.1000000E+001, 6.4491656E-001, 9.9881528E-015
 3.2251952E-001, 1.6879962E+000,-3.4954560E+000, 1.0000000E-010, 9.4000000E+001, 6.5045387E-001, 5.9044603E-015
 3.2845222E-001, 1.6970644E+000,-3.4821138E+000, 1.0000000E-010, 9.4000000E+001, 6.5036118E-001, 5.7388204E-015
 3.3384549E-001, 1.7052291E+000,-3.4649587E+000, 1.0000000E-010, 9.4000000E+001, 6.5045330E-001, 5.7350084E-015
 3.3977809E-001, 1.7141224E+000,-3.4512520E+000, 1.0000000E-010, 9.4000000E+001, 6.5034716E-001, 5.5599256E-015
 3.5110392E-001, 1.7266907E+000,-3.4263267E+000, 1.0000000E-010, 9.4000000E+001, 6.5040978E-001, 5.4831870E-015
 3.5649722E-001, 1.7386791E+000,-3.4016794E+000, 1.0000000E-010, 9.4000000E+001, 6.5045386E-001, 5.3928827E-015
 3.6242984E-001, 1.7472095E+000,-3.3872590E+000, 1.0000000E-010, 9.4000000E+001, 6.5036504E-001, 5.2347570E-015
 3.6782325E-001, 1.7548796E+000,-3.3689286E+000, 1.0000000E-010, 9.4000000E+001, 6.5045329E-001, 5.2193772E-015
 3.7375599E-001, 1.7632221E+000,-3.3541596E+000, 1.0000000E-010, 9.4000000E+001, 6.5037601E-001, 5.0714557E-015
 3.7914928E-001, 1.7707190E+000,-3.3354583E+000, 1.0000000E-010, 9.4000000E+001, 6.5043414E-001, 5.0315529E-015
 3.8508191E-001, 1.7788690E+000,-3.3203472E+000, 1.0000000E-010, 9.4000000E+001, 6.5037210E-001, 4.8964183E-015
 3.9047516E-001, 1.7861891E+000,-3.3012873E+000, 1.0000000E-010, 9.4000000E+001, 6.5040748E-001, 4.8389242E-015
 3.9640774E-001, 1.7941425E+000,-3.2858401E+000, 1.0000000E-010, 9.4000000E+001, 6.5032091E-001, 4.6890253E-015
 4.0773361E-001, 1.8053432E+000,-3.2581685E+000, 1.0000000E-010, 9.4000000E+001, 6.5033697E-001, 4.5711897E-015
 4.1312698E-001, 1.8159907E+000,-3.2309123E+000, 1.0000000E-010, 9.4000000E+001, 6.5032009E-001, 4.4354632E-015
 4.1905968E-001, 1.8235391E+000,-3.2148113E+000, 1.0000000E-010, 9.3000000E+001, 6.5197021E-001, 8.4586166E-015
 4.2445300E-001, 1.8303070E+000,-3.1947431E+000, 1.0000000E-010, 9.4000000E+001, 6.5023011E-001, 4.2092907E-015
 4.3038566E-001, 1.8376470E+000,-3.1783255E+000, 1.0000000E-010, 9.4000000E+001, 6.5018915E-001, 4.0967391E-015
 4.3577892E-001, 1.8442236E+000,-3.1579450E+000, 1.0000000E-010, 9.4000000E+001, 6.5018855E-001, 4.0168018E-015
 4.4171150E-001, 1.8513514E+000,-3.1412178E+000, 1.0000000E-010, 9.4000000E+001, 6.5011430E-001, 3.8875557E-015
 4.4710476E-001, 1.8577334E+000,-3.1205373E+000, 1.0000000E-010, 9.4000000E+001, 6.5009879E-001, 3.8007228E-015
 4.5303735E-001, 1.8646454E+000,-3.1035074E+000, 1.0000000E-010, 9.4000000E+001, 6.5001250E-001, 3.6690412E-015
 4.6436333E-001, 1.8743355E+000,-3.0734637E+000, 1.0000000E-010, 9.3476190E+001, 6.5216939E-001, 6.8116095E-015
 4.6975669E-001, 1.8835059E+000,-3.0439688E+000, 1.0000000E-010, 9.3000000E+001, 6.5421535E-001, 9.6166432E-015
 4.7568939E-001, 1.8899759E+000,-3.0263553E+000, 1.0000000E-010, 9.3000000E+001, 6.5403805E-001, 9.1504675E-015
 4.8108266E-001, 1.8957552E+000,-3.0048470E+000, 1.0000000E-010, 9.3000000E+001, 6.5406404E-001, 8.9785848E-015
 4.8701526E-001, 1.9019990E+000,-2.9869536E+000, 1.0000000E-010, 9.3000000E+001, 6.5391020E-001, 8.5642672E-015
 4.9240851E-001, 1.9075713E+000,-2.9651951E+000, 1.0000000E-010, 9.3000000E+001, 6.5394363E-001, 8.4054638E-015
 4.9834109E-001, 1.9135859E+000,-2.9470295E+000, 1.0000000E-010, 9.3000000E+001, 6.5380526E-001, 8.0279582E-015
 5.0373439E-001, 1.9189484E+000,-2.9250331E+000, 1.0000000E-010, 9.3000000E+001, 6.5381479E-001, 7.8458609E-015
 5.0966701E-001, 1.9247306E+000,-2.9066033E+000, 1.0000000E-010, 9.3000000E+001, 6.5372429E-001, 7.5377116E-015
 5.2099316E-001, 1.9327863E+000,-2.8745936E+000, 1.0000000E-010, 9.3000000E+001, 6.5367547E-001, 7.1945417E-015
 5.2638646E-001, 1.9403625E+000,-2.8432605E+000, 1.0000000E-010, 9.3000000E+001, 6.5366207E-001, 6.9019511E-015
 5.3231909E-001, 1.9456713E+000,-2.8243275E+000, 1.0000000E-010, 9.3000000E+001, 6.5360737E-001, 6.6522518E-015
 5.3771234E-001, 1.9503883E+000,-2.8016937E+000, 1.0000000E-010, 9.3000000E+001, 6.5366830E-001, 6.5324705E-015
 5.4364492E-001, 1.9554562E+000,-2.7825221E+000, 1.0000000E-010, 9.3000000E+001, 6.5365667E-001, 6.3289646E-015
 5.4903819E-001, 1.9599531E+000,-2.7597021E+000, 1.0000000E-010, 9.3000000E+001, 6.5373058E-001, 6.2212924E-015
 5.5497079E-001, 1.9647776E+000,-2.7403007E+000, 1.0000000E-010, 9.3000000E+001, 6.5375832E-001, 6.0558511E-015
 5.6036415E-001, 1.9690521E+000,-2.7173074E+000, 1.0000000E-010, 9.3000000E+001, 6.5388839E-001, 5.9957310E-015
 5.6629685E-001, 1.9736308E+000,-2.6976849E+000, 1.0000000E-010, 9.0000000E+001, 6.4838113E-001, 9.7038760E-015
 5.7762283E-001, 1.9799489E+000,-2.6641416E+000, 1.0000000E-010, 9.0000000E+001, 6.4854030E-001, 9.4813289E-015
