s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 1.1960343E+000,-1.9612058E+000, 1.0000000E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0552887E-002, 1.2168822E+000,-3.9510902E+000, 1.0000000E-010, 6.2000000E+001, 5.3049237E-001, 6.6396215E-015
 2.2161063E-002, 1.2397545E+000,-3.9443133E+000, 1.0000000E-010, 6.2000000E+001, 5.2438238E-001, 3.2135791E-015
 3.2714982E-002, 1.2604840E+000,-3.9338386E+000, 1.0000000E-010, 6.2000000E+001, 5.2760905E-001, 4.6655559E-015
 4.4324292E-002, 1.2832040E+000,-3.9254038E+000, 1.0000000E-010, 6.2000000E+001, 5.2862692E-001, 5.2111225E-015
 5.4878718E-002, 1.3037740E+000,-3.9127745E+000, 1.0000000E-010, 6.3000000E+001, 5.3955355E-001, 9.9084808E-015
 6.6488586E-002, 1.3262964E+000,-3.9026869E+000, 1.0000000E-010, 6.2000000E+001, 5.3398886E-001, 9.5567795E-015
 7.7041687E-002, 1.3466634E+000,-3.8879265E+000, 1.0000000E-010, 6.4000000E+001, 5.3696407E-001, 3.8492271E-015
 8.8650098E-002, 1.3689407E+000,-3.8761956E+000, 1.0000000E-010, 6.4000000E+001, 5.3715388E-001, 3.8907061E-015
 9.9202833E-002, 1.3890670E+000,-3.8593408E+000, 1.0000000E-010, 6.4000000E+001, 5.3731076E-001, 3.9184183E-015
 1.1081084E-001, 1.4110580E+000,-3.8459762E+000, 1.0000000E-010, 6.4000000E+001, 5.3753269E-001, 3.9696989E-015
 1.2136417E-001, 1.4309065E+000,-3.8270617E+000, 1.0000000E-010, 6.4000000E+001, 5.3768387E-001, 3.9896297E-015
 1.3297283E-001, 1.4525706E+000,-3.8120752E+000, 1.0000000E-010, 6.4000000E+001, 5.3786092E-001, 4.0140119E-015
 1.4352771E-001, 1.4721045E+000,-3.7911401E+000, 1.0000000E-010, 6.4000000E+001, 5.3805159E-001, 4.0473579E-015
 1.5513807E-001, 1.4934015E+000,-3.7745453E+000, 1.0000000E-010, 6.4000000E+001, 5.3823268E-001, 4.0675655E-015
 1.6569166E-001, 1.5125776E+000,-3.7516263E+000, 1.0000000E-010, 6.4000000E+001, 5.3842512E-001, 4.0962531E-015
 1.7730061E-001, 1.5334605E+000,-3.7334458E+000, 1.0000000E-010, 6.4000000E+001, 5.3862595E-001, 4.1197097E-015
 1.8785339E-001, 1.5522425E+000,-3.7086048E+000, 1.0000000E-010, 6.4000000E+001, 5.3882041E-001, 4.1436186E-015
 1.9946145E-001, 1.5726720E+000,-3.6888594E+000, 1.0000000E-010, 6.4000000E+001, 5.3903406E-001, 4.1668406E-015
 2.1001439E-001, 1.5910253E+000,-3.6621518E+000, 1.0000000E-010, 6.4000000E+001, 5.3922925E-001, 4.1850667E-015
 2.2162262E-001, 1.6109635E+000,-3.6408639E+000, 1.0000000E-010, 6.4000000E+001, 5.3944791E-001, 4.2039791E-015
 2.3217667E-001, 1.6288541E+000,-3.6123470E+000, 1.0000000E-010, 6.4000000E+001, 5.3967521E-001, 4.2319898E-015
 2.4378612E-001, 1.6482641E+000,-3.5895418E+000, 1.0000000E-010, 6.4000000E+001, 5.3987860E-001, 4.2362014E-015
 2.5434040E-001, 1.6656558E+000,-3.5592728E+000, 1.0000000E-010, 6.4000000E+001, 5.4009788E-001, 4.2537534E-015
