Time, u-vel
   0.000,   1.19603
   0.011,   1.21702
   0.022,   1.24003
   0.033,   1.26089
   0.044,   1.28376
   0.055,   1.30445
   0.066,   1.32712
   0.077,   1.34761
   0.089,   1.37002
   0.099,   1.39027
   0.111,   1.41239
   0.121,   1.43236
   0.133,   1.45414
   0.144,   1.47379
   0.155,   1.49521
   0.166,   1.51449
   0.177,   1.53548
   0.188,   1.55436
   0.199,   1.57489
   0.210,   1.59334
   0.222,   1.61337
   0.232,   1.63134
   0.244,   1.65084
   0.254,   1.66830
   0.266,   1.68722
   0.277,   1.70414
   0.288,   1.72244
   0.299,   1.73879
   0.310,   1.75644
   0.321,   1.77218
   0.332,   1.78914
   0.343,   1.80424
   0.355,   1.82049
   0.365,   1.83492
   0.377,   1.85042
   0.387,   1.86415
   0.399,   1.87886
   0.409,   1.89187
   0.421,   1.90578
   0.432,   1.91804
   0.443,   1.93111
   0.454,   1.94260
   0.465,   1.95480
   0.476,   1.96549
   0.488,   1.97681
   0.498,   1.98668
   0.510,   1.99709
   0.520,   2.00613
   0.532,   2.01560
   0.542,   2.02379
   0.554,   2.03232
   0.565,   2.03964
   0.576,   2.04720
   0.587,   2.05363
   0.598,   2.06021
   0.609,   2.06574
   0.621,   2.07133
   0.631,   2.07596
   0.643,   2.08055
   0.653,   2.08426
   0.665,   2.08783
   0.675,   2.09061
   0.687,   2.09316
   0.698,   2.09502
   0.709,   2.09655
   0.720,   2.09747
   0.731,   2.09797
   0.742,   2.09795
   0.754,   2.09742
   0.764,   2.09648
   0.776,   2.09492
   0.786,   2.09304
   0.798,   2.09045
   0.808,   2.08764
   0.820,   2.08404
   0.831,   2.08030
   0.842,   2.07569
   0.853,   2.07103
   0.864,   2.06542
   0.875,   2.05986
   0.886,   2.05324
   0.897,   2.04679
   0.909,   2.03920
   0.919,   2.03186
   0.931,   2.02330
   0.941,   2.01509
   0.953,   2.00558
   0.964,   1.99652
   0.975,   1.98609
   0.986,   1.97619
   0.997,   1.96484
   1.008,   1.95413
   1.019,   1.94190
   1.030,   1.93039
   1.042,   1.91730
   1.052,   1.90501
   1.064,   1.89108
   1.074,   1.87805
   1.086,   1.86331
   1.097,   1.84956
   1.108,   1.83404
   1.119,   1.81959
   1.130,   1.80332
   1.141,   1.78820
   1.152,   1.77122
   1.163,   1.75546
   1.175,   1.73779
   1.185,   1.72143
   1.197,   1.70311
   1.207,   1.68617
   1.219,   1.66724
   1.229,   1.64976
   1.241,   1.63024
   1.252,   1.61226
   1.263,   1.59221
   1.274,   1.57375
   1.285,   1.55320
   1.296,   1.53431
   1.308,   1.51330
   1.318,   1.49401
   1.330,   1.47259
   1.340,   1.45293
   1.352,   1.43113
   1.362,   1.41116
   1.374,   1.38903
   1.385,   1.36877
   1.396,   1.34635
   1.407,   1.32585
   1.418,   1.30318
   1.429,   1.28248
   1.441,   1.25961
   1.451,   1.23875
   1.463,   1.21572
   1.473,   1.19474
   1.485,   1.17161
   1.495,   1.15054
   1.507,   1.12735
   1.518,   1.10624
   1.529,   1.08303
   1.540,   1.06192
   1.551,   1.03873
   1.562,   1.01768
   1.574,   0.99456
   1.584,   0.97359
   1.596,   0.95059
   1.606,   0.92975
   1.618,   0.90691
   1.628,   0.88623
   1.640,   0.86360
   1.651,   0.84313
   1.662,   0.82075
   1.673,   0.80054
   1.684,   0.77846
   1.695,   0.75853
   1.707,   0.73679
   1.717,   0.71718
   1.729,   0.69582
   1.739,   0.67658
   1.751,   0.65564
   1.761,   0.63682
   1.773,   0.61634
   1.784,   0.59795
   1.795,   0.57799
   1.806,   0.56007
   1.817,   0.54065
   1.828,   0.52325
   1.839,   0.50440
   1.850,   0.48755
   1.862,   0.46933
   1.872,   0.45306
   1.884,   0.43549
   1.894,   0.41983
   1.906,   0.40295
   1.917,   0.38793
   1.928,   0.37177
   1.939,   0.35743
   1.950,   0.34203
   1.961,   0.32838
   1.972,   0.31377
   1.983,   0.30085
   1.995,   0.28705
   2.005,   0.27488
   2.017,   0.26192
   2.027,   0.25052
   2.039,   0.23843
   2.049,   0.22783
   2.061,   0.21663
   2.072,   0.20686
   2.083,   0.19657
   2.094,   0.18763
   2.105,   0.17827
   2.116,   0.17019
   2.128,   0.16178
   2.138,   0.15457
   2.150,   0.14713
   2.160,   0.14081
   2.172,   0.13435
   2.182,   0.12893
   2.194,   0.12346
   2.205,   0.11895
   2.216,   0.11449
   2.227,   0.11089
   2.238,   0.10744
   2.249,   0.10477
   2.261,   0.10235
   2.271,   0.10061
   2.283,   0.09921
   2.293,   0.09840
   2.305,   0.09803
   2.315,   0.09816
   2.327,   0.09881
   2.338,   0.09988
   2.349,   0.10156
   2.360,   0.10356
   2.371,   0.10627
   2.382,   0.10919
   2.394,   0.11292
   2.404,   0.11677
   2.416,   0.12151
   2.426,   0.12628
   2.438,   0.13202
   2.448,   0.13769
   2.460,   0.14442
   2.471,   0.15099
   2.482,   0.15870
   2.493,   0.16615
   2.504,   0.17482
   2.515,   0.18314
   2.527,   0.19276
   2.537,   0.20193
   2.549,   0.21248
   2.559,   0.22248
   2.571,   0.23393
   2.581,   0.24474
   2.593,   0.25708
   2.604,   0.26869
   2.615,   0.28188
   2.626,   0.29426
   2.637,   0.30829
   2.648,   0.32142
   2.659,   0.33625
   2.670,   0.35009
   2.682,   0.36570
   2.692,   0.38024
   2.704,   0.39660
   2.714,   0.41180
   2.726,   0.42887
   2.737,   0.44470
   2.748,   0.46246
   2.759,   0.47889
   2.770,   0.49729
   2.781,   0.51429
   2.792,   0.53330
   2.803,   0.55085
   2.815,   0.57043
   2.825,   0.58847
   2.837,   0.60859
   2.847,   0.62710
   2.859,   0.64771
   2.870,   0.66665
   2.881,   0.68771
   2.892,   0.70705
   2.903,   0.72852
   2.914,   0.74822
   2.925,   0.77006
   2.936,   0.79008
   2.948,   0.81225
   2.958,   0.83253
   2.970,   0.85499
   2.980,   0.87551
   2.992,   0.89820
   3.002,   0.91893
   3.014,   0.94182
   3.025,   0.96270
   3.036,   0.98574
   3.047,   1.00674
   3.058,   1.02988
   3.069,   1.05095
   3.081,   1.07415
   3.091,   1.09526
   3.103,   1.11847
   3.113,   1.13957
   3.125,   1.16276
   3.135,   1.18381
   3.147,   1.20691
   3.158,   1.22787
   3.169,   1.25085
   3.180,   1.27167
   3.191,   1.29449
   3.202,   1.31514
   3.214,   1.33774
   3.224,   1.35818
   3.236,   1.38053
   3.246,   1.40071
   3.258,   1.42275
   3.268,   1.44264
   3.280,   1.46434
   3.291,   1.48390
   3.302,   1.50521
   3.313,   1.52440
   3.324,   1.54529
   3.335,   1.56406
   3.347,   1.58448
   3.357,   1.60281
   3.369,   1.62271
   3.379,   1.64056
   3.391,   1.65992
   3.401,   1.67725
   3.413,   1.69602
   3.424,   1.71280
   3.435,   1.73095
   3.446,   1.74715
   3.457,   1.76463
   3.468,   1.78021
   3.479,   1.79700
   3.490,   1.81194
   3.502,   1.82800
   3.512,   1.84227
   3.524,   1.85757
   3.534,   1.87113
   3.546,   1.88565
   3.557,   1.89848
   3.568,   1.91217
   3.579,   1.92425
   3.590,   1.93710
   3.601,   1.94840
   3.612,   1.96039
   3.623,   1.97088
   3.635,   1.98197
   3.645,   1.99164
   3.657,   2.00182
   3.667,   2.01065
   3.679,   2.01990
   3.690,   2.02787
   3.701,   2.03616
   3.712,   2.04326
   3.723,   2.05058
   3.734,   2.05679
   3.745,   2.06313
   3.756,   2.06844
   3.768,   2.07378
   3.778,   2.07818
   3.790,   2.08252
   3.800,   2.08600
   3.812,   2.08933
   3.822,   2.09188
   3.834,   2.09418
   3.845,   2.09581
   3.856,   2.09708
   3.867,   2.09777
   3.878,   2.09802
   3.889,   2.09777
   3.901,   2.09699
   3.911,   2.09581
   3.923,   2.09400
   3.933,   2.09189
   3.945,   2.08905
   3.955,   2.08601
   3.967,   2.08216
   3.978,   2.07820
   3.989,   2.07333
   4.000,   2.06845
   4.011,   2.06259
   4.022,   2.05681
   4.034,   2.04995
   4.044,   2.04328
   4.056,   2.03545
   4.066,   2.02789
   4.078,   2.01910
   4.088,   2.01067
   4.100,   2.00094
   4.111,   1.99167
   4.122,   1.98101
   4.133,   1.97090
   4.144,   1.95934
   4.155,   1.94843
   4.167,   1.93598
   4.177,   1.92428
   4.189,   1.91098
   4.199,   1.89851
   4.211,   1.88438
   4.221,   1.87116
   4.233,   1.85623
   4.244,   1.84230
   4.255,   1.82660
   4.266,   1.81198
   4.277,   1.79553
   4.288,   1.78025
   4.300,   1.76309
   4.310,   1.74718
   4.322,   1.72935
   4.332,   1.71284
   4.344,   1.69437
   4.354,   1.67729
   4.366,   1.65821
   4.377,   1.64061
   4.388,   1.62096
   4.399,   1.60285
   4.410,   1.58267
   4.421,   1.56410
   4.432,   1.54344
   4.443,   1.52444
   4.455,   1.50333
   4.465,   1.48395
   4.477,   1.46243
   4.487,   1.44269
   4.499,   1.42080
   4.510,   1.40075
   4.521,   1.37855
   4.532,   1.35823
   4.543,   1.33574
   4.554,   1.31519
   4.565,   1.29247
   4.576,   1.27173
   4.588,   1.24881
   4.598,   1.22792
   4.610,   1.20486
   4.620,   1.18385
   4.632,   1.16070
   4.642,   1.13962
   4.654,   1.11642
   4.665,   1.09531
   4.676,   1.07210
   4.687,   1.05100
   4.698,   1.02782
   4.709,   1.00678
   4.721,   0.98369
   4.731,   0.96275
   4.743,   0.93979
   4.753,   0.91898
   4.765,   0.89619
