Time, u-vel
   0.000,   1.39018
   0.020,   1.42984
   0.043,   1.47301
   0.063,   1.51180
   0.085,   1.55387
   0.106,   1.59152
   0.128,   1.63217
   0.148,   1.66833
   0.171,   1.70721
   0.191,   1.74165
   0.213,   1.77850
   0.234,   1.81099
   0.256,   1.84556
   0.276,   1.87589
   0.299,   1.90795
   0.319,   1.93586
   0.341,   1.96514
   0.362,   1.99041
   0.384,   2.01669
   0.404,   2.03915
   0.427,   2.06225
   0.447,   2.08176
   0.469,   2.10153
   0.490,   2.11795
   0.512,   2.13425
   0.532,   2.14743
   0.555,   2.16011
   0.575,   2.16995
   0.597,   2.17893
   0.618,   2.18539
   0.640,   2.19061
   0.660,   2.19363
   0.683,   2.19505
   0.703,   2.19460
   0.725,   2.19221
   0.746,   2.18830
   0.768,   2.18211
   0.788,   2.17478
   0.811,   2.16485
   0.831,   2.15414
   0.853,   2.14053
   0.873,   2.12652
   0.896,   2.10932
   0.916,   2.09210
   0.939,   2.07144
   0.959,   2.05116
   0.981,   2.02722
   1.001,   2.00402
   1.024,   1.97697
   1.044,   1.95101
   1.066,   1.92102
   1.087,   1.89246
   1.109,   1.85973
   1.129,   1.82882
   1.152,   1.79362
   1.172,   1.76060
   1.194,   1.72321
   1.215,   1.68830
   1.237,   1.64897
   1.257,   1.61240
   1.280,   1.57139
   1.300,   1.53341
   1.322,   1.49099
   1.343,   1.45195
   1.365,   1.40851
   1.385,   1.36868
   1.408,   1.32453
   1.428,   1.28417
   1.450,   1.23961
   1.471,   1.19899
   1.493,   1.15430
   1.513,   1.11372
   1.536,   1.06923
   1.556,   1.02905
   1.578,   0.98516
   1.599,   0.94565
   1.621,   0.90266
   1.641,   0.86408
   1.664,   0.82227
   1.684,   0.78487
   1.706,   0.74452
   1.727,   0.70861
   1.749,   0.67004
   1.769,   0.63592
   1.792,   0.59945
   1.812,   0.56734
   1.834,   0.53321
   1.855,   0.50332
   1.877,   0.47175
   1.897,   0.44428
   1.920,   0.41550
   1.940,   0.39070
   1.962,   0.36496
   1.983,   0.34301
   2.005,   0.32048
   2.025,   0.30152
   2.048,   0.28237
   2.068,   0.26653
   2.090,   0.25087
   2.111,   0.23826
   2.133,   0.22622
   2.153,   0.21697
   2.176,   0.20865
   2.196,   0.20280
   2.218,   0.19826
   2.239,   0.19585
   2.261,   0.19511
   2.281,   0.19616
   2.304,   0.19923
   2.324,   0.20375
   2.346,   0.21061
   2.367,   0.21855
   2.389,   0.22914
   2.409,   0.24044
   2.432,   0.25468
   2.452,   0.26927
   2.474,   0.28707
   2.494,   0.30485
   2.517,   0.32610
   2.537,   0.34692
   2.560,   0.37144
   2.580,   0.39515
   2.602,   0.42274
   2.622,   0.44916
   2.645,   0.47964
   2.665,   0.50861
   2.687,   0.54177
   2.708,   0.57309
   2.730,   0.60873
   2.750,   0.64212
   2.773,   0.67990
   2.793,   0.71511
   2.815,   0.75477
   2.836,   0.79158
   2.858,   0.83283
   2.878,   0.87099
   2.901,   0.91358
   2.921,   0.95283
   2.943,   0.99646
   2.964,   1.03642
   2.986,   1.08069
   3.006,   1.12111
   3.029,   1.16571
   3.049,   1.20632
   3.071,   1.25096
   3.092,   1.29148
   3.114,   1.33587
   3.134,   1.37599
   3.157,   1.41977
   3.177,   1.45915
   3.199,   1.50196
   3.220,   1.54034
   3.242,   1.58190
   3.262,   1.61903
   3.285,   1.65906
   3.305,   1.69468
   3.327,   1.73291
   3.348,   1.76671
   3.370,   1.80281
   3.390,   1.83455
   3.413,   1.86824
   3.433,   1.89771
   3.455,   1.92878
   3.476,   1.95577
   3.498,   1.98401
   3.518,   2.00834
   3.541,   2.03355
   3.561,   2.05500
   3.583,   2.07694
   3.604,   2.09536
   3.626,   2.11390
   3.646,   2.12916
   3.669,   2.14418
   3.689,   2.15619
   3.711,   2.16757
   3.732,   2.17624
   3.754,   2.18390
   3.774,   2.18914
   3.797,   2.19301
   3.817,   2.19481
   3.839,   2.19487
   3.860,   2.19320
   3.882,   2.18947
   3.902,   2.18434
   3.925,   2.17682
   3.945,   2.16827
   3.967,   2.15702
   3.988,   2.14513
   4.010,   2.13024
   4.030,   2.11509
   4.053,   2.09668
   4.073,   2.07837
   4.095,   2.05654
   4.115,   2.03519
   4.138,   2.01009
   4.158,   1.98588
   4.181,   1.95774
   4.201,   1.93085
   4.223,   1.89988
   4.243,   1.87050
   4.266,   1.83690
   4.286,   1.80522
   4.308,   1.76922
   4.329,   1.73545
   4.351,   1.69728
   4.371,   1.66174
   4.394,   1.62177
   4.414,   1.58470
   4.436,   1.54319
   4.457,   1.50485
   4.479,   1.46208
   4.499,   1.42271
   4.522,   1.37896
   4.542,   1.33886
   4.564,   1.29448
   4.585,   1.25399
   4.607,   1.20934
   4.627,   1.16874
   4.650,   1.12414
   4.670,   1.08369
   4.692,   1.03942
   4.713,   0.99940
   4.735,   0.95576
   4.755,   0.91651
   4.778,   0.87387
   4.798,   0.83568
   4.820,   0.79437
   4.841,   0.75751
   4.863,   0.71780
   4.883,   0.68250
   4.906,   0.64466
   4.926,   0.61117
   4.948,   0.57545
   4.969,   0.54408
   4.991,   0.51082
   5.011,   0.48178
   5.034,   0.45120
   5.054,   0.42468
   5.076,   0.39698
   5.097,   0.37316
   5.119,   0.34854
   5.139,   0.32760
   5.162,   0.30622
   5.182,   0.28835
   5.204,   0.27042
   5.225,   0.25572
   5.247,   0.24135
   5.267,   0.22993
   5.290,   0.21921
   5.310,   0.21114
   5.332,   0.20415
   5.353,   0.19951
   5.375,   0.19631
   5.395,   0.19513
   5.418,   0.19574
   5.438,   0.19802
   5.460,   0.20243
   5.481,   0.20816
   5.503,   0.21634
   5.523,   0.22548
   5.546,   0.23739
   5.566,   0.24987
   5.588,   0.26540
   5.609,   0.28112
   5.631,   0.30015
   5.651,   0.31900
   5.673,   0.34140
   5.694,   0.36326
   5.716,   0.38888
   5.736,   0.41361
   5.759,   0.44230
   5.779,   0.46965
   5.802,   0.50112
   5.822,   0.53092
   5.844,   0.56497
   5.864,   0.59701
   5.887,   0.63339
   5.907,   0.66747
   5.929,   0.70596
   5.950,   0.74181
   5.972,   0.78212
   5.992,   0.81944
   6.015,   0.86121
   6.035,   0.89975
   6.057,   0.94270
   6.078,   0.98219
   6.100,   1.02604
   6.120,   1.06624
   6.143,   1.11069
   6.163,   1.15125
   6.185,   1.19594
   6.206,   1.23654
   6.228,   1.28112
   6.248,   1.32149
   6.271,   1.36566
   6.283,   1.39018
