s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 1.1960343E+000,-1.9612058E+000, 1.0000000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0587018E-002, 1.2164920E+000,-3.9509428E+000, 1.0000000E-001, 6.2000000E+001, 5.3247527E-001, 8.3323001E-015
 2.2232738E-002, 1.2388343E+000,-3.9316826E+000, 1.0000000E-001, 6.2000000E+001, 5.2456231E-001, 3.2536579E-015
 3.2825193E-002, 1.2589994E+000,-3.9076644E+000, 1.0000000E-001, 6.2000000E+001, 5.2784246E-001, 4.7328615E-015
 4.4476892E-002, 1.2809989E+000,-3.8869742E+000, 1.0000000E-001, 6.2000000E+001, 5.2736378E-001, 4.4136996E-015
 5.5094283E-002, 1.3008697E+000,-3.8611363E+000, 1.0000000E-001, 6.2000000E+001, 5.3324144E-001, 8.6606073E-015
 6.6773413E-002, 1.3225245E+000,-3.8390207E+000, 1.0000000E-001, 6.2000000E+001, 5.3314983E-001, 8.4404221E-015
 7.7414027E-002, 1.3420589E+000,-3.8113657E+000, 1.0000000E-001, 6.3000000E+001, 5.3991209E-001, 9.8119341E-015
 8.9118703E-002, 1.3633230E+000,-3.7878669E+000, 1.0000000E-001, 6.3000000E+001, 5.4002624E-001, 9.7791993E-015
 9.9783570E-002, 1.3824845E+000,-3.7584723E+000, 1.0000000E-001, 6.3000000E+001, 5.4015957E-001, 9.7752628E-015
 1.1151492E-001, 1.4033180E+000,-3.7336296E+000, 1.0000000E-001, 6.4000000E+001, 5.3745745E-001, 3.7612468E-015
 1.2220508E-001, 1.4220707E+000,-3.7025668E+000, 1.0000000E-001, 6.4000000E+001, 5.3762661E-001, 3.7714988E-015
 1.3396426E-001, 1.4424345E+000,-3.6764208E+000, 1.0000000E-001, 6.4000000E+001, 5.3783560E-001, 3.7903759E-015
 1.4468076E-001, 1.4607429E+000,-3.6437648E+000, 1.0000000E-001, 6.4000000E+001, 5.3802222E-001, 3.8028532E-015
 1.5646892E-001, 1.4805985E+000,-3.6163578E+000, 1.0000000E-001, 6.4000000E+001, 5.3821163E-001, 3.8065837E-015
 1.6720872E-001, 1.4984211E+000,-3.5821801E+000, 1.0000000E-001, 6.4000000E+001, 5.3843924E-001, 3.8318643E-015
 1.7902251E-001, 1.5177235E+000,-3.5535674E+000, 1.0000000E-001, 6.4000000E+001, 5.3863008E-001, 3.8297008E-015
 1.8978642E-001, 1.5350264E+000,-3.5179683E+000, 1.0000000E-001, 6.4000000E+001, 5.3883432E-001, 3.8383760E-015
 2.0162671E-001, 1.5537388E+000,-3.4881978E+000, 1.0000000E-001, 6.4000000E+001, 5.3903270E-001, 3.8329227E-015
 2.1241578E-001, 1.5704893E+000,-3.4512638E+000, 1.0000000E-001, 6.4000000E+001, 5.3925115E-001, 3.8418885E-015
 2.2428375E-001, 1.5885762E+000,-3.4203847E+000, 1.0000000E-001, 6.4000000E+001, 5.3948104E-001, 3.8438984E-015
 2.3509903E-001, 1.6047425E+000,-3.3822034E+000, 1.0000000E-001, 6.4000000E+001, 5.3970262E-001, 3.8479599E-015
 2.4699585E-001, 1.6221696E+000,-3.3502667E+000, 1.0000000E-001, 6.3000000E+001, 5.4278645E-001, 9.9211315E-015
 2.5783591E-001, 1.6377171E+000,-3.3109238E+000, 1.0000000E-001, 6.3000000E+001, 5.4303192E-001, 9.9370738E-015
 2.6975998E-001, 1.6544471E+000,-3.2779900E+000, 1.0000000E-001, 6.3000000E+001, 5.4322032E-001, 9.8524768E-015
 2.8062401E-001, 1.6693437E+000,-3.2375880E+000, 1.0000000E-001, 6.3000000E+001, 5.4343565E-001, 9.8172067E-015
 2.9257445E-001, 1.6853421E+000,-3.2037185E+000, 1.0000000E-001, 6.3000000E+001, 5.4361045E-001, 9.7001610E-015
 3.0346354E-001, 1.6995596E+000,-3.1623621E+000, 1.0000000E-001, 6.3000000E+001, 5.4386501E-001, 9.6929284E-015
 3.1544154E-001, 1.7147961E+000,-3.1276145E+000, 1.0000000E-001, 6.3000000E+001, 5.4405836E-001, 9.5799837E-015
 3.2635676E-001, 1.7283073E+000,-3.0853999E+000, 1.0000000E-001, 6.3000000E+001, 5.4429798E-001, 9.5400012E-015
 3.3836350E-001, 1.7427528E+000,-3.0498337E+000, 1.0000000E-001, 6.3000000E+001, 5.4451252E-001, 9.4344236E-015
 3.4930483E-001, 1.7555306E+000,-3.0068566E+000, 1.0000000E-001, 6.3000000E+001, 5.4476758E-001, 9.3961038E-015
