Time, u-vel
   0.000,   1.09814
   0.011,   1.12051
   0.017,   1.13112
   0.023,   1.14275
   0.028,   1.15330
   0.034,   1.16486
   0.039,   1.17535
   0.045,   1.18684
   0.051,   1.19726
   0.057,   1.20867
   0.068,   1.23035
   0.074,   1.24061
   0.080,   1.25185
   0.085,   1.26203
   0.091,   1.27318
   0.096,   1.28327
   0.102,   1.29431
   0.108,   1.30430
   0.114,   1.31524
   0.119,   1.32513
   0.131,   1.34575
   0.137,   1.35645
   0.142,   1.36613
   0.148,   1.37671
   0.154,   1.38627
   0.160,   1.39672
   0.165,   1.40616
   0.171,   1.41648
   0.177,   1.42579
   0.183,   1.43597
   0.194,   1.45518
   0.200,   1.46423
   0.206,   1.47411
   0.212,   1.48302
   0.218,   1.49274
   0.223,   1.50151
   0.229,   1.51107
   0.235,   1.51969
   0.241,   1.52908
   0.246,   1.53754
   0.252,   1.54677
   0.258,   1.55507
   0.264,   1.56412
   0.276,   1.58113
   0.281,   1.58910
   0.287,   1.59778
   0.293,   1.60559
   0.299,   1.61408
   0.305,   1.62171
   0.311,   1.63000
   0.316,   1.63746
   0.322,   1.64555
   0.328,   1.65282
   0.334,   1.66072
   0.340,   1.66780
   0.346,   1.67548
   0.358,   1.68985
   0.363,   1.69655
   0.369,   1.70381
   0.375,   1.71031
   0.381,   1.71735
   0.387,   1.72365
   0.393,   1.73047
   0.398,   1.73657
   0.405,   1.74316
   0.410,   1.74905
   0.416,   1.75541
   0.422,   1.76109
   0.428,   1.76722
   0.434,   1.77268
   0.440,   1.77857
   0.452,   1.78948
   0.458,   1.79451
   0.464,   1.79992
   0.469,   1.80473
   0.476,   1.80989
   0.481,   1.81448
   0.488,   1.81940
   0.493,   1.82376
   0.499,   1.82843
   0.505,   1.83256
   0.511,   1.83697
   0.517,   1.84087
   0.523,   1.84504
   0.529,   1.84870
   0.535,   1.85261
   0.541,   1.85604
   0.547,   1.85969
   0.559,   1.86627
   0.565,   1.86923
   0.571,   1.87235
   0.577,   1.87508
   0.583,   1.87794
   0.589,   1.88042
   0.595,   1.88301
   0.601,   1.88525
   0.607,   1.88758
   0.613,   1.88958
   0.619,   1.89164
   0.625,   1.89339
   0.631,   1.89519
   0.637,   1.89669
   0.643,   1.89822
   0.649,   1.89948
   0.655,   1.90074
   0.661,   1.90176
   0.667,   1.90275
   0.673,   1.90352
   0.680,   1.90424
   0.685,   1.90477
   0.692,   1.90521
   0.697,   1.90550
   0.704,   1.90567
   0.716,   1.90562
   0.722,   1.90541
   0.728,   1.90505
   0.734,   1.90460
   0.740,   1.90397
   0.746,   1.90327
   0.752,   1.90237
   0.758,   1.90143
   0.765,   1.90027
   0.771,   1.89908
   0.777,   1.89765
   0.783,   1.89623
   0.789,   1.89453
   0.795,   1.89287
   0.801,   1.89091
   0.807,   1.88901
   0.814,   1.88678
   0.820,   1.88464
   0.826,   1.88216
   0.832,   1.87979
   0.838,   1.87705
   0.844,   1.87444
   0.851,   1.87144
   0.856,   1.86860
   0.863,   1.86535
   0.869,   1.86227
   0.875,   1.85877
   0.881,   1.85547
   0.888,   1.85172
   0.893,   1.84819
   0.900,   1.84419
   0.906,   1.84044
   0.912,   1.83620
   0.918,   1.83223
   0.925,   1.82774
   0.931,   1.82356
   0.937,   1.81883
   0.943,   1.81443
   0.949,   1.80947
   0.955,   1.80486
   0.962,   1.79967
   0.968,   1.79485
   0.974,   1.78943
   0.980,   1.78440
   0.987,   1.77876
   0.993,   1.77353
   0.999,   1.76767
   1.012,   1.75616
   1.018,   1.75054
   1.024,   1.74425
   1.030,   1.73843
   1.037,   1.73194
   1.043,   1.72593
   1.049,   1.71923
   1.055,   1.71305
   1.062,   1.70615
   1.068,   1.69978
   1.074,   1.69269
   1.080,   1.68615
   1.087,   1.67887
   1.093,   1.67216
   1.100,   1.66469
   1.106,   1.65781
   1.112,   1.65017
   1.118,   1.64313
   1.125,   1.63531
   1.131,   1.62812
   1.137,   1.62012
   1.144,   1.61278
   1.150,   1.60462
   1.156,   1.59713
   1.163,   1.58882
   1.169,   1.58119
   1.175,   1.57272
   1.182,   1.56495
   1.188,   1.55634
   1.194,   1.54844
   1.201,   1.53968
   1.207,   1.53166
   1.214,   1.52276
   1.220,   1.51462
   1.226,   1.50560
   1.232,   1.49734
   1.239,   1.48819
   1.245,   1.47982
   1.252,   1.47056
   1.258,   1.46208
   1.265,   1.45271
   1.271,   1.44414
   1.277,   1.43466
   1.284,   1.42600
   1.290,   1.41642
   1.296,   1.40767
   1.303,   1.39800
   1.309,   1.38917
   1.316,   1.37942
   1.322,   1.37051
   1.329,   1.36068
   1.335,   1.35170
   1.342,   1.34180
   1.348,   1.33276
   1.355,   1.32279
   1.361,   1.31369
   1.367,   1.30367
   1.374,   1.29452
   1.380,   1.28444
   1.386,   1.27525
   1.393,   1.26513
   1.399,   1.25590
   1.406,   1.24573
   1.412,   1.23647
   1.419,   1.22628
   1.425,   1.21699
   1.432,   1.20677
   1.438,   1.19747
   1.445,   1.18723
   1.451,   1.17792
   1.458,   1.16767
   1.464,   1.15834
   1.471,   1.14809
   1.477,   1.13877
   1.484,   1.12852
   1.490,   1.11920
   1.497,   1.10896
   1.503,   1.09966
   1.510,   1.08944
   1.516,   1.08015
   1.523,   1.06995
   1.530,   1.05978
   1.537,   1.04962
   1.544,   1.03950
   1.551,   1.02940
   1.558,   1.01933
   1.564,   1.00929
   1.571,   0.99928
   1.578,   0.98930
   1.585,   0.97937
   1.592,   0.96947
   1.599,   0.95960
   1.606,   0.94979
   1.612,   0.94001
   1.619,   0.93028
   1.626,   0.92059
   1.633,   0.91096
   1.640,   0.90137
   1.647,   0.89183
   1.653,   0.88235
   1.660,   0.87292
   1.667,   0.86355
   1.674,   0.85424
   1.681,   0.84499
   1.688,   0.83579
   1.695,   0.82667
   1.701,   0.81760
   1.708,   0.80860
   1.715,   0.79967
   1.722,   0.79081
   1.729,   0.78201
   1.736,   0.77329
   1.743,   0.76465
   1.749,   0.75607
   1.756,   0.74758
   1.763,   0.73916
   1.770,   0.73082
   1.777,   0.72256
   1.784,   0.71438
   1.790,   0.70628
   1.797,   0.69827
   1.804,   0.69035
   1.811,   0.68251
   1.818,   0.67476
   1.825,   0.66709
