Time, u-vel
   0.000,   1.76537
   0.020,   1.79953
   0.043,   1.83596
   0.063,   1.86803
   0.086,   1.90204
   0.106,   1.93191
   0.129,   1.96338
   0.150,   1.99078
   0.172,   2.01942
   0.193,   2.04416
   0.216,   2.06978
   0.237,   2.09169
   0.260,   2.11410
   0.281,   2.13302
   0.304,   2.15207
   0.325,   2.16783
   0.348,   2.18333
   0.369,   2.19580
   0.392,   2.20765
   0.413,   2.21675
   0.437,   2.22485
   0.458,   2.23051
   0.482,   2.23482
   0.503,   2.23699
   0.527,   2.23746
   0.548,   2.23613
   0.572,   2.23275
   0.593,   2.22793
   0.617,   2.22076
   0.639,   2.21250
   0.663,   2.20158
   0.684,   2.18994
   0.709,   2.17535
   0.730,   2.16044
   0.755,   2.14234
   0.777,   2.12430
   0.801,   2.10284
   0.823,   2.08182
   0.847,   2.05718
   0.869,   2.03335
   0.894,   2.00573
   0.916,   1.97929
   0.941,   1.94894
   0.963,   1.92015
   0.988,   1.88738
   1.010,   1.85650
   1.035,   1.82157
   1.058,   1.78884
   1.083,   1.75204
   1.105,   1.71774
   1.130,   1.67938
   1.153,   1.64389
   1.178,   1.60439
   1.201,   1.56800
   1.226,   1.52769
   1.249,   1.49071
   1.275,   1.44994
   1.298,   1.41267
   1.323,   1.37178
   1.347,   1.33464
   1.372,   1.29407
   1.396,   1.25738
   1.421,   1.21750
   1.445,   1.18157
   1.471,   1.14271
   1.494,   1.10786
   1.520,   1.07035
   1.544,   1.03695
   1.570,   1.00120
   1.594,   0.96955
   1.620,   0.93588
   1.644,   0.90625
   1.670,   0.87495
   1.694,   0.84759
   1.720,   0.81893
   1.745,   0.79413
   1.771,   0.76841
   1.795,   0.74639
   1.822,   0.72384
   1.846,   0.70478
   1.873,   0.68557
   1.898,   0.66964
   1.924,   0.65393
   1.949,   0.64127
   1.976,   0.62921
   2.001,   0.61992
   2.028,   0.61160
   2.053,   0.60573
   2.080,   0.60118
   2.105,   0.59876
   2.132,   0.59800
   2.157,   0.59902
   2.185,   0.60200
   2.210,   0.60641
   2.237,   0.61307
   2.263,   0.62077
   2.290,   0.63099
   2.316,   0.64188
   2.344,   0.65551
   2.369,   0.66940
   2.397,   0.68622
   2.423,   0.70292
   2.451,   0.72270
   2.477,   0.74200
   2.505,   0.76449
   2.531,   0.78613
   2.559,   0.81103
   2.585,   0.83468
   2.613,   0.86164
   2.639,   0.88702
   2.668,   0.91570
   2.694,   0.94250
   2.723,   0.97254
   2.749,   1.00038
   2.778,   1.03137
   2.805,   1.05989
   2.834,   1.09141
   2.860,   1.12025
   2.889,   1.15193
   2.916,   1.18074
   2.945,   1.21218
   2.972,   1.24054
   3.001,   1.27127
   3.028,   1.29883
   3.058,   1.32849
   3.085,   1.35491
   3.114,   1.38314
   3.141,   1.40806
   3.171,   1.43447
   3.198,   1.45757
   3.228,   1.48180
   3.256,   1.50280
   3.286,   1.52456
   3.313,   1.54319
   3.343,   1.56223
   3.371,   1.57822
   3.401,   1.59425
   3.429,   1.60742
   3.459,   1.62026
   3.487,   1.63046
   3.518,   1.63996
   3.545,   1.64705
   3.576,   1.65309
   3.604,   1.65699
   3.635,   1.65952
   3.663,   1.66021
   3.694,   1.65920
   3.722,   1.65668
   3.754,   1.65217
   3.782,   1.64651
   3.813,   1.63859
   3.842,   1.62988
   3.873,   1.61870
   3.902,   1.60708
   3.933,   1.59280
   3.962,   1.57846
   3.994,   1.56132
   4.022,   1.54449
   4.054,   1.52476
   4.083,   1.50570
   4.115,   1.48367
   4.144,   1.46266
   4.176,   1.43867
   4.205,   1.41607
   4.238,   1.39051
   4.267,   1.36663
   4.299,   1.33987
   4.329,   1.31506
   4.361,   1.28748
   4.391,   1.26217
   4.423,   1.23424
   4.453,   1.20877
   4.486,   1.18089
   4.515,   1.15564
   4.548,   1.12820
   4.578,   1.10358
   4.611,   1.07703
   4.641,   1.05339
   4.674,   1.02811
   4.704,   1.00578
   4.738,   0.98212
   4.768,   0.96144
   4.801,   0.93978
   4.832,   0.92105
   4.865,   0.90168
   4.896,   0.88516
   4.929,   0.86833
   4.960,   0.85425
   4.994,   0.84021
   5.024,   0.82875
   5.058,   0.81768
   5.089,   0.80898
   5.123,   0.80099
   5.154,   0.79515
   5.188,   0.79032
   5.220,   0.78737
   5.254,   0.78573
   5.285,   0.78567
   5.319,   0.78718
   5.351,   0.78996
   5.385,   0.79453
   5.417,   0.80003
   5.451,   0.80752
   5.483,   0.81561
   5.518,   0.82582
   5.550,   0.83630
   5.584,   0.84901
   5.616,   0.86162
   5.651,   0.87654
   5.683,   0.89103
   5.718,   0.90785
   5.751,   0.92392
   5.786,   0.94229
   5.818,   0.95959
   5.853,   0.97913
   5.886,   0.99733
   5.921,   1.01765
   5.954,   1.03638
   5.989,   1.05709
   6.022,   1.07598
   6.058,   1.09665
   6.090,   1.11533
   6.126,   1.13559
   6.159,   1.15371
   6.195,   1.17315
   6.228,   1.19035
   6.264,   1.20861
   6.283,   1.21783
