s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 1.3901806E+000,-1.8421861E+000, 1.0000000E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0303848E-002, 1.4288395E+000,-3.8054165E+000, 1.0000000E-010, 4.2000000E+001, 4.0761379E-001, 7.2900093E-015
 4.2638080E-002, 1.4709414E+000,-3.7799467E+000, 1.0000000E-010, 4.2000000E+001, 4.0984159E-001, 8.9716129E-015
 6.2955459E-002, 1.5087872E+000,-3.7419126E+000, 1.0000000E-010, 4.2000000E+001, 4.1063192E-001, 9.5225400E-015
 8.5304575E-002, 1.5498492E+000,-3.7106115E+000, 1.0000000E-010, 4.3000000E+001, 4.1174316E-001, 4.2843182E-015
 1.0563533E-001, 1.5866179E+000,-3.6655175E+000, 1.0000000E-010, 4.3000000E+001, 4.1262055E-001, 4.5821153E-015
 1.2799916E-001, 1.6263533E+000,-3.6284621E+000, 1.0000000E-010, 4.3000000E+001, 4.1345827E-001, 4.8617230E-015
 1.4830918E-001, 1.6617293E+000,-3.5765479E+000, 1.0000000E-010, 4.3000000E+001, 4.1387493E-001, 4.9421471E-015
 1.7065019E-001, 1.6997980E+000,-3.5339290E+000, 1.0000000E-010, 4.3000000E+001, 4.1441646E-001, 5.0708045E-015
 1.9095208E-001, 1.7335619E+000,-3.4757521E+000, 1.0000000E-010, 4.3000000E+001, 4.1487954E-001, 5.1686620E-015
 2.1328416E-001, 1.7697281E+000,-3.4277308E+000, 1.0000000E-010, 4.3000000E+001, 4.1522302E-001, 5.1854380E-015
 2.3359050E-001, 1.8016683E+000,-3.3637041E+000, 1.0000000E-010, 4.3000000E+001, 4.1546666E-001, 5.1600242E-015
 2.5592748E-001, 1.8357047E+000,-3.3104726E+000, 1.0000000E-010, 4.3000000E+001, 4.1576059E-001, 5.1457589E-015
 2.7625085E-001, 1.8656175E+000,-3.2410434E+000, 1.0000000E-010, 4.3000000E+001, 4.1584079E-001, 5.0335013E-015
 2.9860655E-001, 1.8973060E+000,-3.1828275E+000, 1.0000000E-010, 4.3000000E+001, 4.1591901E-001, 4.9108336E-015
 3.1893027E-001, 1.9249569E+000,-3.1084236E+000, 1.0000000E-010, 4.3000000E+001, 4.1572749E-001, 4.6756455E-015
 3.4128636E-001, 1.9540496E+000,-3.0455797E+000, 1.0000000E-010, 4.3000000E+001, 4.1493667E-001, 4.1773505E-015
 3.6159285E-001, 1.9792258E+000,-2.9668401E+000, 1.0000000E-010, 4.3000000E+001, 4.1349912E-001, 3.5032344E-015
 3.8392999E-001, 2.0055004E+000,-2.8997929E+000, 1.0000000E-010, 4.3000000E+001, 4.1079368E-001, 2.5705859E-015
 4.0423184E-001, 2.0280480E+000,-2.8174602E+000, 1.0000000E-010, 4.2000000E+001, 4.1562333E-001, 9.9921831E-015
