s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 1.3901806E+000,-1.8421861E+000, 1.0000000E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0303848E-002, 1.4288395E+000,-3.8054165E+000, 1.0000000E-010, 4.2000000E+001, 4.0776108E-001, 7.4014692E-015
 4.2638080E-002, 1.4709414E+000,-3.7799467E+000, 1.0000000E-010, 4.2000000E+001, 4.0990578E-001, 9.0308208E-015
 6.2955459E-002, 1.5087872E+000,-3.7419126E+000, 1.0000000E-010, 4.2000000E+001, 4.1064498E-001, 9.5352705E-015
 8.5304575E-002, 1.5498492E+000,-3.7106115E+000, 1.0000000E-010, 4.2000000E+001, 4.1131434E-001, 9.9597446E-015
 1.0563533E-001, 1.5866179E+000,-3.6655175E+000, 1.0000000E-010, 4.3000000E+001, 4.1255406E-001, 4.5504703E-015
 1.2799916E-001, 1.6263533E+000,-3.6284621E+000, 1.0000000E-010, 4.3000000E+001, 4.1338762E-001, 4.8261284E-015
 1.4830918E-001, 1.6617293E+000,-3.5765479E+000, 1.0000000E-010, 4.3000000E+001, 4.1386944E-001, 4.9393301E-015
 1.7065019E-001, 1.6997980E+000,-3.5339290E+000, 1.0000000E-010, 4.3000000E+001, 4.1440812E-001, 5.0664154E-015
 1.9095208E-001, 1.7335619E+000,-3.4757521E+000, 1.0000000E-010, 4.3000000E+001, 4.1482928E-001, 5.1418070E-015
 2.1328416E-001, 1.7697281E+000,-3.4277308E+000, 1.0000000E-010, 4.3000000E+001, 4.1522522E-001, 5.1866219E-015
 2.3359050E-001, 1.8016683E+000,-3.3637041E+000, 1.0000000E-010, 4.3000000E+001, 4.1546847E-001, 5.1609922E-015
 2.5592748E-001, 1.8357047E+000,-3.3104726E+000, 1.0000000E-010, 4.3000000E+001, 4.1571595E-001, 5.1220530E-015
 2.7625085E-001, 1.8656175E+000,-3.2410434E+000, 1.0000000E-010, 4.3000000E+001, 4.1594131E-001, 5.0860874E-015
 2.9860655E-001, 1.8973060E+000,-3.1828275E+000, 1.0000000E-010, 4.3000000E+001, 4.1585540E-001, 4.8786430E-015
 3.1893027E-001, 1.9249569E+000,-3.1084236E+000, 1.0000000E-010, 4.3000000E+001, 4.1565959E-001, 4.6429247E-015
 3.4128636E-001, 1.9540496E+000,-3.0455797E+000, 1.0000000E-010, 4.3000000E+001, 4.1494456E-001, 4.1807681E-015
 3.6159285E-001, 1.9792258E+000,-2.9668401E+000, 1.0000000E-010, 4.3000000E+001, 4.1346414E-001, 3.4905145E-015
 3.8392999E-001, 2.0055004E+000,-2.8997929E+000, 1.0000000E-010, 4.3000000E+001, 4.1082156E-001, 2.5780983E-015
 4.0423184E-001, 2.0280480E+000,-2.8174602E+000, 1.0000000E-010, 4.2000000E+001, 4.1555767E-001, 9.9260956E-015
