Time, u-vel
   0.000,   1.09814
   0.011,   1.12075
   0.017,   1.13150
   0.023,   1.14332
   0.028,   1.15405
   0.034,   1.16584
   0.039,   1.17655
   0.045,   1.18831
   0.051,   1.19898
   0.057,   1.21070
   0.068,   1.23301
   0.073,   1.24360
   0.079,   1.25523
   0.085,   1.26577
   0.091,   1.27734
   0.096,   1.28783
   0.102,   1.29933
   0.107,   1.30976
   0.113,   1.32120
   0.125,   1.34292
   0.130,   1.35322
   0.136,   1.36450
   0.141,   1.37472
   0.147,   1.38591
   0.153,   1.39605
   0.159,   1.40715
   0.164,   1.41720
   0.170,   1.42821
   0.181,   1.44907
   0.187,   1.45893
   0.193,   1.46972
   0.198,   1.47949
   0.204,   1.49016
   0.209,   1.49982
   0.215,   1.51038
   0.221,   1.51992
   0.227,   1.53036
   0.238,   1.55009
   0.243,   1.55939
   0.249,   1.56956
   0.255,   1.57874
   0.260,   1.58877
   0.266,   1.59782
   0.272,   1.60770
   0.277,   1.61661
   0.283,   1.62634
   0.294,   1.64469
   0.300,   1.65332
   0.306,   1.66273
   0.311,   1.67121
   0.317,   1.68045
   0.323,   1.68878
   0.328,   1.69786
   0.334,   1.70603
   0.340,   1.71493
   0.351,   1.73165
   0.356,   1.73950
   0.362,   1.74803
   0.368,   1.75570
   0.374,   1.76405
   0.379,   1.77155
   0.385,   1.77970
   0.390,   1.78702
   0.396,   1.79498
   0.408,   1.80987
   0.413,   1.81683
   0.419,   1.82438
   0.424,   1.83115
   0.430,   1.83848
   0.436,   1.84506
   0.442,   1.85219
   0.447,   1.85857
   0.453,   1.86548
   0.464,   1.87835
   0.470,   1.88433
   0.476,   1.89079
   0.481,   1.89657
   0.487,   1.90280
   0.492,   1.90837
   0.498,   1.91438
   0.504,   1.91973
   0.510,   1.92551
   0.521,   1.93619
   0.526,   1.94112
   0.532,   1.94642
   0.538,   1.95112
   0.544,   1.95618
   0.549,   1.96067
   0.555,   1.96548
   0.560,   1.96975
   0.566,   1.97431
   0.578,   1.98267
   0.583,   1.98648
   0.589,   1.99054
   0.594,   1.99413
   0.600,   1.99794
   0.606,   2.00129
   0.612,   2.00484
   0.617,   2.00796
   0.623,   2.01126
   0.628,   2.01414
   0.640,   2.01983
   0.646,   2.02261
   0.651,   2.02502
   0.657,   2.02753
   0.662,   2.02970
   0.668,   2.03196
   0.674,   2.03389
   0.680,   2.03588
   0.685,   2.03757
   0.696,   2.04074
   0.702,   2.04220
   0.708,   2.04340
   0.714,   2.04459
   0.719,   2.04555
   0.725,   2.04648
   0.730,   2.04720
   0.736,   2.04785
   0.742,   2.04832
   0.753,   2.04894
   0.759,   2.04906
   0.764,   2.04904
   0.770,   2.04889
   0.776,   2.04864
   0.781,   2.04822
   0.787,   2.04771
   0.793,   2.04703
   0.798,   2.04628
   0.810,   2.04433
   0.815,   2.04311
   0.821,   2.04187
   0.827,   2.04038
   0.832,   2.03891
   0.838,   2.03715
   0.844,   2.03543
   0.849,   2.03341
   0.855,   2.03145
   0.866,   2.02697
   0.872,   2.02442
   0.877,   2.02198
   0.883,   2.01917
   0.889,   2.01650
   0.895,   2.01343
   0.900,   2.01052
   0.906,   2.00719
   0.911,   2.00404
   0.917,   2.00045
   0.929,   1.99323
   0.934,   1.98962
   0.940,   1.98553
   0.945,   1.98169
   0.951,   1.97734
   0.957,   1.97328
   0.963,   1.96868
   0.968,   1.96439
   0.974,   1.95955
   0.985,   1.94995
   0.991,   1.94521
   0.997,   1.93988
   1.002,   1.93493
   1.008,   1.92937
   1.013,   1.92420
   1.019,   1.91839
   1.025,   1.91301
   1.031,   1.90698
   1.042,   1.89512
   1.047,   1.88932
   1.053,   1.88283
   1.059,   1.87682
   1.065,   1.87011
   1.070,   1.86390
   1.076,   1.85697
   1.081,   1.85056
   1.087,   1.84341
   1.099,   1.82945
   1.104,   1.82266
   1.110,   1.81508
   1.115,   1.80811
   1.121,   1.80033
   1.127,   1.79317
   1.133,   1.78519
   1.138,   1.77784
   1.144,   1.76967
   1.155,   1.75378
   1.161,   1.74608
   1.167,   1.73753
   1.172,   1.72966
   1.178,   1.72092
   1.183,   1.71289
   1.189,   1.70397
   1.195,   1.69578
   1.201,   1.68669
   1.212,   1.66908
   1.217,   1.66058
   1.223,   1.65115
   1.229,   1.64250
   1.235,   1.63291
   1.240,   1.62412
   1.246,   1.61437
   1.251,   1.60544
   1.257,   1.59554
   1.269,   1.57643
   1.274,   1.56724
   1.280,   1.55705
   1.285,   1.54773
   1.291,   1.53741
   1.297,   1.52797
   1.302,   1.51752
   1.308,   1.50796
   1.314,   1.49739
   1.325,   1.47703
   1.331,   1.46726
   1.336,   1.45645
   1.342,   1.44657
   1.348,   1.43566
   1.353,   1.42569
   1.359,   1.41467
   1.365,   1.40461
   1.370,   1.39349
   1.382,   1.37214
   1.387,   1.36192
   1.393,   1.35062
   1.398,   1.34032
   1.404,   1.32895
   1.410,   1.31858
   1.416,   1.30714
   1.421,   1.29670
   1.427,   1.28519
   1.438,   1.26312
   1.444,   1.25257
   1.450,   1.24094
   1.455,   1.23034
   1.461,   1.21866
   1.466,   1.20802
   1.472,   1.19629
   1.478,   1.18562
   1.484,   1.17385
   1.495,   1.15135
   1.500,   1.14061
   1.506,   1.12879
   1.512,   1.11803
   1.518,   1.10619
   1.523,   1.09542
   1.529,   1.08356
   1.534,   1.07278
   1.540,   1.06092
   1.546,   1.05013
   1.557,   1.02748
   1.563,   1.01562
   1.568,   1.00484
   1.574,   0.99299
   1.580,   0.98223
   1.586,   0.97039
   1.591,   0.95964
   1.597,   0.94783
   1.602,   0.93711
   1.614,   0.91463
   1.620,   0.90288
   1.625,   0.89222
   1.631,   0.88051
   1.636,   0.86989
   1.642,   0.85823
   1.648,   0.84765
   1.654,   0.83604
   1.659,   0.82552
   1.670,   0.80350
   1.676,   0.79201
