Time, u-vel
   0.000,   1.76537
   0.020,   1.80256
   0.043,   1.84267
   0.063,   1.87836
   0.085,   1.91667
   0.106,   1.95060
   0.128,   1.98683
   0.148,   2.01869
   0.171,   2.05253
   0.191,   2.08212
   0.213,   2.11333
   0.234,   2.14045
   0.256,   2.16883
   0.276,   2.19330
   0.299,   2.21866
   0.319,   2.24027
   0.341,   2.26240
   0.362,   2.28098
   0.384,   2.29971
   0.404,   2.31514
   0.427,   2.33034
   0.447,   2.34253
   0.469,   2.35410
   0.490,   2.36295
   0.512,   2.37081
   0.532,   2.37623
   0.555,   2.38031
   0.575,   2.38228
   0.597,   2.38255
   0.618,   2.38106
   0.640,   2.37753
   0.660,   2.37259
   0.683,   2.36526
   0.703,   2.35690
   0.725,   2.34583
   0.746,   2.33411
   0.768,   2.31941
   0.788,   2.30443
   0.811,   2.28619
   0.831,   2.26805
   0.853,   2.24640
   0.873,   2.22521
   0.896,   2.20030
   0.916,   2.17622
   0.939,   2.14823
   0.959,   2.12147
   0.981,   2.09063
   1.001,   2.06138
   1.024,   2.02791
   1.044,   1.99636
   1.066,   1.96048
   1.087,   1.92684
   1.109,   1.88879
   1.129,   1.85333
   1.152,   1.81342
   1.172,   1.77643
   1.194,   1.73499
   1.215,   1.69670
   1.237,   1.65400
   1.257,   1.61469
   1.280,   1.57100
   1.300,   1.53092
   1.322,   1.48655
   1.343,   1.44606
   1.365,   1.40141
   1.385,   1.36081
   1.408,   1.31619
   1.428,   1.27574
   1.450,   1.23145
   1.471,   1.19142
   1.493,   1.14775
   1.513,   1.10843
   1.536,   1.06570
   1.556,   1.02745
   1.578,   0.98605
   1.599,   0.94911
   1.621,   0.90931
   1.641,   0.87394
   1.664,   0.83600
   1.684,   0.80243
   1.706,   0.76661
   1.727,   0.73510
   1.749,   0.70169
   1.769,   0.67252
   1.792,   0.64178
   1.812,   0.61513
   1.834,   0.58728
   1.855,   0.56332
   1.877,   0.53854
   1.897,   0.51744
   1.920,   0.49589
   1.940,   0.47785
   1.962,   0.45973
   1.983,   0.44486
   2.005,   0.43030
   2.025,   0.41870
   2.048,   0.40779
   2.068,   0.39955
   2.090,   0.39236
   2.111,   0.38754
   2.133,   0.38413
   2.153,   0.38277
   2.176,   0.38318
   2.196,   0.38528
   2.218,   0.38949
   2.239,   0.39504
   2.261,   0.40302
   2.281,   0.41199
   2.304,   0.42369
   2.324,   0.43601
   2.346,   0.45136
   2.367,   0.46691
   2.389,   0.48577
   2.409,   0.50446
   2.432,   0.52669
   2.452,   0.54839
   2.474,   0.57384
   2.494,   0.59840
   2.517,   0.62692
   2.537,   0.65415
   2.560,   0.68550
   2.580,   0.71518
   2.602,   0.74910
   2.622,   0.78102
   2.645,   0.81729
   2.665,   0.85125
   2.687,   0.88962
   2.708,   0.92539
   2.730,   0.96562
   2.750,   1.00288
   2.773,   1.04459
   2.793,   1.08308
   2.815,   1.12598
   2.836,   1.16543
   2.858,   1.20923
   2.878,   1.24937
   2.901,   1.29379
   2.921,   1.33436
   2.943,   1.37907
   2.964,   1.41969
   2.986,   1.46429
   3.006,   1.50468
   3.029,   1.54887
   3.049,   1.58877
   3.071,   1.63226
   3.092,   1.67140
   3.114,   1.71390
   3.134,   1.75197
   3.157,   1.79315
   3.177,   1.82984
   3.199,   1.86934
   3.220,   1.90440
   3.242,   1.94197
   3.262,   1.97517
   3.285,   2.01056
   3.305,   2.04167
   3.327,   2.07464
   3.348,   2.10340
   3.370,   2.13366
   3.390,   2.15985
   3.413,   2.18717
   3.433,   2.21062
   3.455,   2.23484
   3.476,   2.25539
   3.498,   2.27633
   3.518,   2.29383
   3.541,   2.31135
   3.561,   2.32565
   3.583,   2.33958
   3.604,   2.35058
   3.626,   2.36084
   3.646,   2.36847
   3.669,   2.37499
   3.689,   2.37920
   3.711,   2.38193
   3.732,   2.38268
   3.754,   2.38160
   3.774,   2.37888
   3.797,   2.37400
   3.817,   2.36784
   3.839,   2.35920
   3.860,   2.34964
   3.882,   2.33729
   3.902,   2.32440
   3.925,   2.30842
   3.945,   2.29229
   3.967,   2.27281
   3.988,   2.25358
   4.010,   2.23076
   4.030,   2.20855
   4.053,   2.18255
   4.073,   2.15752
   4.095,   2.12851
   4.115,   2.10081
   4.138,   2.06898
   4.158,   2.03887
   4.181,   2.00449
   4.201,   1.97219
   4.223,   1.93553
   4.243,   1.90125
   4.266,   1.86255
   4.286,   1.82652
   4.308,   1.78604
   4.329,   1.74851
   4.351,   1.70652
   4.371,   1.66782
   4.394,   1.62472
   4.414,   1.58514
   4.436,   1.54121
   4.457,   1.50099
   4.479,   1.45653
   4.499,   1.41596
   4.522,   1.37126
   4.542,   1.33063
   4.564,   1.28603
   4.585,   1.24570
   4.607,   1.20159
   4.627,   1.16182
   4.650,   1.11850
   4.670,   1.07955
   4.692,   1.03729
   4.713,   0.99944
   4.735,   0.95853
   4.755,   0.92209
   4.778,   0.88288
   4.798,   0.84813
   4.820,   0.81092
   4.841,   0.77809
   4.863,   0.74313
   4.883,   0.71243
   4.906,   0.67995
   4.926,   0.65161
   4.948,   0.62183
   4.969,   0.59610
   4.991,   0.56930
   5.011,   0.54635
   5.034,   0.52271
   5.054,   0.50270
   5.076,   0.48237
   5.097,   0.46543
   5.119,   0.44855
   5.139,   0.43481
   5.162,   0.42151
   5.182,   0.41110
   5.204,   0.40149
   5.225,   0.39447
   5.247,   0.38862
   5.267,   0.38502
   5.290,   0.38296
   5.310,   0.38283
   5.332,   0.38458
   5.353,   0.38791
   5.375,   0.39347
   5.395,   0.40023
   5.418,   0.40954
   5.438,   0.41969
   5.460,   0.43268
   5.481,   0.44614
   5.503,   0.46274
   5.523,   0.47943
   5.546,   0.49952
   5.566,   0.51931
   5.588,   0.54271
   5.609,   0.56544
   5.631,   0.59199
   5.651,   0.61749
   5.673,   0.64700
   5.694,   0.67511
   5.716,   0.70739
   5.736,   0.73794
   5.759,   0.77277
   5.779,   0.80546
   5.802,   0.84252
   5.822,   0.87713
   5.844,   0.91615
   5.864,   0.95245
   5.887,   0.99319
   5.907,   1.03093
   5.929,   1.07311
   5.950,   1.11201
   5.972,   1.15532
   5.992,   1.19505
   6.015,   1.23911
   6.035,   1.27940
   6.057,   1.32391
   6.078,   1.36450
   6.100,   1.40917
   6.120,   1.44977
   6.143,   1.49430
   6.163,   1.53459
   6.185,   1.57861
   6.206,   1.61826
   6.228,   1.66143
   6.248,   1.70018
   6.271,   1.74220
   6.283,   1.76537
