Time, u-vel
   0.000,   1.19603
   0.011,   1.21662
   0.022,   1.23911
   0.033,   1.25940
   0.044,   1.28154
   0.055,   1.30154
   0.067,   1.32332
   0.077,   1.34298
   0.089,   1.36437
   0.100,   1.38365
   0.112,   1.40460
   0.122,   1.42346
   0.134,   1.44394
   0.145,   1.46235
   0.156,   1.48231
   0.167,   1.50023
   0.179,   1.51963
   0.190,   1.53702
   0.202,   1.55582
   0.212,   1.57265
   0.224,   1.59082
   0.235,   1.60705
   0.247,   1.62455
   0.258,   1.64016
   0.270,   1.65694
   0.281,   1.67189
   0.293,   1.68794
   0.303,   1.70219
   0.315,   1.71746
   0.326,   1.73100
   0.338,   1.74547
   0.349,   1.75826
   0.361,   1.77190
   0.372,   1.78392
   0.384,   1.79669
   0.395,   1.80791
   0.407,   1.81980
   0.418,   1.83020
   0.431,   1.84118
   0.442,   1.85075
   0.454,   1.86079
   0.465,   1.86950
   0.477,   1.87859
   0.488,   1.88642
   0.500,   1.89454
   0.511,   1.90148
   0.524,   1.90861
   0.535,   1.91464
   0.547,   1.92078
   0.558,   1.92590
   0.571,   1.93102
   0.582,   1.93521
   0.594,   1.93931
   0.605,   1.94257
   0.618,   1.94564
   0.629,   1.94796
   0.641,   1.95000
   0.652,   1.95138
   0.665,   1.95238
   0.676,   1.95282
   0.689,   1.95278
   0.700,   1.95228
   0.712,   1.95121
   0.724,   1.94977
   0.736,   1.94767
   0.748,   1.94530
   0.760,   1.94218
   0.772,   1.93888
   0.784,   1.93475
   0.796,   1.93053
   0.808,   1.92540
   0.820,   1.92028
   0.832,   1.91416
   0.844,   1.90815
   0.856,   1.90106
   0.868,   1.89417
   0.880,   1.88613
   0.892,   1.87839
   0.905,   1.86942
   0.916,   1.86084
   0.929,   1.85096
   0.941,   1.84156
   0.953,   1.83080
   0.965,   1.82062
   0.978,   1.80900
   0.989,   1.79805
   1.002,   1.78562
   1.014,   1.77393
   1.027,   1.76070
   1.038,   1.74831
   1.051,   1.73432
   1.063,   1.72125
   1.076,   1.70654
   1.088,   1.69283
   1.101,   1.67743
   1.112,   1.66312
   1.125,   1.64707
   1.137,   1.63219
   1.150,   1.61554
   1.162,   1.60012
   1.175,   1.58291
   1.187,   1.56700
   1.200,   1.54927
   1.212,   1.53291
   1.225,   1.51470
   1.237,   1.49793
   1.250,   1.47929
   1.262,   1.46215
   1.275,   1.44314
