s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 0.0000000E+000, 1.3901806E+000,-1.8421861E+000, 1.0000000E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0438901E-002, 1.4273666E+000,-3.8043686E+000, 1.0000000E-001, 4.2000000E+001, 4.0781834E-001, 7.3858831E-015
 4.2921693E-002, 1.4674920E+000,-3.7559972E+000, 1.0000000E-001, 4.2000000E+001, 4.0994969E-001, 8.9208519E-015
 6.3386090E-002, 1.5032430E+000,-3.6938626E+000, 1.0000000E-001, 4.2000000E+001, 4.1053719E-001, 9.2007894E-015
 8.5896926E-002, 1.5416584E+000,-3.6409194E+000, 1.0000000E-001, 4.2000000E+001, 4.1121806E-001, 9.5380629E-015
 1.0646721E-001, 1.5758688E+000,-3.5736221E+000, 1.0000000E-001, 4.2000000E+001, 4.1172722E-001, 9.7268289E-015
 1.2909452E-001, 1.6124577E+000,-3.5162217E+000, 1.0000000E-001, 4.3000000E+001, 4.1319523E-001, 4.4982478E-015
 1.4973813E-001, 1.6448305E+000,-3.4438913E+000, 1.0000000E-001, 4.3000000E+001, 4.1360416E-001, 4.5320696E-015
 1.7244611E-001, 1.6792761E+000,-3.3824516E+000, 1.0000000E-001, 4.3000000E+001, 4.1422565E-001, 4.6471330E-015
 1.9317634E-001, 1.7096051E+000,-3.3058767E+000, 1.0000000E-001, 4.3000000E+001, 4.1467847E-001, 4.6931834E-015
 2.1597959E-001, 1.7416873E+000,-3.2407296E+000, 1.0000000E-001, 4.3000000E+001, 4.1499571E-001, 4.6535979E-015
 2.3681007E-001, 1.7697755E+000,-3.1604996E+000, 1.0000000E-001, 4.3000000E+001, 4.1521721E-001, 4.5824221E-015
 2.5972360E-001, 1.7992848E+000,-3.0920010E+000, 1.0000000E-001, 4.2000000E+001, 4.1463278E-001, 9.9730496E-015
 2.8066823E-001, 1.8249445E+000,-3.0087225E+000, 1.0000000E-001, 4.2000000E+001, 4.1477609E-001, 9.7370098E-015
 3.0370731E-001, 1.8516818E+000,-2.9372550E+000, 1.0000000E-001, 4.2000000E+001, 4.1501775E-001, 9.5723238E-015
 3.2474251E-001, 1.8746951E+000,-2.8515004E+000, 1.0000000E-001, 4.2000000E+001, 4.1466096E-001, 8.8963891E-015
 3.4788122E-001, 1.8984346E+000,-2.7776115E+000, 1.0000000E-001, 4.2000000E+001, 4.1522701E-001, 9.0590308E-015
 3.6899690E-001, 1.9186274E+000,-2.6902086E+000, 1.0000000E-001, 4.2000000E+001, 4.1523785E-001, 8.7644245E-015
 3.9222415E-001, 1.9391906E+000,-2.6144399E+000, 1.0000000E-001, 4.2000000E+001, 4.1523448E-001, 8.4592706E-015
 4.1343434E-001, 1.9564341E+000,-2.5261773E+000, 1.0000000E-001, 4.2000000E+001, 4.1498961E-001, 8.0103207E-015
 4.3676555E-001, 1.9736894E+000,-2.4490109E+000, 1.0000000E-001, 4.2000000E+001, 4.1448219E-001, 7.3871375E-015
 4.5808459E-001, 1.9878690E+000,-2.3605411E+000, 1.0000000E-001, 4.2000000E+001, 4.1404113E-001, 6.8942987E-015
 4.8153552E-001, 2.0017007E+000,-2.2824809E+000, 1.0000000E-001, 4.2000000E+001, 4.1336408E-001, 6.2878764E-015
 5.0297259E-001, 2.0127139E+000,-2.1944465E+000, 1.0000000E-001, 3.9000000E+001, 3.9085227E-001, 9.8391066E-015
 5.2655335E-001, 2.0230210E+000,-2.1160381E+000, 1.0000000E-001, 3.8000000E+001, 3.8002710E-001, 8.5108277E-015
 5.4806549E-001, 2.0307667E+000,-2.0290913E+000, 1.0000000E-001, 3.8000000E+001, 3.7695308E-001, 6.1684862E-015
 5.7172883E-001, 2.0374592E+000,-1.9510961E+000, 1.0000000E-001, 3.8000000E+001, 3.8105237E-001, 9.1948697E-015
 5.9333046E-001, 2.0418980E+000,-1.8661131E+000, 1.0000000E-001, 3.8000000E+001, 3.8134089E-001, 9.3778172E-015
 6.1709225E-001, 2.0449444E+000,-1.7890835E+000, 1.0000000E-001, 3.8000000E+001, 3.8011949E-001, 8.2359068E-015
 6.3879816E-001, 2.0460540E+000,-1.7066432E+000, 1.0000000E-001, 3.8000000E+001, 3.7972848E-001, 7.8705136E-015
 6.6267467E-001, 2.0454418E+000,-1.6311356E+000, 1.0000000E-001, 3.8000000E+001, 3.8089988E-001, 8.7981511E-015
 6.8449992E-001, 2.0432175E+000,-1.5517863E+000, 1.0000000E-001, 3.8000000E+001, 3.8013091E-001, 8.1083513E-015
 7.0850771E-001, 2.0389536E+000,-1.4783582E+000, 1.0000000E-001, 3.8000000E+001, 3.8119564E-001, 8.9752774E-015
 7.3042559E-001, 2.0334207E+000,-1.4026513E+000, 1.0000000E-001, 3.8000000E+001, 3.8186758E-001, 9.5528483E-015
 7.5453527E-001, 2.0255523E+000,-1.3319959E+000, 1.0000000E-001, 4.2000000E+001, 4.1103169E-001, 4.4473701E-015
 7.7653846E-001, 2.0167708E+000,-1.2605451E+000, 1.0000000E-001, 4.2000000E+001, 4.1045888E-001, 4.1732378E-015
 8.0074197E-001, 2.0053797E+000,-1.1932582E+000, 1.0000000E-001, 3.8000000E+001, 3.8229610E-001, 9.8147415E-015
 8.2284570E-001, 1.9934277E+000,-1.1265258E+000, 1.0000000E-001, 4.2000000E+001, 4.1033528E-001, 4.0729890E-015
 8.4715980E-001, 1.9786118E+000,-1.0631018E+000, 1.0000000E-001, 3.8000000E+001, 3.8259304E-001, 9.9798057E-015
 8.6937961E-001, 1.9635854E+000,-1.0014425E+000, 1.0000000E-001, 4.2000000E+001, 4.1046045E-001, 4.0684019E-015
 8.9382140E-001, 1.9454623E+000,-9.4234964E-001, 1.0000000E-001, 4.2000000E+001, 4.1079018E-001, 4.1742185E-015
 9.1615293E-001, 1.9274923E+000,-8.8610023E-001, 1.0000000E-001, 4.1000000E+001, 4.0975446E-001, 9.0878845E-015
 9.4071762E-001, 1.9062205E+000,-8.3182404E-001, 1.0000000E-001, 4.2000000E+001, 4.1121120E-001, 4.2831617E-015
 9.6313114E-001, 1.8854904E+000,-7.8132664E-001, 1.0000000E-001, 4.2000000E+001, 4.1150641E-001, 4.3747662E-015
 9.8778600E-001, 1.8612887E+000,-7.3234982E-001, 1.0000000E-001, 4.1000000E+001, 4.0989923E-001, 8.9663944E-015
 1.0102972E+000, 1.8379713E+000,-6.8782355E-001, 1.0000000E-001, 4.2000000E+001, 4.1180211E-001, 4.4223067E-015
 1.0350595E+000, 1.8110400E+000,-6.4445250E-001, 1.0000000E-001, 4.2000000E+001, 4.1176631E-001, 4.3611816E-015
 1.0576844E+000, 1.7853237E+000,-6.0601016E-001, 1.0000000E-001, 3.8000000E+001, 3.8302743E-001, 9.6113645E-015
 1.0825718E+000, 1.7558797E+000,-5.6850094E-001, 1.0000000E-001, 3.8000000E+001, 3.8283566E-001, 9.3331093E-015
 1.1053236E+000, 1.7279722E+000,-5.3621308E-001, 1.0000000E-001, 3.8000000E+001, 3.8264291E-001, 9.0682063E-015
 1.1303506E+000, 1.6962536E+000,-5.0477239E-001, 1.0000000E-001, 3.8000000E+001, 3.7990938E-001, 6.8357721E-015
 1.1531820E+000, 1.6664591E+000,-4.7872681E-001, 1.0000000E-001, 3.8000000E+001, 3.8031786E-001, 7.0542196E-015
 1.1782965E+000, 1.6328145E+000,-4.5355900E-001, 1.0000000E-001, 3.8000000E+001, 3.8153586E-001, 7.8879301E-015
 1.2012237E+000, 1.6013808E+000,-4.3369350E-001, 1.0000000E-001, 3.8000000E+001, 3.8029793E-001, 6.9090557E-015
