s,m3/s,m3/s,m/s,,s
Time,"flow_in","flow_out","error","iter","cpu"
 5.1312960E+000, 9.9972252E-001, 9.7638210E-001, 9.8916278E-004, 1.0000000E+001, 3.1660883E+002
 5.2299755E+000, 9.9973656E-001, 9.7368860E-001, 9.7803059E-004, 1.2000000E+001, 3.1779819E+002
 5.3286551E+000, 9.9975702E-001, 9.7120563E-001, 9.5416106E-004, 1.4000000E+001, 3.1894284E+002
 5.4273346E+000, 9.9978134E-001, 9.6898941E-001, 9.3705187E-004, 1.6000000E+001, 3.2013419E+002
 5.5260141E+000, 9.9980684E-001, 9.6720212E-001, 9.4752215E-004, 1.8000000E+001, 3.2139591E+002
 5.6246936E+000, 9.9983209E-001, 9.6601382E-001, 9.8068589E-004, 2.0000000E+001, 3.2272476E+002
 5.7233731E+000, 9.9985570E-001, 9.6554176E-001, 9.9726684E-004, 2.2000000E+001, 3.2414389E+002
 5.8220526E+000, 9.9987588E-001, 9.6573232E-001, 9.9944158E-004, 2.1000000E+001, 3.2556247E+002
 5.9207321E+000, 9.9989237E-001, 9.6650126E-001, 9.7405397E-004, 2.1000000E+001, 3.2695005E+002
 6.0194116E+000, 9.9990668E-001, 9.6779677E-001, 9.8334076E-004, 2.1000000E+001, 3.2833710E+002
 6.1180911E+000, 9.9992001E-001, 9.6953753E-001, 9.9636227E-004, 1.9000000E+001, 3.2971649E+002
 6.2167706E+000, 9.9993195E-001, 9.7159322E-001, 9.9418170E-004, 1.7000000E+001, 3.3103171E+002
 6.3154502E+000, 9.9994112E-001, 9.7382896E-001, 9.9852791E-004, 1.5000000E+001, 3.3229267E+002
 6.4141297E+000, 9.9994672E-001, 9.7609379E-001, 9.9590321E-004, 1.2000000E+001, 3.3345896E+002
 6.5128092E+000, 9.9994896E-001, 9.7828917E-001, 9.2585487E-004, 1.0000000E+001, 3.3454514E+002
 6.6114887E+000, 9.9994952E-001, 9.8035986E-001, 9.9341789E-004, 9.0000000E+000, 3.3560980E+002
 6.7101682E+000, 9.9995123E-001, 9.8231881E-001, 9.4768277E-004, 8.0000000E+000, 3.3661939E+002
 6.8088477E+000, 9.9995667E-001, 9.8412950E-001, 9.9390027E-004, 8.0000000E+000, 3.3764447E+002
 6.8967552E+000, 9.9996386E-001, 9.8564025E-001, 9.3267660E-004, 8.0000000E+000, 3.3880643E+002
 6.9846628E+000, 9.9996976E-001, 9.8713637E-001, 9.0888449E-004, 8.0000000E+000, 3.3980969E+002
 7.0725703E+000, 9.9996813E-001, 9.8848600E-001, 8.6746643E-004, 9.0000000E+000, 3.4082593E+002
 7.1604779E+000, 9.9995625E-001, 9.8959682E-001, 8.2076867E-004, 9.0000000E+000, 3.4184021E+002
 7.2483854E+000, 9.9993570E-001, 9.9035378E-001, 9.5629478E-004, 8.0000000E+000, 3.4284513E+002
 7.3362930E+000, 9.9991034E-001, 9.9063258E-001, 8.2969821E-004, 8.0000000E+000, 3.4384940E+002
 7.4242005E+000, 9.9988524E-001, 9.9038730E-001, 9.0572585E-004, 8.0000000E+000, 3.4485645E+002
 7.5121081E+000, 9.9986371E-001, 9.8960526E-001, 9.5221079E-004, 8.0000000E+000, 3.4586096E+002
 7.6000156E+000, 9.9984568E-001, 9.8828449E-001, 9.2545667E-004, 8.0000000E+000, 3.4690045E+002
 7.6879232E+000, 9.9982846E-001, 9.8650696E-001, 9.6359756E-004, 8.0000000E+000, 3.4789853E+002
 7.7758307E+000, 9.9981022E-001, 9.8362874E-001, 9.9960428E-004, 5.0000000E+001, 3.5013162E+002
 7.8637382E+000, 9.9980633E-001, 9.8058817E-001, 9.9905817E-004, 3.5000000E+001, 3.5216260E+002
 7.9516458E+000, 9.9980697E-001, 9.7756390E-001, 9.9633979E-004, 1.0000000E+001, 3.5339942E+002
 8.0395533E+000, 9.9981053E-001, 9.7463075E-001, 9.9054478E-004, 9.0000000E+000, 3.5443790E+002
 8.1274609E+000, 9.9981937E-001, 9.7191791E-001, 9.6138310E-004, 1.2000000E+001, 3.5556000E+002
 8.2153684E+000, 9.9983946E-001, 9.6975288E-001, 9.9414885E-004, 1.6000000E+001, 3.5680738E+002
 8.3032760E+000, 9.9987178E-001, 9.6857847E-001, 9.9344770E-004, 2.0000000E+001, 3.5821030E+002
 8.3911835E+000, 9.9990769E-001, 9.6833290E-001, 9.8744169E-004, 1.9000000E+001, 3.5956250E+002
 8.4790911E+000, 9.9994007E-001, 9.6868224E-001, 9.8509516E-004, 1.5000000E+001, 3.6080054E+002
 8.5669986E+000, 9.9996513E-001, 9.6938621E-001, 9.9098200E-004, 1.3000000E+001, 3.6197251E+002
 8.6549062E+000, 9.9997885E-001, 9.7048339E-001, 9.9516178E-004, 1.7000000E+001, 3.6335092E+002
 8.7428137E+000, 9.9998363E-001, 9.7190516E-001, 9.9975769E-004, 1.7000000E+001, 3.6475427E+002
 8.8307213E+000, 9.9998231E-001, 9.7345701E-001, 9.9243103E-004, 1.5000000E+001, 3.6599265E+002
 8.9186288E+000, 9.9997710E-001, 9.7498691E-001, 9.7297564E-004, 1.3000000E+001, 3.6713568E+002
 9.0065363E+000, 9.9996990E-001, 9.7638593E-001, 9.9222191E-004, 1.1000000E+001, 3.6822107E+002
 9.0944439E+000, 9.9996168E-001, 9.7758527E-001, 9.5116703E-004, 1.0000000E+001, 3.6933554E+002
 9.1823514E+000, 9.9995221E-001, 9.7855739E-001, 9.6103351E-004, 1.0000000E+001, 3.7039716E+002
 9.2702590E+000, 9.9994106E-001, 9.7930497E-001, 9.7661033E-004, 9.0000000E+000, 3.7144724E+002
 9.3581665E+000, 9.9992726E-001, 9.7985586E-001, 9.8191818E-004, 9.0000000E+000, 3.7255979E+002
 9.4460741E+000, 9.9991187E-001, 9.8021640E-001, 9.9637261E-004, 8.0000000E+000, 3.7360813E+002
 9.5339816E+000, 9.9989602E-001, 9.8041712E-001, 9.5728469E-004, 9.0000000E+000, 3.7465961E+002
 9.6218892E+000, 9.9988222E-001, 9.8048261E-001, 9.6091205E-004, 9.0000000E+000, 3.7571079E+002
 9.7097967E+000, 9.9987205E-001, 9.8042480E-001, 9.2457586E-004, 9.0000000E+000, 3.7675196E+002
 9.7977043E+000, 9.9986546E-001, 9.8021643E-001, 8.6459020E-004, 8.0000000E+000, 3.7777753E+002
 9.8856118E+000, 9.9986130E-001, 9.7982536E-001, 7.8943796E-004, 8.0000000E+000, 3.7879602E+002
 9.9735193E+000, 9.9985822E-001, 9.7923163E-001, 7.9263171E-004, 8.0000000E+000, 3.7984934E+002
