Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 1.692E+00, 4.424E+00, 3.301E+00, 7.884E+00, 1.843E+01, 2.545E-01, 4.489E+00, 0.000E+00, 1.540E+00, 0.000E+00, 2.431E+01, 0.000E+00, 0.000E+00, 0.000E+00, 6.632E+01
    1, 2.011E+00, 3.874E+00, 3.524E+00, 7.902E+00, 1.771E+01, 2.412E-01, 4.039E+00, 0.000E+00, 1.148E+00, 0.000E+00, 2.588E+01, 0.000E+00, 0.000E+00, 0.000E+00, 6.632E+01
    2, 1.977E+00, 4.623E+00, 3.321E+00, 8.383E+00, 1.778E+01, 3.000E-01, 4.003E+00, 0.000E+00, 1.523E+00, 0.000E+00, 2.441E+01, 0.000E+00, 0.000E+00, 0.000E+00, 6.632E+01
    3, 1.794E+00, 4.287E+00, 3.071E+00, 7.879E+00, 1.845E+01, 2.582E-01, 4.291E+00, 0.000E+00, 2.015E+00, 0.000E+00, 2.428E+01, 0.000E+00, 0.000E+00, 0.000E+00, 6.632E+01
