Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 3.282E-02, 1.025E+01, 6.771E+00, 1.542E+01, 8.371E+00, 3.181E-01, 3.591E+00, 0.000E+00, 4.551E+00, 0.000E+00, 7.283E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.221E+02
    1, 7.001E-02, 1.002E+01, 5.950E+00, 1.633E+01, 9.897E+00, 2.701E-01, 3.332E+00, 0.000E+00, 5.527E+00, 0.000E+00, 7.075E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.221E+02
    2, 7.812E-02, 1.036E+01, 7.501E+00, 1.613E+01, 8.376E+00, 3.137E-01, 3.257E+00, 0.000E+00, 5.696E+00, 0.000E+00, 7.042E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.221E+02
    3, 9.397E-02, 9.752E+00, 6.608E+00, 1.575E+01, 8.390E+00, 3.756E-01, 3.362E+00, 0.000E+00, 4.283E+00, 0.000E+00, 7.352E+01, 0.000E+00, 0.000E+00, 0.000E+00, 1.221E+02
