Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 2.342E+00, 2.655E-01, 9.834E-02, 4.643E-01, 1.213E+00, 1.569E-01, 2.128E+00, 0.000E+00, 1.751E-01, 0.000E+00, 4.233E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.267E+00
    1, 2.534E+00, 2.648E-01, 1.085E-01, 4.849E-01, 1.198E+00, 1.539E-01, 1.916E+00, 0.000E+00, 1.785E-01, 0.000E+00, 4.299E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.268E+00
    2, 2.311E+00, 2.542E-01, 1.050E-01, 4.588E-01, 1.197E+00, 1.467E-01, 2.155E+00, 0.000E+00, 1.732E-01, 0.000E+00, 4.667E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.268E+00
    3, 2.503E+00, 2.625E-01, 1.068E-01, 4.459E-01, 1.209E+00, 1.554E-01, 1.961E+00, 0.000E+00, 1.734E-01, 0.000E+00, 4.503E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.268E+00
    4, 2.332E+00, 2.590E-01, 9.811E-02, 4.539E-01, 1.210E+00, 1.539E-01, 2.141E+00, 0.000E+00, 1.738E-01, 0.000E+00, 4.462E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.268E+00
    5, 2.631E+00, 2.485E-01, 1.040E-01, 4.501E-01, 1.200E+00, 1.460E-01, 1.829E+00, 0.000E+00, 1.687E-01, 0.000E+00, 4.910E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.268E+00
    6, 2.188E+00, 2.671E-01, 1.071E-01, 4.673E-01, 1.203E+00, 1.500E-01, 2.276E+00, 0.000E+00, 1.751E-01, 0.000E+00, 4.332E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.268E+00
    7, 2.606E+00, 3.174E-01, 1.128E-01, 4.717E-01, 1.218E+00, 1.821E-01, 1.861E+00, 0.000E+00, 2.165E-01, 0.000E+00, 2.832E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 7.268E+00
