s,kg,kg,kg,kg,kg
Time,Total,NITROGEN,OXYGEN,CARBON DIOXIDE,WATER VAPOR
 8.0000000E+001, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 8.5000000E+001, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 9.0000000E+001, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 9.5000000E+001, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 1.0000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 1.0500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 1.1000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 1.1500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 1.2000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 1.2500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 1.3000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 1.3500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 1.4000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 1.4500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 1.5000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 1.5500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 1.6000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 1.6500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 1.7000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 1.7500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 1.8000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 1.8500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 1.9000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 1.9500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 2.0000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 2.0500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 2.1000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 2.1500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 2.2000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 2.2500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267631E+001, 1.8504007E-001, 1.8586389E+000
 2.3000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 2.3500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 2.4000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 2.4500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 2.5000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 2.5500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 2.6000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 2.6500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 2.7000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 2.7500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 2.8000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 2.8500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 2.9000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 2.9500000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
 3.0000000E+002, 3.1285035E+002, 2.3853904E+002, 7.2267632E+001, 1.8504007E-001, 1.8586389E+000
