s,Pa,Pa,Pa,C,C,C,kg/m3,kg/m3,kg/m3
Time,"Pres 1","Pres 2","Pres 3","Temp 1","Temp 2","Temp 3","Dens 1","Dens 2","Dens 3"
 1.8657438E+001, 1.4283544E+004, 1.4283551E+004, 1.4283551E+004, 3.1160258E+001, 3.1160369E+001, 3.1162554E+001, 1.3137312E+000, 1.3137307E+000, 1.3137213E+000
 1.9210837E+001, 1.4765522E+004, 1.4765527E+004, 1.4765528E+004, 3.1518546E+001, 3.1518747E+001, 3.1521046E+001, 1.3176570E+000, 1.3176561E+000, 1.3176462E+000
 1.9843292E+001, 1.5248056E+004, 1.5248061E+004, 1.5248062E+004, 3.1876131E+001, 3.1876418E+001, 3.1878833E+001, 1.3215826E+000, 1.3215814E+000, 1.3215709E+000
 2.0475748E+001, 1.5763356E+004, 1.5763361E+004, 1.5763362E+004, 3.2256822E+001, 3.2257197E+001, 3.2259740E+001, 1.3257699E+000, 1.3257683E+000, 1.3257573E+000
 2.1029146E+001, 1.6247006E+004, 1.6247010E+004, 1.6247011E+004, 3.2613021E+001, 3.2613474E+001, 3.2616141E+001, 1.3296955E+000, 1.3296935E+000, 1.3296819E+000
 2.1661602E+001, 1.6731212E+004, 1.6731216E+004, 1.6731217E+004, 3.2968536E+001, 3.2969065E+001, 3.2971857E+001, 1.3336210E+000, 1.3336187E+000, 1.3336065E+000
 2.2215001E+001, 1.7215953E+004, 1.7215956E+004, 1.7215958E+004, 3.3323406E+001, 3.3324007E+001, 3.3326926E+001, 1.3375464E+000, 1.3375438E+000, 1.3375310E+000
 2.2847456E+001, 1.7701246E+004, 1.7701248E+004, 1.7701251E+004, 3.3677583E+001, 3.3678262E+001, 3.3681305E+001, 1.3414718E+000, 1.3414688E+000, 1.3414555E+000
 2.3400855E+001, 1.8187071E+004, 1.8187073E+004, 1.8187076E+004, 3.4031116E+001, 3.4031880E+001, 3.4035042E+001, 1.3453971E+000, 1.3453938E+000, 1.3453799E+000
 2.4033310E+001, 1.8673453E+004, 1.8673454E+004, 1.8673458E+004, 3.4383978E+001, 3.4384841E+001, 3.4388113E+001, 1.3493225E+000, 1.3493187E+000, 1.3493043E+000
 2.4665766E+001, 1.9192852E+004, 1.9192852E+004, 1.9192857E+004, 3.4759638E+001, 3.4760627E+001, 3.4764002E+001, 1.3535095E+000, 1.3535052E+000, 1.3534903E+000
