s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1,ZONE_2
 2.0450001E+001, 0.0000000E+000, 4.8423541E-002,-6.7351491E+000, 1.8736572E-002, 0.0000000E+000,-2.6593151E+000, 0.0000000E+000,-9.5462593E+000,-9.3273041E+000, 0.0000000E+000, 0.0000000E+000, 1.1295013E+001, 1.1294292E+001
 2.0500000E+001, 0.0000000E+000, 4.8683319E-002,-6.4107787E+000, 1.6548256E-002, 0.0000000E+000,-2.5296735E+000, 0.0000000E+000,-9.0808787E+000,-8.8752206E+000, 0.0000000E+000, 0.0000000E+000, 1.0744381E+001, 1.0743695E+001
 2.0549999E+001, 0.0000000E+000, 4.8930465E-002,-6.1043924E+000, 1.6896437E-002, 0.0000000E+000,-2.4063519E+000, 0.0000000E+000,-8.6381865E+000,-8.4449175E+000, 0.0000000E+000, 0.0000000E+000, 1.0220592E+001, 1.0219940E+001
 2.0600000E+001, 0.0000000E+000, 4.3791099E-002,-5.8073117E+000, 1.7220217E-002, 0.0000000E+000,-2.2890423E+000, 0.0000000E+000,-8.2170752E+000,-8.0353426E+000, 0.0000000E+000, 0.0000000E+000, 9.7223384E+000, 9.7217182E+000
 2.0650000E+001, 0.0000000E+000, 4.4015005E-002,-5.5274862E+000, 1.5454546E-002, 0.0000000E+000,-2.1774514E+000, 0.0000000E+000,-7.8164924E+000,-7.6454681E+000, 0.0000000E+000, 0.0000000E+000, 9.2483744E+000, 9.2477845E+000
 2.0700001E+001, 0.0000000E+000, 4.4227906E-002,-5.2631363E+000, 1.5803603E-002, 0.0000000E+000,-2.0713007E+000, 0.0000000E+000,-7.4354379E+000,-7.2744055E+000, 0.0000000E+000, 0.0000000E+000, 8.7975162E+000, 8.7969550E+000
 2.0750000E+001, 0.0000000E+000, 3.9543006E-002,-5.0065676E+000, 1.6128560E-002, 0.0000000E+000,-1.9703248E+000, 0.0000000E+000,-7.0729609E+000,-6.9212208E+000, 0.0000000E+000, 0.0000000E+000, 8.3686373E+000, 8.3681034E+000
 2.0799999E+001, 0.0000000E+000, 3.9735760E-002,-4.7651514E+000, 1.4816405E-002, 0.0000000E+000,-1.8742714E+000, 0.0000000E+000,-6.7281541E+000,-6.5848707E+000, 0.0000000E+000, 0.0000000E+000, 7.9606662E+000, 7.9601584E+000
 2.0850000E+001, 0.0000000E+000, 3.9918874E-002,-4.5371072E+000, 1.5225977E-002, 0.0000000E+000,-1.7829007E+000, 0.0000000E+000,-6.4001562E+000,-6.2648631E+000, 0.0000000E+000, 0.0000000E+000, 7.5725837E+000, 7.5721007E+000
 2.0900000E+001, 0.0000000E+000, 3.5629007E-002,-4.3154620E+000, 1.5460301E-002, 0.0000000E+000,-1.6959843E+000, 0.0000000E+000,-6.0881490E+000,-5.9603570E+000, 0.0000000E+000, 0.0000000E+000, 7.2034203E+000, 7.2029608E+000
 2.0950001E+001, 0.0000000E+000, 3.5794621E-002,-4.1068791E+000, 1.3943142E-002, 0.0000000E+000,-1.6133051E+000, 0.0000000E+000,-5.7913514E+000,-5.6704464E+000, 0.0000000E+000, 0.0000000E+000, 6.8522535E+000, 6.8518164E+000
 2.1000000E+001, 0.0000000E+000, 3.5951858E-002,-3.9100989E+000, 1.4242436E-002, 0.0000000E+000,-1.5346564E+000, 0.0000000E+000,-5.5090229E+000,-5.3945610E+000, 0.0000000E+000, 0.0000000E+000, 6.5182062E+000, 6.5177904E+000
 2.1049999E+001, 0.0000000E+000, 3.2254354E-002,-3.7188918E+000, 1.4476321E-002, 0.0000000E+000,-1.4598419E+000, 0.0000000E+000,-5.2404583E+000,-5.1320030E+000, 0.0000000E+000, 0.0000000E+000, 6.2004436E+000, 6.2000481E+000
 2.1100000E+001, 0.0000000E+000, 3.2396401E-002,-3.5388497E+000, 1.2978580E-002, 0.0000000E+000,-1.3886746E+000, 0.0000000E+000,-4.9849859E+000,-4.8821494E+000, 0.0000000E+000, 0.0000000E+000, 5.8981720E+000, 5.8977957E+000
 2.1150000E+001, 0.0000000E+000, 3.2531169E-002,-3.3690332E+000, 1.3119363E-002, 0.0000000E+000,-1.3209768E+000, 0.0000000E+000,-4.7419682E+000,-4.6443594E+000, 0.0000000E+000, 0.0000000E+000, 5.6106361E+000, 5.6102782E+000
 2.1200001E+001, 0.0000000E+000, 2.9010554E-002,-3.2037904E+000, 1.3372741E-002, 0.0000000E+000,-1.2565791E+000, 0.0000000E+000,-4.5107969E+000,-4.4179863E+000, 0.0000000E+000, 0.0000000E+000, 5.3371176E+000, 5.3367771E+000
 2.1250000E+001, 0.0000000E+000, 2.9132239E-002,-3.0483260E+000, 1.1890563E-002, 0.0000000E+000,-1.1953209E+000, 0.0000000E+000,-4.2908950E+000,-4.2026241E+000, 0.0000000E+000, 0.0000000E+000, 5.0769331E+000, 5.0766093E+000
 2.1299999E+001, 0.0000000E+000, 2.9247652E-002,-2.9018544E+000, 1.1978758E-002, 0.0000000E+000,-1.1370490E+000, 0.0000000E+000,-4.0817151E+000,-3.9976770E+000, 0.0000000E+000, 0.0000000E+000, 4.8294326E+000, 4.8291246E+000
 2.1350000E+001, 0.0000000E+000, 2.6099785E-002,-2.7591720E+000, 1.2042946E-002, 0.0000000E+000,-1.0816179E+000, 0.0000000E+000,-3.8827304E+000,-3.8026471E+000, 0.0000000E+000, 0.0000000E+000, 4.5939978E+000, 4.5937047E+000
 2.1400000E+001, 0.0000000E+000, 2.6203951E-002,-2.6251406E+000, 1.0764861E-002, 0.0000000E+000,-1.0288890E+000, 0.0000000E+000,-3.6934476E+000,-3.6170608E+000, 0.0000000E+000, 0.0000000E+000, 4.3700404E+000, 4.3697616E+000
 2.1450001E+001, 0.0000000E+000, 2.6302718E-002,-2.4988527E+000, 1.0814900E-002, 0.0000000E+000,-9.7873067E-001, 0.0000000E+000,-3.5133923E+000,-3.4404658E+000, 0.0000000E+000, 0.0000000E+000, 4.1570009E+000, 4.1567357E+000
 2.1500000E+001, 0.0000000E+000, 2.3468444E-002,-2.3757277E+000, 1.0845471E-002, 0.0000000E+000,-9.3101755E-001, 0.0000000E+000,-3.3421146E+000,-3.2724313E+000, 0.0000000E+000, 0.0000000E+000, 3.9543471E+000, 3.9540949E+000
 2.1549999E+001, 0.0000000E+000, 2.3557544E-002,-2.2601950E+000, 9.7212827E-003, 0.0000000E+000,-8.8563044E-001, 0.0000000E+000,-3.1791857E+000,-3.1125467E+000, 0.0000000E+000, 0.0000000E+000, 3.7615727E+000, 3.7613328E+000
 2.1600000E+001, 0.0000000E+000, 2.3642001E-002,-2.1513607E+000, 9.7539445E-003, 0.0000000E+000,-8.4245596E-001, 0.0000000E+000,-3.0242011E+000,-2.9604207E+000, 0.0000000E+000, 0.0000000E+000, 3.5781960E+000, 3.5779678E+000
 2.1650000E+001, 0.0000000E+000, 2.1082861E-002,-2.0451507E+000, 9.7731114E-003, 0.0000000E+000,-8.0138623E-001, 0.0000000E+000,-2.8767714E+000,-2.8156809E+000, 0.0000000E+000, 0.0000000E+000, 3.4037590E+000, 3.4035419E+000
 2.1700001E+001, 0.0000000E+000, 2.1159039E-002,-1.9455852E+000, 8.7721832E-003, 0.0000000E+000,-7.6231865E-001, 0.0000000E+000,-2.7365279E+000,-2.6779727E+000, 0.0000000E+000, 0.0000000E+000, 3.2378257E+000, 3.2376192E+000
 2.1750000E+001, 0.0000000E+000, 2.1231249E-002,-1.8518385E+000, 8.8048350E-003, 0.0000000E+000,-7.2515562E-001, 0.0000000E+000,-2.6031229E+000,-2.5469581E+000, 0.0000000E+000, 0.0000000E+000, 3.0799817E+000, 3.0797853E+000
 2.1799999E+001, 0.0000000E+000, 1.9053341E-002,-1.7603919E+000, 8.8270870E-003, 0.0000000E+000,-6.8980428E-001, 0.0000000E+000,-2.4762207E+000,-2.4223157E+000, 0.0000000E+000, 0.0000000E+000, 2.9298326E+000, 2.9296457E+000
 2.1850000E+001, 0.0000000E+000, 1.9118502E-002,-1.6747136E+000, 8.0317564E-003, 0.0000000E+000,-6.5617632E-001, 0.0000000E+000,-2.3555047E+000,-2.3037397E+000, 0.0000000E+000, 0.0000000E+000, 2.7870033E+000, 2.7868255E+000
 2.1900000E+001, 0.0000000E+000, 1.9180314E-002,-1.5939883E+000, 8.0569930E-003, 0.0000000E+000,-6.2418773E-001, 0.0000000E+000,-2.2406739E+000,-2.1909387E+000, 0.0000000E+000, 0.0000000E+000, 2.6511369E+000, 2.6509677E+000
 2.1950001E+001, 0.0000000E+000, 1.7132118E-002,-1.5150815E+000, 8.0722490E-003, 0.0000000E+000,-5.9375857E-001, 0.0000000E+000,-2.1314409E+000,-2.0836357E+000, 0.0000000E+000, 0.0000000E+000, 2.5218939E+000, 2.5217331E+000
 2.2000000E+001, 0.0000000E+000, 1.7188034E-002,-1.4413036E+000, 7.3614769E-003, 0.0000000E+000,-5.6481284E-001, 0.0000000E+000,-2.0275337E+000,-1.9815669E+000, 0.0000000E+000, 0.0000000E+000, 2.3989516E+000, 2.3987986E+000
 2.2049999E+001, 0.0000000E+000, 1.7241162E-002,-1.3718383E+000, 7.3944595E-003, 0.0000000E+000,-5.3727822E-001, 0.0000000E+000,-1.9286905E+000,-1.8844809E+000, 0.0000000E+000, 0.0000000E+000, 2.2820027E+000, 2.2818572E+000
 2.2100000E+001, 0.0000000E+000, 1.5413733E-002,-1.3038625E+000, 7.3627053E-003, 0.0000000E+000,-5.1108590E-001, 0.0000000E+000,-1.8346674E+000,-1.7921720E+000, 0.0000000E+000, 0.0000000E+000, 2.1707551E+000, 2.1706166E+000
 2.2150000E+001, 0.0000000E+000, 1.5461907E-002,-1.2404633E+000, 6.8429040E-003, 0.0000000E+000,-4.8617047E-001, 0.0000000E+000,-1.7452274E+000,-1.7043290E+000, 0.0000000E+000, 0.0000000E+000, 2.0649308E+000, 2.0647991E+000
 2.2200001E+001, 0.0000000E+000, 1.5507749E-002,-1.1807240E+000, 6.8811778E-003, 0.0000000E+000,-4.6246966E-001, 0.0000000E+000,-1.6601472E+000,-1.6208047E+000, 0.0000000E+000, 0.0000000E+000, 1.9642654E+000, 1.9641401E+000
 2.2250000E+001, 0.0000000E+000, 1.3849363E-002,-1.1221873E+000, 6.8742471E-003, 0.0000000E+000,-4.3992426E-001, 0.0000000E+000,-1.5792154E+000,-1.5413880E+000, 0.0000000E+000, 0.0000000E+000, 1.8685075E+000, 1.8683883E+000
 2.2299999E+001, 0.0000000E+000, 1.3891049E-002,-1.0676712E+000, 6.4325093E-003, 0.0000000E+000,-4.1847795E-001, 0.0000000E+000,-1.5022284E+000,-1.4658256E+000, 0.0000000E+000, 0.0000000E+000, 1.7774177E+000, 1.7773043E+000
 2.2350000E+001, 0.0000000E+000, 1.3930798E-002,-1.0163435E+000, 6.5347320E-003, 0.0000000E+000,-3.9807715E-001, 0.0000000E+000,-1.4289955E+000,-1.3939551E+000, 0.0000000E+000, 0.0000000E+000, 1.6907686E+000, 1.6906608E+000
 2.2400000E+001, 0.0000000E+000, 1.2417869E-002,-9.6595352E-001, 6.5694985E-003, 0.0000000E+000,-3.7867089E-001, 0.0000000E+000,-1.3593315E+000,-1.3256370E+000, 0.0000000E+000, 0.0000000E+000, 1.6083436E+000, 1.6082410E+000
 2.2450001E+001, 0.0000000E+000, 1.2454181E-002,-9.1904236E-001, 6.1249030E-003, 0.0000000E+000,-3.6021069E-001, 0.0000000E+000,-1.2930639E+000,-1.2606740E+000, 0.0000000E+000, 0.0000000E+000, 1.5299369E+000, 1.5298393E+000
 2.2500000E+001, 0.0000000E+000, 1.2488899E-002,-8.7497728E-001, 6.3132603E-003, 0.0000000E+000,-3.4265041E-001, 0.0000000E+000,-1.2300268E+000,-1.1988255E+000, 0.0000000E+000, 0.0000000E+000, 1.4553525E+000, 1.4552596E+000
