Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,Total T_USED (s)
    0, 8.699E-01, 4.461E+00, 1.417E+00, 7.704E+00, 1.251E+00, 2.578E+00, 1.020E+01, 0.000E+00, 2.962E+00, 0.000E+00, 7.835E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.928E+01
    1, 8.453E-01, 4.073E+00, 1.339E+00, 7.236E+00, 1.178E+00, 2.387E+00, 1.051E+01, 0.000E+00, 2.864E+00, 0.000E+00, 8.848E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.928E+01
    2, 8.648E-01, 4.390E+00, 1.410E+00, 7.605E+00, 1.222E+00, 2.551E+00, 1.041E+01, 0.000E+00, 2.936E+00, 0.000E+00, 7.890E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.928E+01
