s,Pa,Pa,Pa
Time,"pres_1","pres_2","pres_3"
 0.0000000E+000,-1.6010784E-005,-2.2226541E-006,-8.4104381E-006
 1.0000000E-001, 5.0155577E+001, 4.9891055E+001,-4.8623432E-002
 2.0000000E-001, 1.1700698E+002, 1.1666704E+002,-3.7339497E-002
 3.5000000E-001, 2.1722973E+002, 2.1687283E+002,-1.1957225E-002
 4.5000000E-001, 2.8401603E+002, 2.8372637E+002, 3.9288698E-003
 5.5000000E-001, 3.5078430E+002, 3.5060008E+002, 1.0019568E-002
 6.0000000E-001, 3.8416412E+002, 3.8404058E+002, 9.5840075E-003
 7.0000000E-001, 4.5091875E+002, 4.5091971E+002, 4.9213948E-003
 8.0000000E-001, 5.1767231E+002, 5.1778428E+002,-3.6097012E-004
 9.0000000E-001, 5.8443150E+002, 5.8462147E+002,-3.1553982E-003
 1.0000000E+000, 6.5119686E+002, 6.5141813E+002,-3.3308258E-003
 1.1000000E+000, 7.1796820E+002, 7.1817079E+002,-2.1998792E-003
 1.2000000E+000, 7.8474533E+002, 7.8488739E+002,-9.1286268E-004
 1.3000000E+000, 8.5152112E+002, 8.5157755E+002, 8.3127606E-005
 1.4000000E+000, 9.1829179E+002, 9.1825756E+002, 6.3505073E-004
 1.5000000E+000, 9.8505728E+002, 9.8494588E+002, 5.9865265E-004
 1.6000000E+000, 1.0518120E+003, 1.0516505E+003,-1.5335918E-004
 1.7000000E+000, 1.1185562E+003, 1.1183787E+003,-1.3829894E-003
 1.8000000E+000, 1.1852945E+003, 1.1851353E+003,-2.4946242E-003
 1.9000000E+000, 1.2520248E+003, 1.2519119E+003,-2.8077699E-003
 2.0000000E+000, 1.3187501E+003, 1.3187004E+003,-2.0628173E-003
 2.1000000E+000, 1.3854766E+003, 1.3854931E+003,-6.0212071E-004
 2.2500000E+000, 1.4855662E+003, 1.4856584E+003, 1.3594155E-003
 2.3500000E+000, 1.5522954E+003, 1.5524094E+003, 1.7088880E-003
 2.4500000E+000, 1.6190265E+003, 1.6191360E+003, 1.2342369E-003
 2.5500000E+000, 1.6857632E+003, 1.6858455E+003, 3.3121401E-004
 2.6500000E+000, 1.7524994E+003, 1.7525396E+003,-5.0823516E-004
 2.7500000E+000, 1.8192346E+003, 1.8192276E+003,-9.6899389E-004
 2.8500000E+000, 1.8859712E+003, 1.8859218E+003,-1.0046726E-003
 2.9500000E+000, 1.9527030E+003, 1.9526238E+003,-8.0830234E-004
 3.0500000E+000, 2.0194302E+003, 2.0193384E+003,-5.8060997E-004
 3.1500000E+000, 2.0861561E+003, 2.0860699E+003,-4.5913479E-004
 3.2500000E+000, 2.1528765E+003, 2.1528114E+003,-4.5082798E-004
 3.3500000E+000, 2.2195933E+003, 2.2195597E+003,-4.6837499E-004
 3.4500000E+000, 2.2863120E+003, 2.2863131E+003,-4.2335840E-004
 3.5500000E+000, 2.3530286E+003, 2.3530606E+003,-2.7191851E-004
 3.6500000E+000, 2.4197454E+003, 2.4197986E+003,-3.7957910E-005
 3.7500000E+000, 2.4864675E+003, 2.4865290E+003, 1.9117266E-004
 3.8500000E+000, 2.5531895E+003, 2.5532458E+003, 3.2442941E-004
 3.9500000E+000, 2.6199122E+003, 2.6199518E+003, 3.0951699E-004
 4.0500000E+000, 2.6866394E+003, 2.6866555E+003, 1.4695788E-004
 4.1500000E+000, 2.7533648E+003, 2.7533556E+003,-1.2333337E-004
 4.2500000E+000, 2.8200884E+003, 2.8200575E+003,-4.0093590E-004
 4.3500000E+000, 2.8868136E+003, 2.8867689E+003,-5.9852522E-004
 4.4500000E+000, 2.9535346E+003, 2.9534858E+003,-6.7516938E-004
 4.5500000E+000, 3.0202523E+003, 3.0202095E+003,-6.2709235E-004
 4.6500000E+000, 3.0869710E+003, 3.0869419E+003,-4.7840249E-004
 4.7500000E+000, 3.1536863E+003, 3.1536755E+003,-2.8392660E-004
 4.8500000E+000, 3.2204004E+003, 3.2204081E+003,-9.3526918E-005
 4.9500000E+000, 3.2871183E+003, 3.2871413E+003, 4.2457137E-005
 5.0500000E+000, 3.3367717E+003, 3.3395818E+003, 7.0130933E-001
 5.1500000E+000, 3.2962717E+003, 3.2965111E+003, 1.2187225E+002
 5.2500000E+000, 3.2207995E+003, 3.2209930E+003, 3.4811124E+002
 5.3500000E+000, 3.1526437E+003, 3.1526464E+003, 5.5300499E+002
 5.4500000E+000, 3.0910706E+003, 3.0908225E+003, 7.3856814E+002
 5.5500000E+000, 3.0354286E+003, 3.0349694E+003, 9.0661517E+002
 5.6500000E+000, 2.9851279E+003, 2.9845526E+003, 1.0587741E+003
 5.7500000E+000, 2.9396483E+003, 2.9390754E+003, 1.1965269E+003
 5.8500000E+000, 2.8985217E+003, 2.8980574E+003, 1.3212256E+003
 5.9500000E+000, 2.8613232E+003, 2.8610282E+003, 1.4341020E+003
 6.0500000E+000, 2.8276738E+003, 2.8275513E+003, 1.5362828E+003
 6.1500000E+000, 2.7972340E+003, 2.7972424E+003, 1.6287913E+003
 6.2500000E+000, 2.7696939E+003, 2.7697751E+003, 1.7125465E+003
