s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 1.2301260E+002, 0.0000000E+000,-3.3612024E-007, 1.0500041E-019, 3.9533256E-007, 0.0000000E+000, 2.3998391E-008, 0.0000000E+000, 1.0872855E-007, 8.3210716E-008, 0.0000000E+000, 0.0000000E+000, 4.9841638E+004
 1.2364506E+002, 0.0000000E+000,-3.4268769E-007, 1.0499822E-019, 3.9227359E-007, 0.0000000E+000, 2.0084254E-008, 0.0000000E+000, 1.0602570E-007, 6.9670158E-008, 0.0000000E+000, 0.0000000E+000, 4.9841640E+004
 1.2427751E+002, 0.0000000E+000,-3.4852971E-007, 1.0501116E-019, 3.8759429E-007, 0.0000000E+000, 1.5853597E-008, 0.0000000E+000, 9.5067879E-008, 5.4918181E-008, 0.0000000E+000, 0.0000000E+000, 4.9841642E+004
 1.2483091E+002, 0.0000000E+000,-3.5279748E-007, 1.0503029E-019, 3.8252903E-007, 0.0000000E+000, 1.2070077E-008, 0.0000000E+000, 8.1233900E-008, 4.1801623E-008, 0.0000000E+000, 0.0000000E+000, 4.9841643E+004
 1.2546336E+002, 0.0000000E+000,-3.5603539E-007, 1.0504780E-019, 3.7715339E-007, 0.0000000E+000, 8.6161502E-009, 0.0000000E+000, 7.0494663E-008, 2.9734148E-008, 0.0000000E+000, 0.0000000E+000, 4.9841644E+004
 1.2601676E+002, 0.0000000E+000,-3.5827479E-007, 1.0505927E-019, 3.7164069E-007, 0.0000000E+000, 5.5067729E-009, 0.0000000E+000, 6.4971632E-008, 1.8872677E-008, 0.0000000E+000, 0.0000000E+000, 4.9841644E+004
 1.2664922E+002, 0.0000000E+000,-3.5961953E-007, 1.0506626E-019, 3.6642542E-007, 0.0000000E+000, 2.8808838E-009, 0.0000000E+000, 6.2537584E-008, 9.6867734E-009, 0.0000000E+000, 0.0000000E+000, 4.9841645E+004
 1.2720262E+002, 0.0000000E+000,-3.6025056E-007, 1.0506962E-019, 3.6101408E-007, 0.0000000E+000, 4.3324405E-010, 0.0000000E+000, 5.3465882E-008, 1.1967692E-009, 0.0000000E+000, 0.0000000E+000, 4.9841645E+004
 1.2783508E+002, 0.0000000E+000,-3.6024157E-007, 1.0506898E-019, 3.5628757E-007, 0.0000000E+000,-1.4833305E-009, 0.0000000E+000, 4.0986198E-008,-5.4373284E-009, 0.0000000E+000, 0.0000000E+000, 4.9841645E+004
 1.2846753E+002, 0.0000000E+000,-3.5961929E-007, 1.0506717E-019, 3.5077598E-007, 0.0000000E+000,-3.4418075E-009, 0.0000000E+000, 3.0907492E-008,-1.2285122E-008, 0.0000000E+000, 0.0000000E+000, 4.9841644E+004
 1.2902094E+002, 0.0000000E+000,-3.5845235E-007, 1.0506599E-019, 3.4529440E-007, 0.0000000E+000,-5.1972657E-009, 0.0000000E+000, 2.4973019E-008,-1.8355214E-008, 0.0000000E+000, 0.0000000E+000, 4.9841644E+004
