s,Pa,Pa,Pa,C,C,C,kg/m3,kg/m3,kg/m3
Time,"Pres 1","Pres 2","Pres 3","Temp 1","Temp 2","Temp 3","Dens 1","Dens 2","Dens 3"
 0.0000000E+000,-5.5938402E-006,-4.3567183E-006,-4.3097434E-006, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.1952532E+000, 1.1952532E+000, 1.1952532E+000
 6.3245553E-001, 5.9998711E+001, 5.9989056E+001, 5.9985937E+001, 2.0049364E+001, 2.0049364E+001, 2.0049364E+001, 1.1957594E+000, 1.1957594E+000, 1.1957594E+000
 1.2649111E+000, 3.8908696E+002, 3.8907687E+002, 3.8907083E+002, 2.0319681E+001, 2.0319677E+001, 2.0319681E+001, 1.1985354E+000, 1.1985354E+000, 1.1985354E+000
 1.8183097E+000, 8.4964907E+002, 8.4964653E+002, 8.4964415E+002, 2.0696763E+001, 2.0696743E+001, 2.0696766E+001, 1.2024175E+000, 1.2024176E+000, 1.2024175E+000
 2.4507652E+000, 1.3175839E+003, 1.3175874E+003, 1.3175904E+003, 2.1078311E+001, 2.1078263E+001, 2.1078323E+001, 1.2063579E+000, 1.2063581E+000, 1.2063578E+000
 3.0041638E+000, 1.7855569E+003, 1.7855595E+003, 1.7855616E+003, 2.1458439E+001, 2.1458360E+001, 2.1458469E+001, 1.2102944E+000, 1.2102948E+000, 1.2102943E+000
 3.6366193E+000, 2.2537162E+003, 2.2537141E+003, 2.2537117E+003, 2.1837271E+001, 2.1837159E+001, 2.1837325E+001, 1.2142281E+000, 1.2142286E+000, 1.2142279E+000
 4.2690748E+000, 2.7534084E+003, 2.7534062E+003, 2.7534039E+003, 2.2240152E+001, 2.2240006E+001, 2.2240239E+001, 1.2184218E+000, 1.2184224E+000, 1.2184215E+000
 4.8224734E+000, 3.2222506E+003, 3.2222523E+003, 3.2222535E+003, 2.2616814E+001, 2.2616635E+001, 2.2616934E+001, 1.2223520E+000, 1.2223527E+000, 1.2223515E+000
 5.4549290E+000, 3.6915430E+003, 3.6915453E+003, 3.6915469E+003, 2.2992523E+001, 2.2992311E+001, 2.2992680E+001, 1.2262810E+000, 1.2262819E+000, 1.2262804E+000
 6.0083276E+000, 4.1613067E+003, 4.1613063E+003, 4.1613054E+003, 2.3367376E+001, 2.3367133E+001, 2.3367571E+001, 1.2302094E+000, 1.2302104E+000, 1.2302086E+000
 6.6407831E+000, 4.6315819E+003, 4.6315807E+003, 4.6315789E+003, 2.3741361E+001, 2.3741086E+001, 2.3741596E+001, 1.2341372E+000, 1.2341383E+000, 1.2341362E+000
 7.2732386E+000, 5.1337807E+003, 5.1337818E+003, 5.1337819E+003, 2.4139398E+001, 2.4139092E+001, 2.4139678E+001, 1.2383264E+000, 1.2383277E+000, 1.2383253E+000
 7.8266372E+000, 5.6051435E+003, 5.6051458E+003, 5.6051469E+003, 2.4511747E+001, 2.4511412E+001, 2.4512070E+001, 1.2422536E+000, 1.2422550E+000, 1.2422522E+000
 8.4590927E+000, 6.0770675E+003, 6.0770687E+003, 6.0770685E+003, 2.4883299E+001, 2.4882938E+001, 2.4883668E+001, 1.2461805E+000, 1.2461820E+000, 1.2461789E+000
 9.0124913E+000, 6.5495369E+003, 6.5495373E+003, 6.5495361E+003, 2.5254113E+001, 2.5253727E+001, 2.5254529E+001, 1.2501072E+000, 1.2501088E+000, 1.2501055E+000
