s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1,ZONE_2,ZONE_3
 2.8169132E+001, 0.0000000E+000, 1.1859233E-002, 3.8773565E-003, 1.3106842E-002, 0.0000000E+000,-8.6417484E-002, 0.0000000E+000,-6.7343470E-002,-5.7574053E-002, 0.0000000E+000, 1.0000000E-001,-8.0042355E-001,-8.0045976E-001,-8.0337770E-001
 2.8373257E+001, 0.0000000E+000, 1.1664011E-002, 3.2426184E-003, 1.3020483E-002, 0.0000000E+000,-7.0577953E-002, 0.0000000E+000,-5.0451946E-002,-4.2650842E-002, 0.0000000E+000, 1.0000000E-001,-8.6924255E-001,-8.6927212E-001,-8.7165523E-001
 2.8577381E+001, 0.0000000E+000, 1.1680964E-002, 2.7532833E-003, 1.2930560E-002, 0.0000000E+000,-5.7641663E-002, 0.0000000E+000,-3.6885136E-002,-3.0276856E-002, 0.0000000E+000, 1.0000000E-001,-9.2544766E-001,-9.2547181E-001,-9.2741812E-001
 2.8781504E+001, 0.0000000E+000, 1.1693004E-002, 2.3769191E-003, 1.2838495E-002, 0.0000000E+000,-4.7076476E-002, 0.0000000E+000,-2.5633473E-002,-2.0168058E-002, 0.0000000E+000, 1.0000000E-001,-9.7135089E-001,-9.7137061E-001,-9.7296018E-001
 2.8985628E+001, 0.0000000E+000, 1.1578445E-002, 2.0870639E-003, 1.2748253E-002, 0.0000000E+000,-3.8447790E-002, 0.0000000E+000,-1.6455067E-002,-1.2034028E-002, 0.0000000E+000, 1.0000000E-001,-1.0088405E+000,-1.0088566E+000,-1.0101548E+000
 2.9189753E+001, 0.0000000E+000, 1.1583255E-002, 1.8675013E-003, 1.2658841E-002, 0.0000000E+000,-3.1400664E-002, 0.0000000E+000,-9.0951418E-003,-5.2910657E-003, 0.0000000E+000, 1.0000000E-001,-1.0394586E+000,-1.0394717E+000,-1.0405320E+000
 2.9393877E+001, 0.0000000E+000, 1.1585399E-002, 1.6994512E-003, 1.2569208E-002, 0.0000000E+000,-2.5645210E-002, 0.0000000E+000,-2.9974158E-003, 2.0884831E-004, 0.0000000E+000, 1.0000000E-001,-1.0644646E+000,-1.0644754E+000,-1.0653413E+000
 2.9598001E+001, 0.0000000E+000, 1.1519077E-002, 1.5687258E-003, 1.2480931E-002, 0.0000000E+000,-2.0944679E-002, 0.0000000E+000, 1.9641895E-003, 4.6240545E-003, 0.0000000E+000, 1.0000000E-001,-1.0848873E+000,-1.0848961E+000,-1.0856033E+000
 2.9802126E+001, 0.0000000E+000, 1.1517311E-002, 1.4675214E-003, 1.2391683E-002, 0.0000000E+000,-1.7105712E-002, 0.0000000E+000, 5.9288152E-003, 8.2708043E-003, 0.0000000E+000, 1.0000000E-001,-1.1015667E+000,-1.1015739E+000,-1.1021515E+000
 3.0000000E+001, 0.0000000E+000, 1.1514231E-002, 1.3898331E-003, 1.2306696E-002, 0.0000000E+000,-1.4067790E-002, 0.0000000E+000, 9.1492415E-003, 1.1142970E-002, 0.0000000E+000, 1.0000000E-001,-1.1148179E+000,-1.1148237E+000,-1.1152984E+000
