s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1,ZONE_2,ZONE_3
 0.0000000E+000, 0.0000000E+000,-6.3560996E-003, 2.9914882E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3560697E-003, 0.0000000E+000, 0.0000000E+000,-1.1758870E+000,-1.1758870E+000,-1.1758870E+000
 2.0412415E-001, 0.0000000E+000,-2.8035493E-003,-5.0811877E-001,-5.9427368E-004, 0.0000000E+000, 1.1846666E+001, 0.0000000E+000, 5.6638059E+000, 1.1335150E+001, 0.0000000E+000, 1.0000000E-001, 1.8977920E+001,-1.1779142E+000,-1.1760975E+000
 4.0824831E-001, 0.0000000E+000,-7.7454922E-003,-5.0811864E-001,-2.5480352E-003, 0.0000000E+000, 1.1846015E+001, 0.0000000E+000, 1.1333977E+001, 1.1327603E+001, 0.0000000E+000, 1.0000000E-001, 5.9284468E+001,-1.1784145E+000,-1.1760701E+000
 6.1237246E-001, 0.0000000E+000,-1.2682144E-002,-5.0811837E-001,-5.0166231E-003, 0.0000000E+000, 1.1843059E+001, 0.0000000E+000, 1.1324024E+001, 1.1317242E+001, 0.0000000E+000, 1.0000000E-001, 9.9581297E+001,-1.1789011E+000,-1.1760192E+000
 8.1649661E-001, 0.0000000E+000,-1.6802160E-002,-5.0811840E-001,-7.8353019E-003, 0.0000000E+000, 1.1840132E+001, 0.0000000E+000, 1.1313406E+001, 1.1307376E+001, 0.0000000E+000, 1.0000000E-001, 1.3986770E+002,-1.1793501E+000,-1.1759061E+000
 1.0206207E+000, 0.0000000E+000,-2.1727974E-002,-5.0811858E-001,-1.0930375E-002, 0.0000000E+000, 1.1837103E+001, 0.0000000E+000, 1.1303505E+001, 1.1296326E+001, 0.0000000E+000, 1.0000000E-001, 1.8014395E+002,-1.1795407E+000,-1.1757146E+000
 1.2247449E+000, 0.0000000E+000,-2.6647901E-002,-5.0811882E-001,-1.4257013E-002, 0.0000000E+000, 1.1833824E+001, 0.0000000E+000, 1.1292128E+001, 1.1284800E+001, 0.0000000E+000, 1.0000000E-001, 2.2040908E+002,-1.1797037E+000,-1.1754613E+000
 1.4288690E+000, 0.0000000E+000,-3.0351852E-002,-5.0811905E-001,-1.7780995E-002, 0.0000000E+000, 1.1830711E+001, 0.0000000E+000, 1.1280462E+001, 1.1274459E+001, 0.0000000E+000, 1.0000000E-001, 2.6066287E+002,-1.1798563E+000,-1.1751699E+000
 1.6329932E+000, 0.0000000E+000,-3.5260368E-002,-5.0811921E-001,-2.1479159E-002, 0.0000000E+000, 1.1827530E+001, 0.0000000E+000, 1.1270238E+001, 1.1262671E+001, 0.0000000E+000, 1.0000000E-001, 3.0090652E+002,-1.1798810E+000,-1.1748644E+000
 1.8371173E+000, 0.0000000E+000,-4.0162681E-002,-5.0811925E-001,-2.5332446E-002, 0.0000000E+000, 1.1824048E+001, 0.0000000E+000, 1.1258102E+001, 1.1250433E+001, 0.0000000E+000, 1.0000000E-001, 3.4113846E+002,-1.1799192E+000,-1.1745685E+000
 2.0412414E+000, 0.0000000E+000,-4.3409022E-002,-5.0811918E-001,-2.9326504E-002, 0.0000000E+000, 1.1820838E+001, 0.0000000E+000, 1.1245769E+001, 1.1239984E+001, 0.0000000E+000, 1.0000000E-001, 3.8135851E+002,-1.1799723E+000,-1.1742956E+000
 2.2453656E+000, 0.0000000E+000,-4.8299651E-002,-5.0811903E-001,-3.3450392E-002, 0.0000000E+000, 1.1817578E+001, 0.0000000E+000, 1.1235560E+001, 1.1227709E+001, 0.0000000E+000, 1.0000000E-001, 4.2156856E+002,-1.1799587E+000,-1.1740487E+000
 2.4494898E+000, 0.0000000E+000,-5.3183693E-002,-5.0811885E-001,-3.7693279E-002, 0.0000000E+000, 1.1813731E+001, 0.0000000E+000, 1.1222505E+001, 1.1214735E+001, 0.0000000E+000, 1.0000000E-001, 4.6176600E+002,-1.1799496E+000,-1.1738259E+000
 2.6536138E+000, 0.0000000E+000,-5.5989835E-002,-5.0811867E-001,-4.2046477E-002, 0.0000000E+000, 1.1810467E+001, 0.0000000E+000, 1.1209299E+001, 1.1204312E+001, 0.0000000E+000, 1.0000000E-001, 5.0195066E+002,-1.1799387E+000,-1.1736194E+000
 2.8577380E+000, 0.0000000E+000,-6.0861880E-002,-5.0811854E-001,-4.6503515E-002, 0.0000000E+000, 1.1807164E+001, 0.0000000E+000, 1.1199219E+001, 1.1191680E+001, 0.0000000E+000, 1.0000000E-001, 5.4212546E+002,-1.1798785E+000,-1.1734200E+000
 3.0618622E+000, 0.0000000E+000,-6.5727316E-002,-5.0811847E-001,-5.1056818E-002, 0.0000000E+000, 1.1803415E+001, 0.0000000E+000, 1.1186111E+001, 1.1178512E+001, 0.0000000E+000, 1.0000000E-001, 5.8228754E+002,-1.1798114E+000,-1.1732202E+000
 3.2659864E+000, 0.0000000E+000,-6.8124285E-002,-5.0811847E-001,-5.5700432E-002, 0.0000000E+000, 1.1800123E+001, 0.0000000E+000, 1.1172881E+001, 1.1168180E+001, 0.0000000E+000, 1.0000000E-001, 6.2243680E+002,-1.1797385E+000,-1.1730144E+000
 3.4701104E+000, 0.0000000E+000,-7.2977789E-002,-5.0811852E-001,-6.0430095E-002, 0.0000000E+000, 1.1796800E+001, 0.0000000E+000, 1.1162979E+001, 1.1155273E+001, 0.0000000E+000, 1.0000000E-001, 6.6257642E+002,-1.1796429E+000,-1.1727994E+000
 3.6742346E+000, 0.0000000E+000,-7.7824541E-002,-5.0811861E-001,-6.5239575E-002, 0.0000000E+000, 1.1792959E+001, 0.0000000E+000, 1.1149527E+001, 1.1141776E+001, 0.0000000E+000, 1.0000000E-001, 7.0270302E+002,-1.1795471E+000,-1.1725752E+000
 3.8783588E+000, 0.0000000E+000,-8.0069754E-002,-5.0811872E-001,-7.0124382E-002, 0.0000000E+000, 1.1789607E+001, 0.0000000E+000, 1.1135978E+001, 1.1131294E+001, 0.0000000E+000, 1.0000000E-001, 7.4281649E+002,-1.1794531E+000,-1.1723428E+000
 4.0824828E+000, 0.0000000E+000,-8.4904395E-002,-5.0811881E-001,-7.5081869E-002, 0.0000000E+000, 1.1786229E+001, 0.0000000E+000, 1.1125962E+001, 1.1118124E+001, 0.0000000E+000, 1.0000000E-001, 7.8292025E+002,-1.1793491E+000,-1.1721046E+000
 4.2866073E+000, 0.0000000E+000,-8.9732166E-002,-5.0811888E-001,-8.0107016E-002, 0.0000000E+000, 1.1782310E+001, 0.0000000E+000, 1.1112228E+001, 1.1104352E+001, 0.0000000E+000, 1.0000000E-001, 8.2301072E+002,-1.1792475E+000,-1.1718629E+000
 4.4907312E+000, 0.0000000E+000,-9.1859083E-002,-5.0811892E-001,-8.5196419E-002, 0.0000000E+000, 1.1778904E+001, 0.0000000E+000, 1.1098413E+001, 1.1093729E+001, 0.0000000E+000, 1.0000000E-001, 8.6308782E+002,-1.1791472E+000,-1.1716200E+000
 4.6948552E+000, 0.0000000E+000,-9.6674586E-002,-5.0811892E-001,-9.0348426E-002, 0.0000000E+000, 1.1775474E+001, 0.0000000E+000, 1.1088284E+001, 1.1080332E+001, 0.0000000E+000, 1.0000000E-001, 9.0315510E+002,-1.1790393E+000,-1.1713776E+000
 4.8989797E+000, 0.0000000E+000,-1.0148312E-001,-5.0811889E-001,-9.5558624E-002, 0.0000000E+000, 1.1771487E+001, 0.0000000E+000, 1.1074313E+001, 1.1066327E+001, 0.0000000E+000, 1.0000000E-001, 9.4320885E+002,-1.1789307E+000,-1.1711367E+000
 5.1031036E+000, 0.0000000E+000,-1.0357313E-001,-5.0811884E-001,-1.0082425E-001, 0.0000000E+000, 1.1768020E+001, 0.0000000E+000, 1.1060272E+001, 1.1055504E+001, 0.0000000E+000, 1.0000000E-001, 9.8324901E+002,-1.1788210E+000,-1.1708981E+000
 5.3072276E+000, 0.0000000E+000,-1.0836923E-001,-5.0811878E-001,-1.0614428E-001, 0.0000000E+000, 1.1764534E+001, 0.0000000E+000, 1.1049954E+001, 1.1041902E+001, 0.0000000E+000, 1.0000000E-001, 1.0232792E+003,-1.1787051E+000,-1.1706617E+000
 5.5113521E+000, 0.0000000E+000,-1.1315827E-001,-5.0811873E-001,-1.1151473E-001, 0.0000000E+000, 1.1760491E+001, 0.0000000E+000, 1.1036036E+001, 1.1027699E+001, 0.0000000E+000, 1.0000000E-001, 1.0632956E+003,-1.1785885E+000,-1.1704276E+000
 5.7154760E+000, 0.0000000E+000,-1.1529181E-001,-5.0811868E-001,-1.1693327E-001, 0.0000000E+000, 1.1756958E+001, 0.0000000E+000, 1.1022068E+001, 1.1016614E+001, 0.0000000E+000, 1.0000000E-001, 1.1032982E+003,-1.1784718E+000,-1.1701954E+000
 5.9196000E+000, 0.0000000E+000,-1.2006822E-001,-5.0811865E-001,-1.2239932E-001, 0.0000000E+000, 1.1753409E+001, 0.0000000E+000, 1.1011482E+001, 1.1002822E+001, 0.0000000E+000, 1.0000000E-001, 1.1432906E+003,-1.1783516E+000,-1.1699648E+000
 6.1237245E+000, 0.0000000E+000,-1.2483750E-001,-5.0811864E-001,-1.2790922E-001, 0.0000000E+000, 1.1749318E+001, 0.0000000E+000, 1.0997134E+001, 1.0988453E+001, 0.0000000E+000, 1.0000000E-001, 1.1832691E+003,-1.1782319E+000,-1.1697352E+000
 6.3278484E+000, 0.0000000E+000,-1.2706017E-001,-5.0811865E-001,-1.3346106E-001, 0.0000000E+000, 1.1745719E+001, 0.0000000E+000, 1.0982737E+001, 1.0977079E+001, 0.0000000E+000, 1.0000000E-001, 1.2232337E+003,-1.1781127E+000,-1.1695060E+000
