s,kg,kg,kg,kg,kg
Time,Total,NITROGEN,OXYGEN,CARBON DIOXIDE,WATER VAPOR
 4.8620018E+001, 9.0861740E-003, 6.9279361E-003, 2.0988830E-003, 5.3741550E-006, 5.3980815E-005
 4.9252476E+001, 9.1098815E-003, 6.9460123E-003, 2.1043594E-003, 5.3881771E-006, 5.4121661E-005
 4.9805874E+001, 9.1335883E-003, 6.9640880E-003, 2.1098356E-003, 5.4021988E-006, 5.4262502E-005
 5.0438328E+001, 9.1572944E-003, 6.9821632E-003, 2.1153116E-003, 5.4162202E-006, 5.4403340E-005
 5.1070786E+001, 9.1825804E-003, 7.0014431E-003, 2.1211526E-003, 5.4311760E-006, 5.4553564E-005
 5.1624184E+001, 9.2062857E-003, 7.0195177E-003, 2.1266285E-003, 5.4451969E-006, 5.4694397E-005
 5.2256638E+001, 9.2299913E-003, 7.0375925E-003, 2.1321044E-003, 5.4592179E-006, 5.4835231E-005
 5.2810036E+001, 9.2536978E-003, 7.0556679E-003, 2.1375806E-003, 5.4732394E-006, 5.4976071E-005
 5.3442493E+001, 9.2774051E-003, 7.0737440E-003, 2.1430569E-003, 5.4872615E-006, 5.5116916E-005
 5.4074947E+001, 9.3026932E-003, 7.0930255E-003, 2.1488984E-003, 5.5022185E-006, 5.5267152E-005
 5.4628345E+001, 9.3264007E-003, 7.1111017E-003, 2.1543747E-003, 5.5162407E-006, 5.5407998E-005
 5.5260803E+001, 9.3501077E-003, 7.1291776E-003, 2.1598510E-003, 5.5302625E-006, 5.5548841E-005
 5.5814201E+001, 9.3738143E-003, 7.1472531E-003, 2.1653272E-003, 5.5442841E-006, 5.5689681E-005
 5.6446655E+001, 9.3975205E-003, 7.1653284E-003, 2.1708032E-003, 5.5583055E-006, 5.5830519E-005
 5.7000053E+001, 9.4212263E-003, 7.1834034E-003, 2.1762792E-003, 5.5723267E-006, 5.5971355E-005
 5.7632511E+001, 9.4449315E-003, 7.2014779E-003, 2.1817551E-003, 5.5863475E-006, 5.6112187E-005
 5.8264965E+001, 9.4702162E-003, 7.2207568E-003, 2.1875958E-003, 5.6013025E-006, 5.6262403E-005
 5.8818363E+001, 9.4939210E-003, 7.2388309E-003, 2.1930715E-003, 5.6153231E-006, 5.6403233E-005
 5.9450821E+001, 9.5176268E-003, 7.2569059E-003, 2.1985475E-003, 5.6293442E-006, 5.6544069E-005
 6.0004219E+001, 9.5413329E-003, 7.2749811E-003, 2.2040235E-003, 5.6433656E-006, 5.6684907E-005
 6.0636673E+001, 9.5618030E-003, 7.2905889E-003, 2.2087521E-003, 5.6554729E-006, 5.6806519E-005
 6.1269131E+001, 9.5703024E-003, 7.2970695E-003, 2.2107154E-003, 5.6605000E-006, 5.6857014E-005
 6.1822529E+001, 9.5706703E-003, 7.2973500E-003, 2.2108004E-003, 5.6607176E-006, 5.6859199E-005
 6.2454983E+001, 9.5706705E-003, 7.2973501E-003, 2.2108004E-003, 5.6607177E-006, 5.6859201E-005
 6.3008381E+001, 9.5706701E-003, 7.2973499E-003, 2.2108004E-003, 5.6607175E-006, 5.6859199E-005
 6.3640839E+001, 9.5706701E-003, 7.2973498E-003, 2.2108004E-003, 5.6607175E-006, 5.6859198E-005
 6.4273293E+001, 9.5706701E-003, 7.2973498E-003, 2.2108003E-003, 5.6607175E-006, 5.6859198E-005
 6.4826691E+001, 9.5706705E-003, 7.2973501E-003, 2.2108004E-003, 5.6607177E-006, 5.6859200E-005
 6.5459145E+001, 9.5706702E-003, 7.2973499E-003, 2.2108004E-003, 5.6607176E-006, 5.6859199E-005
 6.6012543E+001, 9.5706704E-003, 7.2973500E-003, 2.2108004E-003, 5.6607176E-006, 5.6859200E-005
 6.6645004E+001, 9.5706705E-003, 7.2973502E-003, 2.2108004E-003, 5.6607177E-006, 5.6859201E-005
 6.7277458E+001, 9.5706705E-003, 7.2973501E-003, 2.2108004E-003, 5.6607177E-006, 5.6859201E-005
 6.7830856E+001, 9.5706706E-003, 7.2973502E-003, 2.2108005E-003, 5.6607178E-006, 5.6859201E-005
 6.8463310E+001, 9.5706704E-003, 7.2973501E-003, 2.2108004E-003, 5.6607177E-006, 5.6859200E-005
