s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 8.4669983E+001, 0.0000000E+000,-5.0172085E-007,-1.0510477E-019,-1.1608861E-007, 0.0000000E+000,-2.4874337E-007, 0.0000000E+000,-8.7968934E-007,-8.6655284E-007, 0.0000000E+000, 0.0000000E+000, 4.9838790E+004
 8.5223381E+001, 0.0000000E+000,-4.2757397E-007,-1.0516619E-019,-1.5198350E-007, 0.0000000E+000,-2.3335361E-007, 0.0000000E+000,-8.2622057E-007,-8.1291107E-007, 0.0000000E+000, 0.0000000E+000, 4.9838768E+004
 8.5855835E+001, 0.0000000E+000,-3.5947128E-007,-1.0521745E-019,-1.7718298E-007, 0.0000000E+000,-2.1594691E-007, 0.0000000E+000,-7.6505680E-007,-7.5260117E-007, 0.0000000E+000, 0.0000000E+000, 4.9838745E+004
 8.6409241E+001, 0.0000000E+000,-2.9628103E-007,-1.0525374E-019,-1.9508188E-007, 0.0000000E+000,-1.9759584E-007, 0.0000000E+000,-7.0051907E-007,-6.8895875E-007, 0.0000000E+000, 0.0000000E+000, 4.9838727E+004
 8.7041695E+001, 0.0000000E+000,-2.3749128E-007,-1.0526983E-019,-2.0935539E-007, 0.0000000E+000,-1.7970777E-007, 0.0000000E+000,-6.3744961E-007,-6.2655444E-007, 0.0000000E+000, 0.0000000E+000, 4.9838708E+004
 8.7674149E+001, 0.0000000E+000,-1.8126498E-007,-1.0526495E-019,-2.1984726E-007, 0.0000000E+000,-1.6125399E-007, 0.0000000E+000,-5.7214982E-007,-5.6236622E-007, 0.0000000E+000, 0.0000000E+000, 4.9838691E+004
 8.8227547E+001, 0.0000000E+000,-1.3324567E-007,-1.0524329E-019,-2.3038738E-007, 0.0000000E+000,-1.4610896E-007, 0.0000000E+000,-5.1833792E-007,-5.0974202E-007, 0.0000000E+000, 0.0000000E+000, 4.9838677E+004
 8.8860001E+001, 0.0000000E+000,-9.0365415E-008,-1.0520724E-019,-2.4238995E-007, 0.0000000E+000,-1.3363615E-007, 0.0000000E+000,-4.7398309E-007,-4.6639151E-007, 0.0000000E+000, 0.0000000E+000, 4.9838663E+004
 8.9413399E+001, 0.0000000E+000,-5.0970389E-008,-1.0515997E-019,-2.5075085E-007, 0.0000000E+000,-1.2125974E-007, 0.0000000E+000,-4.3044449E-007,-4.2298098E-007, 0.0000000E+000, 0.0000000E+000, 4.9838652E+004
 9.0045853E+001, 0.0000000E+000,-1.4850206E-008,-1.0510519E-019,-2.5249452E-007, 0.0000000E+000,-1.0742857E-007, 0.0000000E+000,-3.8225130E-007,-3.7477329E-007, 0.0000000E+000, 0.0000000E+000, 4.9838640E+004
 9.0678314E+001, 0.0000000E+000, 1.8386461E-008,-1.0504416E-019,-2.4408457E-007, 0.0000000E+000,-9.0645353E-008, 0.0000000E+000,-3.2337408E-007,-3.1634346E-007, 0.0000000E+000, 0.0000000E+000, 4.9838631E+004
 9.1231712E+001, 0.0000000E+000, 4.4780138E-008,-1.0498572E-019,-2.2808596E-007, 0.0000000E+000,-7.3489550E-008, 0.0000000E+000,-2.6346671E-007,-2.5679538E-007, 0.0000000E+000, 0.0000000E+000, 4.9838624E+004
 9.1864166E+001, 0.0000000E+000, 6.5414029E-008,-1.0490499E-019,-2.0537341E-007, 0.0000000E+000,-5.5935452E-008, 0.0000000E+000,-2.0151573E-007,-1.9589483E-007, 0.0000000E+000, 0.0000000E+000, 4.9838618E+004
 9.2417564E+001, 0.0000000E+000, 8.1099431E-008,-1.0478462E-019,-1.7729519E-007, 0.0000000E+000,-3.8354587E-008, 0.0000000E+000,-1.3976224E-007,-1.3455035E-007, 0.0000000E+000, 0.0000000E+000, 4.9838614E+004
 9.3050018E+001, 0.0000000E+000, 9.1788538E-008,-1.0463951E-019,-1.4854392E-007, 0.0000000E+000,-2.2475391E-008, 0.0000000E+000,-8.2928066E-008,-7.9230778E-008, 0.0000000E+000, 0.0000000E+000, 4.9838611E+004
 9.3603416E+001, 0.0000000E+000, 9.8105617E-008,-1.0450361E-019,-1.2412811E-007, 0.0000000E+000,-1.0077316E-008, 0.0000000E+000,-3.8543856E-008,-3.6099808E-008, 0.0000000E+000, 0.0000000E+000, 4.9838610E+004
 9.4235878E+001, 0.0000000E+000, 1.0099220E-007,-1.0444185E-019,-1.0600762E-007, 0.0000000E+000,-1.6512737E-009, 0.0000000E+000,-7.7064312E-009,-6.6666875E-009, 0.0000000E+000, 0.0000000E+000, 4.9838610E+004
 9.4868332E+001, 0.0000000E+000, 1.0223650E-007,-1.0451648E-019,-1.0062267E-007, 0.0000000E+000, 9.7386872E-010, 0.0000000E+000, 2.8491424E-009, 2.5876990E-009, 0.0000000E+000, 0.0000000E+000, 4.9838610E+004
 9.5421730E+001, 0.0000000E+000, 1.0319304E-007,-1.0469675E-019,-1.0612455E-007, 0.0000000E+000,-8.6374398E-010, 0.0000000E+000,-2.9864578E-009,-3.7952559E-009, 0.0000000E+000, 0.0000000E+000, 4.9838610E+004
 9.6054184E+001, 0.0000000E+000, 1.0490311E-007,-1.0489665E-019,-1.1537938E-007, 0.0000000E+000,-3.8228995E-009, 0.0000000E+000,-1.3401888E-008,-1.4299162E-008, 0.0000000E+000, 0.0000000E+000, 4.9838610E+004
 9.6607582E+001, 0.0000000E+000, 1.0737745E-007,-1.0503946E-019,-1.2277496E-007, 0.0000000E+000,-5.8340769E-009, 0.0000000E+000,-2.0796275E-008,-2.1231582E-008, 0.0000000E+000, 0.0000000E+000, 4.9838609E+004
 9.7240036E+001, 0.0000000E+000, 1.1011651E-007,-1.0513405E-019,-1.2487929E-007, 0.0000000E+000,-5.6978697E-009, 0.0000000E+000,-2.0913707E-008,-2.0460643E-008, 0.0000000E+000, 0.0000000E+000, 4.9838609E+004
 9.7872490E+001, 0.0000000E+000, 1.1255525E-007,-1.0519414E-019,-1.1954242E-007, 0.0000000E+000,-2.5755140E-009, 0.0000000E+000,-1.0419510E-008,-9.5626813E-009, 0.0000000E+000, 0.0000000E+000, 4.9838608E+004
 9.8425896E+001, 0.0000000E+000, 1.1370587E-007,-1.0522734E-019,-1.1058588E-007, 0.0000000E+000, 1.5801300E-009, 0.0000000E+000, 4.0803073E-009, 4.7001195E-009, 0.0000000E+000, 0.0000000E+000, 4.9838609E+004
 9.9058350E+001, 0.0000000E+000, 1.1347695E-007,-1.0524906E-019,-9.9897268E-008, 0.0000000E+000, 5.7613732E-009, 0.0000000E+000, 1.8806200E-008, 1.9341053E-008, 0.0000000E+000, 0.0000000E+000, 4.9838609E+004
 9.9611748E+001, 0.0000000E+000, 1.1173491E-007,-1.0527320E-019,-8.4690840E-008, 0.0000000E+000, 1.1199049E-008, 0.0000000E+000, 3.7711587E-008, 3.8243123E-008, 0.0000000E+000, 0.0000000E+000, 4.9838610E+004
 1.0024420E+002, 0.0000000E+000, 1.0807934E-007,-1.0529900E-019,-6.5768661E-008, 0.0000000E+000, 1.7393375E-008, 0.0000000E+000, 5.9557999E-008, 5.9704054E-008, 0.0000000E+000, 0.0000000E+000, 4.9838612E+004
 1.0087666E+002, 0.0000000E+000, 1.0197444E-007,-1.0532219E-019,-4.4882497E-008, 0.0000000E+000, 2.3352807E-008, 0.0000000E+000, 8.0688042E-008, 8.0444755E-008, 0.0000000E+000, 0.0000000E+000, 4.9838614E+004
 1.0143005E+002, 0.0000000E+000, 9.4536698E-008,-1.0533882E-019,-2.6493926E-008, 0.0000000E+000, 2.7717574E-008, 0.0000000E+000, 9.6425955E-008, 9.5760347E-008, 0.0000000E+000, 0.0000000E+000, 4.9838617E+004
 1.0206252E+002, 0.0000000E+000, 8.5533482E-008,-1.0534534E-019,-8.9516160E-009, 0.0000000E+000, 3.1170833E-008, 0.0000000E+000, 1.0882066E-007, 1.0775270E-007, 0.0000000E+000, 0.0000000E+000, 4.9838620E+004
 1.0261591E+002, 0.0000000E+000, 7.5481403E-008,-1.0534080E-019, 6.8447888E-009, 0.0000000E+000, 3.3570735E-008, 0.0000000E+000, 1.1753313E-007, 1.1589693E-007, 0.0000000E+000, 0.0000000E+000, 4.9838623E+004
 1.0324837E+002, 0.0000000E+000, 6.4881558E-008,-1.0532758E-019, 2.1290420E-008, 0.0000000E+000, 3.5073115E-008, 0.0000000E+000, 1.2303436E-007, 1.2124509E-007, 0.0000000E+000, 0.0000000E+000, 4.9838627E+004
 1.0380177E+002, 0.0000000E+000, 5.3923043E-008,-1.0530843E-019, 3.2821619E-008, 0.0000000E+000, 3.5358418E-008, 0.0000000E+000, 1.2422373E-007, 1.2210308E-007, 0.0000000E+000, 0.0000000E+000, 4.9838630E+004
 1.0443422E+002, 0.0000000E+000, 4.2692776E-008,-1.0528417E-019, 4.2818751E-008, 0.0000000E+000, 3.4741877E-008, 0.0000000E+000, 1.2233619E-007, 1.2025340E-007, 0.0000000E+000, 0.0000000E+000, 4.9838634E+004
 1.0506667E+002, 0.0000000E+000, 3.1005076E-008,-1.0525402E-019, 5.3145577E-008, 0.0000000E+000, 3.4282994E-008, 0.0000000E+000, 1.2043633E-007, 1.1843365E-007, 0.0000000E+000, 0.0000000E+000, 4.9838638E+004
