s,Pa,Pa,Pa
Time,"pres_1","pres_2","pres_3"
 7.9500000E+000, 2.5437892E+003, 2.5439427E+003, 2.3521764E+003
 8.0500000E+000, 2.5392935E+003, 2.5394689E+003, 2.3658833E+003
 8.1500000E+000, 2.5352316E+003, 2.5354208E+003, 2.3782700E+003
 8.2500000E+000, 2.5315660E+003, 2.5317538E+003, 2.3894645E+003
 8.3500000E+000, 2.5282609E+003, 2.5284273E+003, 2.3995821E+003
 8.4500000E+000, 2.5252830E+003, 2.5254065E+003, 2.4087279E+003
 8.5000000E+000, 2.5239068E+003, 2.5240014E+003, 2.4129665E+003
 8.6000000E+000, 2.5213598E+003, 2.5213844E+003, 2.4208293E+003
 8.7000000E+000, 2.5190620E+003, 2.5190070E+003, 2.4279400E+003
 8.8000000E+000, 2.5169841E+003, 2.5168489E+003, 2.4343718E+003
 8.9000000E+000, 2.5150998E+003, 2.5148930E+003, 2.4401909E+003
 9.0000000E+000, 2.5133851E+003, 2.5131231E+003, 2.4454573E+003
 9.1000000E+000, 2.5118192E+003, 2.5115233E+003, 2.4502250E+003
 9.2000000E+000, 2.5103849E+003, 2.5100785E+003, 2.4545435E+003
 9.3000000E+000, 2.5090685E+003, 2.5087733E+003, 2.4584573E+003
 9.4000000E+000, 2.5078592E+003, 2.5075928E+003, 2.4620066E+003
 9.5000000E+000, 2.5067487E+003, 2.5065231E+003, 2.4652275E+003
 9.6000000E+000, 2.5057303E+003, 2.5055511E+003, 2.4681525E+003
 9.7000000E+000, 2.5047975E+003, 2.5046647E+003, 2.4708097E+003
 9.8000000E+000, 2.5039446E+003, 2.5038536E+003, 2.4732244E+003
 9.9000000E+000, 2.5031659E+003, 2.5031096E+003, 2.4754192E+003
 1.0000000E+001, 2.5024558E+003, 2.5024263E+003, 2.4774147E+003
 1.0100000E+001, 2.5018084E+003, 2.5017987E+003, 2.4792286E+003
 1.0200000E+001, 2.5012173E+003, 2.5012227E+003, 2.4808768E+003
 1.0300000E+001, 2.5006765E+003, 2.5006952E+003, 2.4823730E+003
 1.0400000E+001, 2.5001805E+003, 2.5002137E+003, 2.4837299E+003
 1.0500000E+001, 2.4997247E+003, 2.4997760E+003, 2.4849584E+003
 1.0600000E+001, 2.4993053E+003, 2.4993798E+003, 2.4860686E+003
 1.0700000E+001, 2.4989198E+003, 2.4990226E+003, 2.4870699E+003
 1.0800000E+001, 2.4985666E+003, 2.4987015E+003, 2.4879707E+003
 1.0900000E+001, 2.4982449E+003, 2.4984133E+003, 2.4887791E+003
 1.1000000E+001, 2.4979542E+003, 2.4981542E+003, 2.4895022E+003
 1.1100000E+001, 2.4976936E+003, 2.4979199E+003, 2.4901465E+003
 1.1200000E+001, 2.4974626E+003, 2.4977066E+003, 2.4907180E+003
 1.1300000E+001, 2.4972599E+003, 2.4975110E+003, 2.4912225E+003
